force_id,force_name,lord_pid,lord_name,member_count
0,无,197,小寺政职,375
1,浅井家,17,浅井久政,14
2,朝仓家,23,朝仓义景,12
3,足利家,31,足利义辉,11
4,芦名家,32,芦名盛氏,42
5,阿苏家,36,阿苏惟将,2
6,三木家,42,姊小路赖纲,1
7,尼子家,45,尼子晴久,12
8,安东家,215,蛎崎季广,7
9,一条家,10,安艺国虎,6
10,一色家,93,一色义道,4
11,伊东家,98,伊东义祐,3
12,今川家,110,今川义元,53
13,宇都宫家,136,宇都宫广纲,5
14,浦上家,140,浦上宗景,15
15,大崎家,160,大崎义直,3
16,大内家,152,大内义长,2
17,大友家,167,大友宗麟,24
18,小田家,188,小田氏治,1
19,织田家,195,织田信长,52
20,小野寺家,204,小野寺辉道,3
21,葛西家,219,葛西晴信,1
22,北畠家,261,北畠晴具,9
23,肝付家,268,肝付兼续,5
24,河野家,301,河野通宣,5
25,斋藤家,324,斋藤道三,25
26,相良家,337,相良义阳,7
27,佐竹家,346,佐竹义昭,8
28,里见家,352,里见义尧,7
29,斯波家,378,斯波诠真,2
30,岛津家,389,岛津贵久,25
31,神保家,408,神保长职,5
32,相马家,427,相马盛胤,3
33,宗家,429,宗义调,3
34,大宝寺家,435,大宝寺义氏,1
35,武田家,449,武田信玄,33
36,伊达家,465,伊达晴宗,23
37,长宗我部家,481,长宗我部国亲,23
38,筒井家,493,筒井顺庆,6
39,长尾家,119,上杉谦信,30
40,南部家,557,南部晴政,7
41,三好家,704,三好长庆,24
42,畠山家,580,畠山义纲,7
43,波多野家,581,波多野晴通,6
44,北条家,630,北条氏康,27
45,本愿寺,647,本愿寺显如,12
47,松浦家,684,松浦隆信,4
48,三村家,696,三村家亲,3
49,六角家,790,六角承祯,11
50,毛利家,722,毛利元就,28
51,最上家,725,最上义守,8
52,山名家,758,山名祐丰,4
53,结城家,765,结城政胜,3
54,龙造寺家,785,龙造寺隆信,15
55,长尾家,367,椎名康胤,1
56,木曾家,255,木曾义康,2
57,长野家,536,长野业正,4
58,畠山家,578,畠山高政,2
70,无,840,尼子诚久,5
71,伊藤屋,97,伊藤惣十郎,5
72,纳屋,848,井上元兼,7
73,无,111,宇野藤右卫门,5
74,坂田屋,121,坂田源右卫门,4
75,越后屋,289,藏田五郎左,5
76,小西屋,865,忍者,5
77,大西屋,384,涩谷与右卫门,4
78,博多屋,870,忍者,5
79,茶屋,873,忍者,6
80,下关屋,226,佐甲藤太郎,6
81,天王寺屋,418,津田宗及,5
82,友野屋,885,忍者,4
83,梁田屋,888,忍者,5
84,组屋,895,忍者,5
90,黑胫巾众,749,柳原户兵卫,6
91,户隐众,94,出浦盛清,6
92,风魔众,561,二曲轮猪助,7
93,轩猿众,231,加藤段藏,5
94,透波众,297,高坂甚内,6
95,甲贺众,411,杉谷善住坊,8
96,伊贺众,63,伊贺崎道顺,10
97,根来众,412,杉之坊照算,5
98,,932,商人,4
99,外闻众,350,佐田彦四郎,6
100,,940,商人,4
101,,944,商人,4
105,,949,商人,4
106,房总水军,952,商人,6
107,相模水军,956,商人,6
108,骏河水军,961,商人,9
109,熊野水军,967,商人,6
110,丹后水军,971,商人,5
111,淡路水军,972,商人,8
112,盐饱水军,977,海贼,5
113,村上水军,981,海贼,7
114,土佐水军,984,海贼,5
115,丰后水军,988,海贼,5
116,五岛水军,992,海贼,6
117,,997,海贼,4
121,无,633,宝藏院胤荣,141
