city_idx,name_history,owner_chain
0,胜山馆|松前城,54:蛎崎季广(5200) 60:蛎崎季广(5800) 68:蛎崎季广(7400) 75:蛎崎季广(8600) 82:蛎崎季广(9800) 98:蛎崎庆广(14000)
1,大浦城,54:南部晴政(5200) 60:津轻为信(5800) 68:津轻为信(7400) 75:津轻为信(8600) 82:津轻为信(11600) 98:津轻为信(14000)
2,八户城,54:南部晴政(4000) 60:南部晴政(4000) 68:南部晴政(5600) 75:南部晴政(7000) 82:南部信直(8000) 98:南部信直(12000)
3,三户城,54:南部晴政(6400) 60:南部晴政(7600) 68:南部晴政(9200) 75:南部晴政(10200) 82:南部信直(11600) 98:南部信直(14000)
4,九户城,54:九户政实(5200) 60:九户政实(5800) 68:九户政实(7400) 75:九户政实(8600) 82:九户政实(9800) 98:南部信直(12000)
5,不来方城|盛冈城,54:南部晴政(6400) 60:南部晴政(7600) 68:南部晴政(9200) 75:南部晴政(10200) 82:南部信直(11600) 98:南部信直(16000)
6,高水寺城,54:斯波诠真(5200) 60:斯波诠真(5800) 68:斯波诠真(7400) 75:斯波诠真(8600) 82:斯波诠直(9800) 98:南部信直(12000)
7,岩出山城,54:一栗放牛(4000) 60:一栗放牛(4000) 68:一栗放牛(7400) 75:一栗放牛(8600) 82:一栗放牛(9800) 98:伊达政宗(12000)
8,寺池城,54:葛西晴信(5200) 60:葛西晴信(5800) 68:葛西晴信(7400) 75:葛西晴信(8600) 82:葛西晴信(9800) 98:伊达政宗(12000)
9,名生城,54:大崎义直(5200) 60:大崎义直(5800) 68:大崎义直(7400) 75:大崎义直(8600) 82:大崎义隆(9800) 98:伊达政宗(12000)
10,仙台城,54:伊达晴宗(6400) 60:伊达晴宗(7600) 68:伊达辉宗(9200) 75:伊达辉宗(10200) 82:伊达辉宗(11600) 98:伊达政宗(18000)
11,白石城,54:伊达晴宗(4000) 60:伊达晴宗(4000) 68:伊达辉宗(7400) 75:伊达辉宗(8600) 82:伊达辉宗(9800) 98:白石宗实(14000)
12,凑城,54:安东爱季(5200) 60:安东爱季(5800) 68:安东爱季(7400) 75:安东爱季(8600) 82:安东爱季(9800) 98:秋田实季(12000)
13,桧山城,54:安东爱季(5200) 60:安东爱季(5800) 68:安东爱季(7400) 75:安东爱季(10200) 82:安东爱季(11600) 98:秋田实季(14000)
14,角馆城,54:安东爱季(5200) 60:安东爱季(5800) 68:安东爱季(7400) 75:安东爱季(8600) 82:安东爱季(9800) 98:秋田实季(12000)
15,横手城,54:小野寺辉道(6400) 60:小野寺辉道(7600) 68:小野寺辉道(9200) 75:小野寺辉道(10200) 82:小野寺义道(11600) 98:小野寺义道(14000)
16,山形城,54:最上义守(6400) 60:最上义守(7600) 68:最上义守(9200) 75:最上义光(10200) 82:最上义光(11600) 98:最上义光(16000)
17,鲑延城,54:最上义守(4000) 60:最上义守(4000) 68:最上义守(7400) 75:最上义光(8600) 82:鲑延秀纲(9800) 98:鲑延秀纲(12000)
18,尾浦城,54:大宝寺义氏(4000) 60:大宝寺义氏(4000) 68:大宝寺义氏(5600) 75:大宝寺义氏(7000) 82:大宝寺义氏(8000) 98:最上义光(12000)
19,米泽城,54:伊达晴宗(6400) 60:伊达晴宗(7600) 68:伊达辉宗(9200) 75:伊达辉宗(10200) 82:伊达辉宗(11600) 98:直江兼续(16000)
20,黑川城,54:芦名盛氏(6400) 60:芦名盛氏(7600) 68:芦名盛氏(9200) 75:芦名盛氏(10200) 82:芦名盛隆(11600) 98:上杉景胜(18000)
21,二本松城,54:芦名盛氏(5200) 60:芦名盛氏(5800) 68:二本松义继(7400) 75:二本松义继(8600) 82:二本松义继(9800) 98:上杉景胜(12000)
22,须贺川城,54:芦名盛氏(5200) 60:芦名盛氏(5800) 68:芦名盛氏(7400) 75:芦名盛氏(8600) 82:芦名盛隆(9800) 98:本庄繁长(12000)
23,小高城,54:相马盛胤(5200) 60:相马盛胤(5800) 68:相马盛胤(7400) 75:相马盛胤(8600) 82:相马盛胤(9800) 98:相马义胤(14000)
24,太田城,54:佐竹义昭(5200) 60:佐竹义昭(5800) 68:佐竹义重(9200) 75:佐竹义重(10200) 82:佐竹义重(11600) 98:芦名盛重(14000)
25,水户城,54:佐竹义昭(6400) 60:佐竹义昭(7600) 68:佐竹义重(9200) 75:佐竹义重(10200) 82:佐竹义重(13400) 98:佐竹义宣(18000)
26,土浦城,54:小田氏治(6400) 60:小田氏治(7600) 68:小田氏治(9200) 75:佐竹义重(10200) 82:佐竹义重(11600) 98:结城秀康(14000)
27,小田城,54:佐竹义昭(4000) 60:佐竹义昭(5800) 68:太田三乐斋(7400) 75:佐竹义重(8600) 82:佐竹义重(9800) 98:佐竹义宣(12000)
28,宇都宫城,54:宇都宫广纲(6400) 60:宇都宫广纲(7600) 68:宇都宫广纲(9200) 75:宇都宫广纲(10200) 82:宇都宫国纲(11600) 98:蒲生秀行(16000)
29,唐泽山城,54:宇都宫广纲(5200) 60:宇都宫广纲(5800) 68:吉江景资(7400) 75:宇都宫广纲(8600) 82:宇都宫国纲(9800) 98:蒲生秀行(12000)
30,小山城,54:结城政胜(5200) 60:结城晴朝(5800) 68:结城晴朝(7400) 75:结城晴朝(8600) 82:结城晴朝(9800) 98:结城秀康(12000)
31,乌山城,54:宇都宫广纲(4000) 60:宇都宫广纲(4000) 68:宇都宫广纲(5600) 75:那须资晴(7000) 82:那须资晴(9800) 98:成田长忠(12000)
32,厩桥城,54:长野业正(6400) 60:北条高广(9400) 68:北条高广(11000) 75:北条高广(11800) 82:北条氏政(13400) 98:平岩亲吉(16000)
33,沼田城,54:上杉谦信(5200) 60:上杉谦信(5800) 68:上杉谦信(7400) 75:北条高广(8600) 82:真田昌幸(9800) 98:真田信幸(14000)
34,馆林城,54:长野业正(5200) 60:长野业正(5800) 68:北条氏邦(7400) 75:北条氏邦(8600) 82:北条氏邦(9800) 98:榊原康政(12000)
35,箕轮城,54:长野业正(6400) 60:长野业正(7600) 68:内藤昌丰(9200) 75:内藤昌丰(10200) 82:北条氏政(11600) 98:井伊直政(14000)
36,胜浦城,54:里见义尧(4000) 60:里见义尧(4000) 68:里见义尧(5600) 75:里见义弘(7000) 82:里见义赖(8000) 98:本多忠胜(10000)
37,久留里城,54:里见义尧(5200) 60:里见义尧(5800) 68:里见义尧(9200) 75:里见义弘(10200) 82:里见义赖(11600) 98:本多忠胜(14000)
38,稻村城,54:里见义尧(5200) 60:里见义尧(5800) 68:里见义尧(7400) 75:里见义弘(8600) 82:里见义赖(9800) 98:里见义康(14000)
39,佐仓城,54:千叶胤富(4000) 60:千叶胤富(5800) 68:千叶胤富(7400) 75:千叶胤富(8600) 82:千叶邦胤(9800) 98:北条氏胜(12000)
40,结城城,54:结城政胜(6400) 60:结城晴朝(7600) 68:结城晴朝(9200) 75:结城晴朝(10200) 82:结城晴朝(11600) 98:结城秀康(14000)
41,江户城,54:北条氏康(7600) 60:北条氏康(9400) 68:北条氏康(11000) 75:北条氏政(11800) 82:北条氏政(13400) 98:德川家康(20000)
