ID,TK5Name,JPName,Type,Source,Remark
tk5_card_sword_saint,劍聖,剣聖,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_sword_hero,劍豪,剣豪,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_fencer,劍客,剣客,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_swordsman,劍士,剣士,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_spear,天下第一槍,槍天下一,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_kunai,天下第一苦無,苦無天下一,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_kusarigama,天下第一鎖鐮,鎖鎌天下一,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_kusarigama_master,鎖鐮達人,鎖鎌達人,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_kusarigama_adept,鎖鐮名人,鎖鎌名人,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_kusarigama_skilled,鎖鐮上手,鎖鎌上手,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_matchlock,天下第一鐵炮,鉄砲天下一,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_matchlock_master,鐵炮達人,鉄砲達人,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_matchlock_adept,鐵炮名人,鉄砲名人,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_matchlock_skilled,鐵炮上手,鉄砲上手,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_bow,天下第一弓,弓天下一,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_strategist,智將,智将,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_art_connoisseur,風雅之士,数寄者,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_political_schemer,縱橫家,縦横家,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_silver_tongue,懸河之辯,懸河の弁,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_persuader,說客,説客,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_eloquent_tongue,雄辯,雄弁,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_best_smith,天下第一鍛冶,天下一鍛冶,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_divine_physician,神醫,神医,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
tk5_card_renowned_physician,名醫,名医,称号・技能,keywords,keywords 称号/技能卡区（含 练达者 22 张）
