ID,太阁编号,势力名,别名,势力类型,Owner_1554,Owner_1560,Owner_1568,Owner_1575,Owner_1582,Owner_1598
ID,TK5_ID,ForceName,Alias,ForceType,Owner_1554,Owner_1560,Owner_1568,Owner_1575,Owner_1582,Owner_1598
akamatsu,127|128,赤松家,,Warrior,-,-,-,-,-,-
akana,126,赤穴家,,Warrior,-,-,-,-,-,-
akita,131,秋田家,,Warrior,-,-,-,-,-,-
amago,164|165|166,尼子家,,Warrior,lord_1_amago_haruhisa,lord_1_amago_haruhisa,-,-,-,-
ando,175|176,安东家,,Warrior,lord_2_kakizaki,lord_2_kakizaki,lord_2_kakizaki,lord_1_ando,lord_1_ando,-
anekouji,162,姊小路家,,Warrior,-,-,lord_1_anekouji_2,lord_1_anekouji_2,lord_1_anekouji_2,-
ankokuji,174,安国寺家,,Warrior,-,-,-,-,-,lord_1_ankokuji_ekei
aoyama,120,青山家,,Warrior,-,-,-,-,-,-
arima,173,有马家,,Warrior,-,-,-,-,-,lord_1_arima_6
asakura,138|139|140|141|142|143,朝仓家,,Warrior,lord_1_asakura,lord_1_asakura,lord_1_asakura,-,-,-
asano,144|145|146,浅野家,,Warrior,-,-,-,-,-,lord_1_asano_yukinaga
ashikaga,149|150|151,足利家,,Warrior,dead_lord_1_ashikaga_4,dead_lord_1_ashikaga_4,lord_1_ashikaga,-,-,-
ashina,152|153|154|155,芦名家,,Warrior,lord_1_ashina_2,lord_1_ashina_2,lord_1_ashina_2,lord_1_ashina_2,lord_1_ashina_ekketsusai,-
aso,156,阿苏家,,Warrior,lord_1_aso,lord_1_aso,lord_1_aso,lord_1_aso,lord_1_aso,-
azai,135|136|137,浅井家,,Warrior,lord_1_azai_2,lord_1_azai,lord_1_azai,-,-,-
chaya,599|600,茶屋家,,Warrior,-,-,-,-,-,-
cho,605|606,长家,,Warrior,-,-,lord_1_cho,lord_1_cho,-,-
chosokabe,601|602|603|604,长宗我部家,,Warrior,lord_1_chosokabe_kunichika,lord_1_chosokabe,lord_1_chosokabe,lord_1_chosokabe,lord_1_chosokabe,lord_1_chosokabe_morichika
daihoji,555,大宝寺家,,Warrior,lord_1_daihoji_2,lord_1_daihoji_2,lord_1_daihoji_2,lord_1_daihoji_2,lord_1_daihoji_2,-
date,581|582|583|584|585|586,伊达家,,Warrior,lord_1_date_2,lord_1_date_2,lord_1_date,lord_1_date,lord_1_date,lord_1_date_6
fukushima,735,福岛家,,Warrior,-,-,-,-,-,lord_1_fukushima_masanori
gamou,360|361|362|363|364,蒲生家,,Warrior,-,-,-,-,-,lord_1_gamou_hideyuki
godai,424,五代家,,Warrior,-,-,-,-,-,-
gyo,655|656|657,长野家,,Warrior,lord_1_gyo_shounin,lord_1_gyo_shounin,-,-,-,-
hachisuka,704|705,蜂须贺家,,Warrior,-,-,-,-,-,lord_1_hachisuka_iemasa
hatakeyama,698|699|700,畠山家,田山家|田山高政|田山義續|田山義綱,Warrior,lord_1_hatakeyama_3,dead_lord_1_notohatakeyama_2,-,-,-,-
hojo,376|377|743|744|745|746|747|748|749|750|751|752,北条家,,Warrior,lord_1_hojo_2,lord_1_hojo_2,lord_1_hojo_2,lord_1_hojo,lord_1_hojo,-
honganji,766|767|768,本愿寺,一向宗,Warrior,lord_1_honganji,lord_1_honganji,lord_1_honganji,lord_1_honganji,-,-
honjo,,本庄家,,Warrior,-,-,-,-,-,-
horii,761|763|764,堀家,,Warrior,-,-,-,-,-,lord_1_horii_hideharu
horio,759|760,堀尾家,,Warrior,-,-,-,-,-,lord_1_horio_tadauji
hosokawa,756|757|758,细川家,,Warrior,-,-,-,-,-,lord_1_hosokawa_2
hyakutake,726,百武家,,Warrior,-,-,-,-,-,-
ichijo,206|207,一条家,,Warrior,lord_1_aki,lord_1_aki,lord_1_aki,-,-,-
ichimada,210,一万田家,,Warrior,-,-,-,-,-,-
ichinomiya,,一宫家,,Warrior,-,-,-,-,-,-
ikeda,186|187|188,池田家,,Warrior,-,-,-,-,-,-
ikoma,190,生驹家,,Warrior,-,-,-,-,-,lord_1_ikoma_chikamasa
imagawa,229|230,今川家,,Warrior,lord_1_imagawa_katsumoto,lord_1_imagawa_katsumoto,lord_1_imagawa,-,-,-
issiki,211|212|213,一色家,,Warrior,lord_1_issiki,lord_1_issiki,lord_1_issiki,lord_1_issiki,-,-
ito,216|218,伊东家,,Warrior,lord_1_ito_hoan,lord_1_ito_hoan,lord_1_ito_hoan,lord_1_ito_hoan,-,lord_1_ito_sadachika
jinbo,525|526|527|528,神保家,,Warrior,lord_1_jinbo,lord_1_jinbo,lord_1_jinbo,lord_1_jinbo_4,-,-
kakizaki,335|336,蛎崎家,,Warrior,-,-,-,-,-,lord_2_kakizaki_2
kamei,359,龟井家,,Warrior,-,-,-,-,-,lord_1_kamei_korenori
kamiizumi,416,上泉家,,Warrior,-,-,-,-,-,-
kanamori,355,金森家,,Warrior,-,-,-,-,-,lord_1_kanamori_nagachika
kasai,339,葛西家,,Warrior,lord_1_kasai,lord_1_kasai,lord_1_kasai,lord_1_kasai,lord_1_kasai,-
katō,350|351|352|353,加藤家,,Warrior,-,-,-,-,-,lord_1_katoo_yoshiaki
kawajiri,367,河尻家,,Warrior,-,-,-,-,-,-
kawano,420|421,河野家,,Warrior,lord_1_kawano,lord_1_kawano,lord_1_kawano,lord_1_kawano,lord_1_kawano_masashige,-
kii,372,城井家,,Warrior,-,-,-,-,lord_1_kii,-
kikkawa,382|383|384|385,吉川家,,Warrior,-,-,-,-,-,lord_1_kikkawa_4
kiku,701|702|703,波多野家,,Warrior,lord_1_kiku_koushu,lord_1_kiku,lord_1_kiku,lord_1_kiku,-,-
kimotsuki,388|389|390,肝付家,,Warrior,dead_lord_1_kimotsuki_1,dead_lord_1_kimotsuki_1,lord_1_kimotsuki,-,-,-
kiso,374|375,木曾家,,Warrior,lord_1_kiso,-,-,-,-,-
kita,378,北家,,Warrior,-,-,-,-,-,-
kitabatake,379,北畠家,,Warrior,dead_lord_1_kitabatake_2,lord_1_koobe_tomomori,lord_1_kitabatake,-,-,-
kobayakawa,434|435|436,小早川家,,Warrior,-,-,-,-,-,lord_1_kobayakawa_hidekane
konishi,432|433,小西家,,Warrior,-,-,-,-,-,lord_1_konishi_yukinaga
konohe,405,九户家,,Warrior,-,-,-,-,-,-
kuki,397|398|399,九鬼家,,Warrior,-,-,-,-,-,lord_1_kuki_moritaka
kuroda,412|413|414,黑田家,,Warrior,-,-,-,-,-,lord_1_kuroda_4
kyouzaka,913,胁坂家,,Warrior,-,-,-,-,-,lord_1_kyouzaka_yasuharu
kyōgoku,391|392|393,京极家,,Warrior,-,-,-,-,-,lord_1_kyoogoku_takachika
maeda,777|778|779|780|781,前田家,,Warrior,-,-,-,-,-,lord_1_maeda
matsudaira,797,松平家,,Warrior,-,-,-,-,-,-
matsuura,803|804,松浦家,,Warrior,lord_1_matsuura,lord_1_matsuura,lord_1_matsuura,lord_1_matsuura,lord_1_matsuura,lord_1_matsuura_2
miki,,三木家,,Warrior,lord_1_anekouji_2,lord_1_anekouji_2,-,-,-,-
mimura,816|817,三村家,,Warrior,lord_1_mimura_ienaga,lord_1_mimura_ienaga,lord_1_mimura_motochika,-,-,-
mitoya,815,三刀屋家,,Warrior,-,-,-,-,-,-
miyabe,818,宫部家,,Warrior,-,-,-,-,-,lord_1_miyabe_keijun
miyoshi,821|822|823|824|825|826|827|828|829,三好家,,Warrior,dead_lord_1_miyoshi_1,dead_lord_1_miyoshi_1,lord_1_miyoshi_nagaatsu,lord_1_miyoshi_nagaharu,-,-
mizoguchi,814,沟口家,,Warrior,-,-,-,-,-,lord_1_mizoguchi_hideshige
mogami,843|844|845,最上家,,Warrior,lord_1_mogami,lord_1_mogami,lord_1_mogami,lord_1_mogami_2,lord_1_mogami_2,lord_1_mogami_2
mori,838|839|840|841|842,毛利家,,Warrior,lord_1_mori_1,lord_1_mori_1,lord_1_amano,lord_1_kikkawa,lord_1_kikkawa,lord_1_mori
morii,851|853|854|855|856,森家,,Warrior,-,-,-,-,-,lord_1_morii_tadamasa
murakami,833|834|835|836,村上家,,Warrior,-,-,-,-,-,-
nabeshima,667|668,锅岛家,,Warrior,-,-,-,-,-,lord_1_nabeshima_4
nakajima,651|652,中岛家,,Warrior,-,-,-,-,-,-
nakamura,659,中村家,,Warrior,-,-,-,-,-,lord_1_nakamura_kazuuji
nanbu,675|676|677,南部家,,Warrior,lord_1_nanbu,lord_1_nanbu,lord_1_nanbu,lord_1_nanbu,lord_1_tsugaru_tamenobu,lord_1_nanbu_2
nikaido,,二阶堂家,,Warrior,-,-,-,-,-,-
