档位（分组标签；同档各行的甲/盔候选必须一致）,身份,铠甲候选（兵种 slug 用竖线分隔）,头盔候选（兵种 slug 用竖线分隔）,女将专用甲（有值则女将只穿它）,女将专用盔（留空 = 用通用盔）,武器（竖线分隔）
Tier,Identity,Armors,Helmets,FemaleArmors,FemaleHelmets,Weapons
top,大名,guard4|guard3|guard1|hazenin,guard4|guard3|guard1|hazenin,taisho,,ridged_sabre_sword_t4|leather_round_shield
top,国主,guard4|guard3|guard1|hazenin,guard4|guard3|guard1|hazenin,taisho,,ridged_sabre_sword_t4|leather_round_shield
top,城主,guard4|guard3|guard1|hazenin,guard4|guard3|guard1|hazenin,taisho,,ridged_sabre_sword_t4|leather_round_shield
senior,当家,samurai|hazenin|guard1|guard5,samurai|hazenin|guard1|guard5,taisho,,ridged_sabre_sword_t4
senior,家老,samurai|hazenin|guard1|guard5,samurai|hazenin|guard1|guard5,taisho,,short_sword_t3|leather_round_shield
senior,部将,samurai|hazenin|guard1|guard5,samurai|hazenin|guard1|guard5,taisho,,short_sword_t3|leather_round_shield
senior,侍大将,samurai|hazenin|guard1|guard5,samurai|hazenin|guard1|guard5,taisho,,short_sword_t3
mid,足轻大将,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,short_sword_t3
mid,足轻组头,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,cleaver_sword_t3
mid,头领,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,cleaver_sword_t3
mid,船大将,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,cleaver_sword_t3
mid,船头,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,cleaver_sword_t3
mid,水夫头,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,falchion_sword_t2
mid,浪人,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,battania_mace_1_t2
common,水夫,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,falchion_sword_t2
common,掌柜,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,pugio
common,伙计,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,pugio
common,师范,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,wooden_sword_t1
common,师范代,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,wooden_sword_t1
common,见习,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,wooden_sword_t1
common,医师,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,pugio
common,锻冶匠,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,battania_mace_1_t2
common,僧侣,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,
common,茶人,yari_ashigaru|teppo_ashigaru|kyushu,yari_ashigaru|teppo_ashigaru|kyushu,taisho,,
ninja,上忍,jonin|sennin|totsunin|hazenin,jonin|sennin|totsunin|hazenin,taisho,,pugio
ninja,中忍,jonin|sennin|totsunin|hazenin,jonin|sennin|totsunin|hazenin,taisho,,pugio
ninja,下忍,jonin|sennin|totsunin|hazenin,jonin|sennin|totsunin|hazenin,taisho,,leafblade_throwing_knife
ninja,头目,jonin|sennin|totsunin|hazenin,jonin|sennin|totsunin|hazenin,taisho,,pugio
default,none,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,katana_ashigaru|elite_ashigaru|kyushu|totsunin|guard5,taisho,,short_sword_t3
