数据处理原则,,,,
1,尽可能使用织丰中已经存在的数据,,,状态
,1.1,类型为精确匹配的，角色表的ID、罗马音名、家族、文化全盘采用（手动操作，已完成）,,手动编辑已完成
,1.2,1.2.1,BaseInfo表提取姓氏，BaseInfo表提取第C列的日本姓名，如果名字是三个字就取第1个字作为姓氏，如果名字不足三个字就无姓氏，如果名字四个字就取前2个作为姓氏，如果名字五或六个字，就取前三个字作为姓氏。但是需要注意一些特殊姓氏白名单，只要满足了就默认提取，比如长宗我部、茶屋、伊藤、伊贺、鸟居、中岛、道川、吕宋、风魔、御宿、百地、母里、吉冈、X屋（X可以是任意的）、X田（X可以是任意的）、X川（X可以是任意的）、XX寺（XX可以是任意的）。另外名字有五个字，到但是叫XXX兵卫、XXX之助的，一般姓是前两个字。如果还有更多规则可以自行补充。姓氏填入BaseInfo第D列。,"公式为 =IFERROR(IF(C2="""","""",IF(OR(LEFT(C2,3)=""长宗我部"",LEFT(C2,3)=""香宗我部"",LEFT(C2,2)=""茶屋"",LEFT(C2,2)=""奈佐"",LEFT(C2,2)=""友野"",LEFT(C2,2)=""伊藤"",LEFT(C2,2)=""伊贺"",LEFT(C2,2)=""鸟居"",LEFT(C2,2)=""中岛"",LEFT(C2,2)=""道川"",LEFT(C2,2)=""吕宋"",LEFT(C2,2)=""风魔"",LEFT(C2,2)=""御宿"",LEFT(C2,2)=""百地"",LEFT(C2,2)=""母里"",LEFT(C2,2)=""吉冈""),LOOKUP(2,1/(LEFT(C2,{3,2})<>""""),LEFT(C2,{3,2})),IF(OR(MID(C2,2,1)=""屋"",MID(C2,2,1)=""田"",MID(C2,2,1)=""川"",MID(C2,2,1)=""野"",MID(C2,2,1)=""洲""),LEFT(C2,2),IF(MID(C2,3,1)=""寺"",LEFT(C2,3),IF(LEN(C2)=5,IF(OR(RIGHT(C2,2)=""兵卫"",RIGHT(C2,2)=""之助""),LEFT(C2,2),IF(OR(RIGHT(C2,1)=""郎"",RIGHT(C2,2)=""卫门""),LEFT(C2,2),LEFT(C2,3))),CHOOSE(LEN(C2),,"""",LEFT(C2,1),LEFT(C2,2),LEFT(C2,3),LEFT(C2,3))))))),"""")"
,,1.2.2,Clan表数据预处理,
,,,基于Sheet名为Clan的第D列所属王国Kingdom，去Sheet名为Kingdom表第1列检索匹配的王国，匹配成功后，将Kingdom中第d列的文化提取出来，赋值给Clan的第G列,vba已完成
,,,"提取家族名，将Sheet名为Clan的第1列的clan_家族名_数字中提取出家族名，放在Clan第F列家族姓氏中,姓氏首字母大写","Sub ProcessClanAndKingdomData()
    Dim wsClan As Worksheet
    Dim wsKingdom As Worksheet
    Dim lastRowClan As Long
    Dim lastRowKingdom As Long
    Dim i As Long, j As Long
    Dim kingdomDict As Object
    Dim clanName As String
    Dim kingdomName As String
    Dim splitArr() As String
    
    ' 设置工作表对象
    Set wsClan = ThisWorkbook.Sheets(""Clan"")
    Set wsKingdom = ThisWorkbook.Sheets(""Kingdom"")
    
    ' 获取数据最后一行
    lastRowClan = wsClan.Cells(wsClan.Rows.Count, ""A"").End(xlUp).Row
    lastRowKingdom = wsKingdom.Cells(wsKingdom.Rows.Count, ""A"").End(xlUp).Row
    
    ' 创建字典对象用于快速查找王国文化
    Set kingdomDict = CreateObject(""Scripting.Dictionary"")
    kingdomDict.CompareMode = vbTextCompare  ' 不区分大小写
    
    ' 构建王国-文化字典
    For i = 2 To lastRowKingdom
        kingdomName = Trim(wsKingdom.Cells(i, 1).value)
        If kingdomName <> """" Then
            ' 将王国名称作为键，文化作为值
            kingdomDict(kingdomName) = wsKingdom.Cells(i, 4).value
        End If
    Next i
    
    ' 处理Clan表数据
    For i = 2 To lastRowClan
        ' 任务1: 根据D列的王国名称匹配并获取文化
        kingdomName = Trim(wsClan.Cells(i, 4).value)
        If kingdomName <> """" Then
            If kingdomDict.Exists(kingdomName) Then
                wsClan.Cells(i, 7).value = kingdomDict(kingdomName)  ' G列为第7列
            Else
                wsClan.Cells(i, 7).value = ""未找到匹配的王国""
            End If
        End If
        
        ' 任务2: 提取A列中的家族名
        clanName = Trim(wsClan.Cells(i, 1).value)
        If clanName <> """" Then
            ' 按""_""分割字符串
            splitArr = Split(clanName, ""_"")
            If UBound(splitArr) >= 1 Then
                ' 格式为clan_家族名_数字，取第二部分（索引1）
                ' 使用StrConv函数将家族姓氏的每个单词首字母大写，其他字母小写
                wsClan.Cells(i, 6).value = StrConv(splitArr(1), vbProperCase)  ' 修改这一行，首字母大写
            Else
                wsClan.Cells(i, 6).value = ""格式错误""
            End If
        End If
    Next i
    
    ' 清理对象
    Set kingdomDict = Nothing
    Set wsClan = Nothing
    Set wsKingdom = Nothing
    
    MsgBox ""处理完成！共处理了 "" & lastRowClan - 1 & "" 行数据。""
End Sub"
,1.3,类型为模糊匹配/姓氏推断/待新建的，可以先由Clan表，按照已有的Clan做一轮推荐,,
,,1.3.1,自动填充Hero的Clan和Culture，更正罗马音：Sheet名为BaseInfo，第E列匹配类型不为“精确匹配”的，取第D列的姓氏推断去Sheet名为Clan表匹配第B列家族姓氏，如果匹配成功，就把Clan表的第1列家族ID填入填充BaseInfo表的第H列，把Clan表的第G列文化填入BaseInfo表的第I列，把Clan表的F列替换BaseInfo表第G列的空格之前的部分，第BaseInfo表的第J列填上“家族和文化自动推断”,"已完成。Sub MatchClanInfo()
    Dim wsBase As Worksheet, wsClan As Worksheet
    Dim lastRowBase As Long, lastRowClan As Long
    Dim i As Long, j As Long
    Dim surname As String, baseGValue As String
    Dim matchFound As Boolean
    Dim matchCount As Long, processedCount As Long
    ' 设置工作表
    Set wsBase = ThisWorkbook.Worksheets(""BaseInfo"")
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    
    ' 获取最后一行
    lastRowBase = wsBase.Cells(wsBase.Rows.Count, ""D"").End(xlUp).Row
    lastRowClan = wsClan.Cells(wsClan.Rows.Count, ""F"").End(xlUp).Row
    
    ' 初始化计数器
    matchCount = 0
    processedCount = 0
    
    ' 清除立即窗口以便查看最新结果
    Debug.Print String(50, ""-"")
    Debug.Print ""开始处理..."" & Now
    Debug.Print ""BaseInfo表数据行数: "" & lastRowBase - 1
    Debug.Print ""Clan表数据行数: "" & lastRowClan - 1
    Debug.Print String(50, ""-"")
    
    ' 遍历BaseInfo表的每一行
    For i = 2 To lastRowBase ' 假设第1行是标题行
        ' 检查E列是否为""精确匹配""
        If LCase(Trim(wsBase.Cells(i, ""E"").value)) <> ""精确匹配"" Then
            processedCount = processedCount + 1
            
            ' 获取D列的姓氏
            kanjiname = Trim(wsBase.Cells(i, ""D"").value)
            ' 初始化匹配标志
            matchFound = False
            
            ' 在Clan表的F列中查找匹配的姓氏
            For j = 2 To lastRowClan ' 假设第1行是标题行
                If Trim(wsClan.Cells(j, ""B"").value) = kanjiname Then
                    ' 匹配成功，填充数据
                    wsBase.Cells(i, ""H"").value = wsClan.Cells(j, 1).value ' Clan表第1列（A列） -> BaseInfo表H列
                    wsBase.Cells(i, ""I"").value = wsClan.Cells(j, ""G"").value ' Clan表G列 -> BaseInfo表I列
                    
                    ' 处理G列：替换空格之前的部分
                    
                    surname = Trim(wsClan.Cells(j, ""F"").value)
                    baseGValue = wsBase.Cells(i, ""G"").value
                    If InStr(1, baseGValue, "" "") > 0 Then
                        ' 如果有空格，替换空格之前的部分
                        wsBase.Cells(i, ""G"").value = surname & Mid(baseGValue, InStr(1, baseGValue, "" ""))
                    Else
                        ' 如果没有空格，替换整个单元格
                        wsBase.Cells(i, ""G"").value = surname
                    End If
                    
                    ' J列填上""家族和文化自动推断""
                    wsBase.Cells(i, ""J"").value = ""家族和文化自动推断""
                    
                    ' 记录成功匹配
                    matchCount = matchCount + 1
                    matchFound = True
                    
                    ' 输出匹配成功的详细信息
                    Debug.Print ""匹配成功 #"" & matchCount & "" - 行"" & i & "":""
                    Debug.Print ""  姓氏: "" & surname
                    Debug.Print ""  家族ID: "" & wsClan.Cells(j, 1).value
                    Debug.Print ""  文化: "" & wsClan.Cells(j, ""G"").value
                    Debug.Print ""  原始G列值: "" & baseGValue
                    Debug.Print ""  新G列值: "" & wsBase.Cells(i, ""G"").value
                    Debug.Print String(30, ""-"")
                    
                    Exit For ' 找到匹配后跳出内层循环
                End If
            Next j
            
            ' 如果没有找到匹配
            If Not matchFound Then
                ' 输出未匹配信息
                Debug.Print ""未找到匹配 - 行"" & i & "":""
                Debug.Print ""  姓氏 '"" & surname & ""' 在Clan表中未找到匹配项""
                Debug.Print String(30, ""-"")
            End If
        Else
         
        End If
    Next i
    
    ' 输出最终统计信息
    Debug.Print String(50, ""="")
    Debug.Print ""处理完成!""
    Debug.Print ""总处理行数: "" & lastRowBase - 1
    Debug.Print ""处理了非精确匹配的行数: "" & processedCount
    Debug.Print ""成功匹配并替换的行数: "" & matchCount
    Debug.Print ""未匹配的行数: "" & (processedCount - matchCount)
    Debug.Print ""完成时间: "" & Now
    Debug.Print String(50, ""="")
    
    ' 显示消息框总结
    Dim summaryMsg As String
    summaryMsg = ""操作完成!"" & vbCrLf & vbCrLf
    summaryMsg = summaryMsg & ""总处理行数: "" & lastRowBase - 1 & vbCrLf
    summaryMsg = summaryMsg & ""处理了非精确匹配的行数: "" & processedCount & vbCrLf
    summaryMsg = summaryMsg & ""成功匹配并替换的行数: "" & matchCount & vbCrLf
    summaryMsg = summaryMsg & ""未匹配的行数: "" & (processedCount - matchCount)
    
    MsgBox summaryMsg, vbInformation, ""处理结果""
    
    ' 清理对象
    Set wsBase = Nothing
    Set wsClan = Nothing
End Sub"
,,1.3.2,Clan表找不到的部分，则需要自动创建Clan,
,,,创建Clan原则：遍历BaseInfo表中第E列匹配类型不为“精确匹配”的且第J列不为“家族和文化自动推断”的且第2列小于1000的部分，取第D列相同的放入一组。随后找组内人的第G列空格之前的部分出现最多的，作为家族名，并且以clan_家族名_1的格式作为家族ID填入第H列。符合条件在BaseInfo的J列填入  基于分组自动创建家族,"已完成。Sub AutoCreateClans()
    Dim wsBase As Worksheet, wsClan As Worksheet
    Dim lastRowBase As Long, lastRowClan As Long, i As Long
    Dim dict As Object, groupDict As Object, nameDict As Object
    Dim surname As String, familyName As String, familyID As String, baseName As String
    Dim mostCommonName As String, maxCount As Long
    Dim tempFamilyName As String, suffix As Integer
    Dim key As Variant, subKey As Variant
    Dim originalName As String, restOfName As String
    Dim resultDict As Object, existingIDs As Object
    Dim matchType As String, autoInfer As String
    Dim bValue As Variant
    Dim familyNameDisplay As String
    
    ' 设置工作表对象
    Set wsBase = ThisWorkbook.Worksheets(""BaseInfo"")
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    
    ' 获取最后一行
    lastRowBase = wsBase.Cells(wsBase.Rows.count, ""B"").End(xlUp).Row
    lastRowClan = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
    
    ' 创建字典
    Set dict = CreateObject(""Scripting.Dictionary"")
    Set resultDict = CreateObject(""Scripting.Dictionary"")
    Set existingIDs = CreateObject(""Scripting.Dictionary"")
    
    ' 收集Clan表中所有已存在的家族ID（使用小写）
    For i = 2 To lastRowClan
        If Not IsEmpty(wsClan.Cells(i, ""A"")) Then
            existingIDs.Add LCase(CStr(wsClan.Cells(i, ""A"").value)), 1
        End If
    Next i
    
    ' 第一步：收集符合条件的行并按姓氏分组
    For i = 2 To lastRowBase
        matchType = CStr(wsBase.Cells(i, ""E"").value)
        autoInfer = CStr(wsBase.Cells(i, ""J"").value)
        bValue = wsBase.Cells(i, ""B"").value
        
        ' 检查条件：E列不为""精确匹配""，J列不为""家族和文化自动推断""，B列小于1000
        If matchType <> ""精确匹配"" And _
           autoInfer <> ""家族和文化自动推断"" And _
           IsNumeric(bValue) And bValue < 1000 Then
           
            surname = Trim(CStr(wsBase.Cells(i, ""D"").value))
            If surname <> """" Then
                If Not dict.Exists(surname) Then
                    Set groupDict = CreateObject(""Scripting.Dictionary"")
                    dict.Add surname, groupDict
                Else
                    Set groupDict = dict(surname)
                End If
                
                baseName = Trim(CStr(wsBase.Cells(i, ""G"").value))
                If InStr(1, baseName, "" "") > 0 Then
                    baseName = Split(baseName, "" "")(0)
                End If
                
                groupDict.Add CStr(i), baseName
            End If
        End If
    Next i
    
    Application.ScreenUpdating = False
    
    ' 第二步：处理每个组
    For Each key In dict.Keys
        surname = CStr(key)
        Set groupDict = dict(surname)
        
        ' 找出最常出现的名字
        Set nameDict = CreateObject(""Scripting.Dictionary"")
        maxCount = 0
        mostCommonName = """"
        
        For Each subKey In groupDict.Keys
            baseName = CStr(groupDict(subKey))
            If Not nameDict.Exists(baseName) Then
                nameDict.Add baseName, 1
            Else
                nameDict(baseName) = nameDict(baseName) + 1
            End If
            
            If nameDict(baseName) > maxCount Then
                maxCount = nameDict(baseName)
                mostCommonName = baseName
            End If
        Next
        
        If mostCommonName <> """" Then
            ' 生成唯一的家族ID
            familyName = mostCommonName
            suffix = 1
            Dim uniqueIDFound As Boolean
            
            ' 尝试生成唯一ID
            Do
                ' 生成家族ID（小写）
                familyID = LCase(""clan_"" & familyName & ""_1"")
                
                ' 检查是否已存在
                If Not existingIDs.Exists(familyID) Then
                    ' 在同一批次中也检查
                    uniqueIDFound = True
                    For Each k In resultDict.Keys
                        If resultDict(k)(1) = familyID Then
                            uniqueIDFound = False
                            Exit For
                        End If
                    Next k
                    
                    If uniqueIDFound Then
                        Exit Do
                    End If
                End If
                
                ' 如果已存在，修改家族名
                familyName = mostCommonName & String(suffix, Right(mostCommonName, 1))
                suffix = suffix + 1
            Loop
            
            ' 生成用于显示的家族名（首字母大写）
            familyNameDisplay = UCase(Left(familyName, 1)) & Mid(familyName, 2)
            
            ' 存储结果
            resultDict.Add surname, Array(familyName, familyID, familyNameDisplay)
            
            ' 添加到现有ID列表
            existingIDs.Add familyID, 1
        End If
        
        Set nameDict = Nothing
    Next key
    
    ' 第三步：更新数据
    For Each key In resultDict.Keys
        surname = CStr(key)
        familyName = resultDict(key)(0)  ' 原始家族名（小写）
        familyID = resultDict(key)(1)     ' 家族ID（小写）
        familyNameDisplay = resultDict(key)(2)  ' 显示用的家族名（首字母大写）
        
        ' 更新BaseInfo表
        Set groupDict = dict(surname)
        For Each subKey In groupDict.Keys
            i = CLng(subKey)
            
            ' 更新H列：家族ID（小写）
            wsBase.Cells(i, ""H"").value = familyID
            
            ' 更新J列：标记
            wsBase.Cells(i, ""J"").value = ""基于分组自动创建家族""
            
            ' 更新G列：替换空格前的部分为显示用的家族名（首字母大写）
            originalName = CStr(wsBase.Cells(i, ""G"").value)
            If InStr(1, originalName, "" "") > 0 Then
                restOfName = Mid(originalName, InStr(1, originalName, "" ""))
                wsBase.Cells(i, ""G"").value = familyNameDisplay & restOfName
            Else
                wsBase.Cells(i, ""G"").value = familyNameDisplay
            End If
        Next
        
        ' 在Clan表中添加新行
        lastRowClan = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
        With wsClan
            .Cells(lastRowClan + 1, ""A"").value = familyID                   ' 第1列：家族ID（小写）
            .Cells(lastRowClan + 1, ""B"").value = surname                    ' 第2列：姓氏
            .Cells(lastRowClan + 1, ""C"").value = ""{=my_"" & LCase(familyName) & ""}"" & familyNameDisplay & ""-shi""  ' 第3列：本地化名
            .Cells(lastRowClan + 1, ""D"").value = """"                         ' 第4列：王国名（留空）
            .Cells(lastRowClan + 1, ""E"").value = 0                          ' 第5列：0
            .Cells(lastRowClan + 1, ""F"").value = familyNameDisplay          ' 第6列：家族名（首字母大写）
            .Cells(lastRowClan + 1, ""G"").value = """"                         ' 第7列：留空
        End With
    Next
    
    Application.ScreenUpdating = True
    
    MsgBox ""成功创建 "" & resultDict.count & "" 个家族！"" & vbCrLf & _
           ""家族ID全部使用小写，家族名首字母大写。"", vbInformation
    
    ' 清理
    Set dict = Nothing
    Set groupDict = Nothing
    Set nameDict = Nothing
    Set resultDict = Nothing
    Set existingIDs = Nothing
End Sub

' 验证函数：检查是否有重复的家族ID
Sub CheckDuplicateClanIDs()
    Dim wsClan As Worksheet
    Dim lastRow As Long, i As Long, j As Long
    Dim idDict As Object, duplicates As Object
    Dim clanID As String, lowerID As String
    Dim duplicateCount As Long
    
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    lastRow = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
    
    Set idDict = CreateObject(""Scripting.Dictionary"")
    Set duplicates = CreateObject(""Scripting.Dictionary"")
    
    ' 收集所有家族ID
    For i = 2 To lastRow
        clanID = Trim(CStr(wsClan.Cells(i, ""A"").value))
        If clanID <> """" Then
            lowerID = LCase(clanID)
            
            If idDict.Exists(lowerID) Then
                ' 找到重复
                If Not duplicates.Exists(lowerID) Then
                    duplicates.Add lowerID, idDict(lowerID) & "","" & i
                Else
                    duplicates(lowerID) = duplicates(lowerID) & "","" & i
                End If
                duplicateCount = duplicateCount + 1
            Else
                idDict.Add lowerID, i
            End If
        End If
    Next i
    
    ' 显示结果
    If duplicates.count = 0 Then
        MsgBox ""没有发现重复的家族ID。"", vbInformation
    Else
        Dim msg As String
        msg = ""发现 "" & duplicates.count & "" 个重复的家族ID:"" & vbCrLf & vbCrLf
        
        For Each key In duplicates.Keys
            Dim rowList As Variant
            rowList = Split(duplicates(key), "","")
            msg = msg & ""ID: "" & key & "" 在第 "" & Join(rowList, "", "") & "" 行重复"" & vbCrLf
        Next
        
        MsgBox msg, vbExclamation
    End If
    
    Set idDict = Nothing
    Set duplicates = Nothing
End Sub

' 检查家族名格式
Sub CheckClanNameFormat()
    Dim wsClan As Worksheet
    Dim lastRow As Long, i As Long
    Dim incorrectFormat As String
    Dim count As Long
    
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    lastRow = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
    count = 0
    incorrectFormat = """"
    
    For i = 2 To lastRow
        Dim clanID As String, familyName As String
        clanID = CStr(wsClan.Cells(i, ""A"").value)
        familyName = CStr(wsClan.Cells(i, ""F"").value)
        
        ' 检查家族ID是否小写
        If clanID <> LCase(clanID) Then
            count = count + 1
            incorrectFormat = incorrectFormat & ""第"" & i & ""行: 家族ID不是小写 - "" & clanID & vbCrLf
        End If
        
        ' 检查家族名是否首字母大写
        If Len(familyName) > 0 Then
            If Left(familyName, 1) <> UCase(Left(familyName, 1)) Then
                count = count + 1
                incorrectFormat = incorrectFormat & ""第"" & i & ""行: 家族名首字母不是大写 - "" & familyName & vbCrLf
            End If
        End If
    Next i
    
    If count = 0 Then
        MsgBox ""所有家族ID都是小写，所有家族名首字母都是大写。"", vbInformation
    Else
        MsgBox ""发现 "" & count & "" 个格式问题:"" & vbCrLf & vbCrLf & incorrectFormat, vbExclamation
    End If
End Sub

' 清理函数：删除所有自动创建的家族
Sub CleanAutoCreatedClans()
    Dim wsBase As Worksheet, wsClan As Worksheet
    Dim lastRowBase As Long, lastRowClan As Long, i As Long
    Dim response As VbMsgBoxResult
    
    response = MsgBox(""这将删除所有'基于分组自动创建家族'的记录。"" & vbCrLf & _
                     ""BaseInfo表的H、J列将被清空，Clan表中相关的行将被删除。"" & vbCrLf & _
                     ""确定要继续吗？"", vbExclamation + vbYesNo, ""警告"")
    
    If response = vbNo Then Exit Sub
    
    Set wsBase = ThisWorkbook.Worksheets(""BaseInfo"")
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    
    Application.ScreenUpdating = False
    
    ' 清空BaseInfo表中相关标记的行
    lastRowBase = wsBase.Cells(wsBase.Rows.count, ""J"").End(xlUp).Row
    For i = 2 To lastRowBase
        If wsBase.Cells(i, ""J"").value = ""基于分组自动创建家族"" Then
            wsBase.Cells(i, ""H"").value = """"
            wsBase.Cells(i, ""J"").value = """"
        End If
    Next i
    
    ' 删除Clan表中相关的行（从下往上删除，避免索引问题）
    lastRowClan = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
    For i = lastRowClan To 2 Step -1
        Dim clanID As String
        clanID = CStr(wsClan.Cells(i, ""A"").value)
        If clanID <> """" Then
            If LCase(Left(clanID, 5)) = ""clan_"" And _
               InStr(clanID, ""_1"") > 0 Then
                wsClan.Rows(i).Delete
            End If
        End If
    Next i
    
    Application.ScreenUpdating = True
    
    MsgBox ""清理完成！"", vbInformation
End Sub

' 辅助函数：检查工作表是否存在
Function SheetExists(sheetName As String) As Boolean
    On Error Resume Next
    SheetExists = Not ThisWorkbook.Worksheets(sheetName) Is Nothing
    On Error GoTo 0
End Function

' 修正函数：将Clan表第一列全部转换为小写，第六列首字母大写
Sub FixClanTableFormat()
    Dim wsClan As Worksheet
    Dim lastRow As Long, i As Long
    Dim familyName As String
    
    Set wsClan = ThisWorkbook.Worksheets(""Clan"")
    lastRow = wsClan.Cells(wsClan.Rows.count, ""A"").End(xlUp).Row
    
    Application.ScreenUpdating = False
    
    For i = 2 To lastRow
        ' 修正第一列：家族ID转换为小写
        If Not IsEmpty(wsClan.Cells(i, ""A"")) Then
            wsClan.Cells(i, ""A"").value = LCase(CStr(wsClan.Cells(i, ""A"").value))
        End If
        
        ' 修正第六列：家族名首字母大写
        If Not IsEmpty(wsClan.Cells(i, ""F"")) Then
            familyName = CStr(wsClan.Cells(i, ""F"").value)
            If Len(familyName) > 0 Then
                wsClan.Cells(i, ""F"").value = UCase(Left(familyName, 1)) & Mid(familyName, 2)
            End If
        End If
    Next i
    
    Application.ScreenUpdating = True
    
    MsgBox ""修正完成！已将所有家族ID转换为小写，所有家族名首字母大写。"", vbInformation
End Sub"
,,,"同时，Clan表中增加一行，第一列为家族ID，格式为刚刚的clan_家族名_1。第二列为BaseInfo第D列的姓氏，第三列为本地化名，格式为{=my_家族名}家族名-shi，第4列为王国名，暂时留空，第5列填0。第六列为家族名，第七列留空。
如果发现新增的这行家族ID和前面的其他行有重复，则需要家族名最后一个字母额外再加一个作为后缀，比如sakai改成sakaii，并且修正掉Clan新增行的第1列、第6列，以及BaseInfo对应组成员的第H列。以及BaseInfo表第G列的空格之前的部分",
