id,TK5Type,Name_All,TK5_X,TK5_Y,MOD_X,MOD_Y,Name_1554,Owner_1554,Clan_1554,Soldiers_1554,Name_1560,Owner_1560,Clan_1560,Soldiers_1560,Name_1568,Owner_1568,Clan_1568,Soldiers_1568,Name_1575,Owner_1575,Clan_1575,Soldiers_1575,Name_1582,Owner_1582,Clan_1582,Soldiers_1582,Name_1598,Owner_1598,Clan_1598,Soldiers_1598
town_tk000,城,胜山馆|松前城,383,52,1780.1,1044.6,胜山馆,lord_2_kakizaki,clan_kakizaki_2,5200,胜山馆,lord_2_kakizaki,clan_kakizaki_2,5800,胜山馆,lord_2_kakizaki,clan_kakizaki_2,7400,胜山馆,lord_2_kakizaki,clan_kakizaki_2,8600,胜山馆,lord_2_kakizaki,clan_kakizaki_2,9800,松前城,lord_2_kakizaki_2,clan_kakizaki_2,14000
town_tk001,城,大浦城,383,73,1780.2,934.5,大浦城,lord_1_nanbu,clan_nanbu_1,5200,大浦城,lord_1_tsugaru_tamenobu,clan_tsugaru_1,5800,大浦城,lord_1_tsugaru_tamenobu,clan_tsugaru_1,7400,大浦城,lord_1_tsugaru_tamenobu,clan_tsugaru_1,8600,大浦城,lord_1_tsugaru_tamenobu,clan_tsugaru_1,11600,大浦城,lord_1_tsugaru_tamenobu,clan_tsugaru_1,14000
town_tk002,城,八户城,405,84,1872.7,882.9,八户城,lord_1_nanbu,clan_nanbu_1,4000,八户城,lord_1_nanbu,clan_nanbu_1,4000,八户城,lord_1_nanbu,clan_nanbu_1,5600,八户城,lord_1_nanbu,clan_nanbu_1,7000,八户城,lord_1_nanbu_2,clan_nanbu_1,8000,八户城,lord_1_nanbu_2,clan_nanbu_1,12000
town_tk003,城,三户城,398,86,1841.0,874.0,三户城,lord_1_nanbu,clan_nanbu_1,6400,三户城,lord_1_nanbu,clan_nanbu_1,7600,三户城,lord_1_nanbu,clan_nanbu_1,9200,三户城,lord_1_nanbu,clan_nanbu_1,10200,三户城,lord_1_nanbu_2,clan_nanbu_1,11600,三户城,lord_1_nanbu_2,clan_nanbu_1,14000
town_tk004,城,九户城,400,94,1846.6,837.1,九户城,lord_1_konohe,clan_konohe_1,5200,九户城,lord_1_konohe,clan_konohe_1,5800,九户城,lord_1_konohe,clan_konohe_1,7400,九户城,lord_1_konohe,clan_konohe_1,8600,九户城,lord_1_konohe,clan_konohe_1,9800,九户城,lord_1_nanbu_2,clan_nanbu_1,12000
town_tk005,城,不来方城|盛冈城,388,101,1790.8,805.4,不来方城,lord_1_nanbu,clan_nanbu_1,6400,不来方城,lord_1_nanbu,clan_nanbu_1,7600,不来方城,lord_1_nanbu,clan_nanbu_1,9200,不来方城,lord_1_nanbu,clan_nanbu_1,10200,不来方城,lord_1_nanbu_2,clan_nanbu_1,11600,盛冈城,lord_1_nanbu_2,clan_nanbu_1,16000
town_tk006,城,高水寺城,390,105,1798.0,786.9,高水寺城,lord_1_shiba,clan_shiba_1,5200,高水寺城,lord_1_shiba,clan_shiba_1,5800,高水寺城,lord_1_shiba,clan_shiba_1,7400,高水寺城,lord_1_shiba,clan_shiba_1,8600,高水寺城,lord_1_shiba_2,clan_shiba_1,9800,高水寺城,lord_1_nanbu_2,clan_nanbu_1,12000
town_tk007,城,岩出山城,376,126,1727.7,690.9,岩出山城,lord_1_ichikuri_bangyu,clan_ichikuri_1,4000,岩出山城,lord_1_ichikuri_bangyu,clan_ichikuri_1,4000,岩出山城,lord_1_ichikuri_bangyu,clan_ichikuri_1,7400,岩出山城,lord_1_ichikuri_bangyu,clan_ichikuri_1,8600,岩出山城,lord_1_ichikuri_bangyu,clan_ichikuri_1,9800,岩出山城,lord_1_date_6,clan_date_1,12000
town_tk008,城,寺池城,382,129,1753.0,676.8,寺池城,lord_1_kasai,clan_kasai_1,5200,寺池城,lord_1_kasai,clan_kasai_1,5800,寺池城,lord_1_kasai,clan_kasai_1,7400,寺池城,lord_1_kasai,clan_kasai_1,8600,寺池城,lord_1_kasai,clan_kasai_1,9800,寺池城,lord_1_date_6,clan_date_1,12000
town_tk009,城,名生城,372,128,1709.3,681.8,名生城,lord_1_osaki_1,clan_osaki_1,5200,名生城,lord_1_osaki_1,clan_osaki_1,5800,名生城,lord_1_osaki_1,clan_osaki_1,7400,名生城,lord_1_osaki_1,clan_osaki_1,8600,名生城,lord_1_osaki,clan_osaki_1,9800,名生城,lord_1_date_6,clan_date_1,12000
