ID,原版编号,外观ID,模板NPC,姓名,别名,苗字,名,罗马音名,文化,性别,生年,登场,终年,死因,父亲,母,配偶,祖父,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,DesireType,喜好,饮酒,出身,物欲,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,登场_1554,姓名_1554,身份_1554,立场_1554,所属势力_1554,家族_1554,所属据点_1554,所属流派_1554,登场_1560,姓名_1560,身份_1560,立场_1560,所属势力_1560,家族_1560,所属据点_1560,所属流派_1560,登场_1568,姓名_1568,身份_1568,立场_1568,所属势力_1568,家族_1568,所属据点_1568,所属流派_1568,登场_1575,姓名_1575,身份_1575,立场_1575,所属势力_1575,家族_1575,所属据点_1575,所属流派_1575,登场_1582,姓名_1582,身份_1582,立场_1582,所属势力_1582,家族_1582,所属据点_1582,所属流派_1582,登场_1598,姓名_1598,身份_1598,立场_1598,所属势力_1598,家族_1598,所属据点_1598,所属流派_1598,登场_1549,姓名_1549,身份_1549,立场_1549,所属势力_1549,所属据点_1549,所属流派_1549,登场_1584,姓名_1584,身份_1584,立场_1584,所属势力_1584,所属据点_1584,所属流派_1584,登场_dream1560,姓名_dream1560,身份_dream1560,立场_dream1560,所属势力_dream1560,所属据点_dream1560,所属流派_dream1560,外观描述_光荣,立绘阶段,Persona,列传,列传原文
ID,OriginalID,AppearanceID,TemplateNPC,CNName,Alias,FirstName,SecondName,EnglishName,CultureID,Gender,BirthYear,BeginYear,DieYear,DieReason,FatherId,MotherId,SpouseId,GrandFatherId,KinsId,JobTendency,JobCompatibility,FriendCompatibility,Temper,Spirit,Ism,ActStyle,theImportanceOfFriendship,Ambition,DesireType,Desire,AlcoholDesire,Origin,WeaponDesire,CommandValue,ForceValue,GovernValue,WisdomValue,CharmValue,SoldierSkill,MountSkill,GunSkill,NavySkill,ArcherSkill,CombatSkill,MilitarySkill,NinjaSkill,BuildSkill,FarmSkill,MineSkill,ArthmeticSkill,EtiquetteSkill,DebateSkill,TeaSkill,MedicalSkill,WarCard,FightCard,TitleCard,IntimacyGet,CombineGet,EventGet,Appear_1554,Name_1554,Identity_1554,CareerStance_1554,Kingdom_1554,ClanID_1554,City_1554,School_1554,Appear_1560,Name_1560,Identity_1560,CareerStance_1560,Kingdom_1560,ClanID_1560,City_1560,School_1560,Appear_1568,Name_1568,Identity_1568,CareerStance_1568,Kingdom_1568,ClanID_1568,City_1568,School_1568,Appear_1575,Name_1575,Identity_1575,CareerStance_1575,Kingdom_1575,ClanID_1575,City_1575,School_1575,Appear_1582,Name_1582,Identity_1582,CareerStance_1582,Kingdom_1582,ClanID_1582,City_1582,School_1582,Appear_1598,Name_1598,Identity_1598,CareerStance_1598,Kingdom_1598,ClanID_1598,City_1598,School_1598,Appear_1549,Name_1549,Identity_1549,CareerStance_1549,Kingdom_1549,City_1549,School_1549,Appear_1584,Name_1584,Identity_1584,CareerStance_1584,Kingdom_1584,City_1584,School_1584,Appear_dream1560,Name_dream1560,Identity_dream1560,CareerStance_dream1560,Kingdom_dream1560,City_dream1560,School_dream1560,KoeiAppearanceDesc,ProfileStages,Persona,Biography,BiographyRaw
lord_tk5_0,0,0,,青山忠成,,青山,忠成,Aoyama Tadanari,kanto,1,1551,1565,1613,病死,,,,,,只限武将,88,88,温和,胆小,现实,慎重,重视情义,35,书籍,无欲,普通,藤原氏,刀剑,45,40,55,53,38,1,0,1,0,1,0,2,0,1,3,1,2,2,0,0,1,无,强袭,无,无要求,,,未登场,青山忠成,足轻组头,陪臣（松平元康）,今川家,clan_tokugawa_1,冈崎城,无,未登场,青山忠成,浪人,其他,无,,冈崎之町,无,已登场,青山忠成,足轻组头,直臣,德川家,clan_tokugawa_1,冈崎城,无,已登场,青山忠成,足轻组头,直臣,德川家,clan_tokugawa_1,滨松城,无,已登场,青山忠成,足轻组头,直臣,德川家,clan_tokugawa_1,滨松城,无,已登场,青山忠成,足轻大将,直臣,德川家,clan_tokugawa_1,江户城,无,未登场,青山忠成,足轻组头,直臣,松平家,冈崎城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,大名,首领,青山家,高松城,无,,"[{""stage"":"""",""tkid"":""0"",""ref"":""0"",""emotion"":0}]",,TAIKOU_bio_0,德川家臣。忠門之子。家康祖父清康時代就侍奉於德川家的青山家後代，早期入仕家康，也曾任秀忠的撫養人。關原之戰後成為江戶奉行和關東的地方總奉行。後遭家康貶謫，隱居。
lord_tk5_1,1,1,,赤池长任,赤池長任,赤池,长任,Akaike Nagatomo,saikai,1,1530,1554,1579,病死,,,,,,只限武将,60,60,性急,勇敢,普通,普通,重视情义,29,武具,普通,嗜酒如命,其他,刀剑,70,63,43,61,58,2,3,2,1,2,2,3,0,1,0,0,1,1,1,0,0,无,强袭，拔突，刚弓，铁壁,无,无要求,,,已登场,赤池长任,部将,直臣,相良家,clan_sagara_1,人吉城,无,已登场,赤池长任,部将,直臣,相良家,clan_sagara_2,人吉城,无,已登场,赤池长任,部将,直臣,相良家,clan_sagara_2,人吉城,无,已登场,赤池长任,部将,直臣,相良家,clan_sagara_2,人吉城,无,已死亡,赤池长任,无效,无效,无,,无效,无,已死亡,赤池长任,无效,无效,无,,无效,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已死亡,赤池长任,无效,无效,无,无效,无,已登场,赤池长任,部将,直臣,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""1"",""ref"":""1"",""emotion"":0}]",,TAIKOU_bio_1,相良家家臣。負責守備薩摩大口城。和麾下的寄騎大將‧丸目長惠、岡本賴氏等人，與島津勢有過數度的交戰。在堂崎之戰時，率領大隊援軍擊敗猛將‧島津義弘。此時的義弘以家臣代替自己而逃走。
lord_tk5_2,2,2,,赤井直正,,赤井,直正,Akai Naomasa,kinai,1,1529,1560,1578,战死,,,,,,全职种,44,44,普通,勇敢,普通,普通,普通,57,武具,贪心,嗜酒如命,源氏,枪,72,62,43,56,55,3,2,2,0,1,2,2,1,1,1,1,1,1,0,0,0,无,强袭，拔突，铁壁,无,一般条件,,,已登场,赤井直正,侍大将,直臣,波多野家,clan_kiku_1,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,clan_kiku_1,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,clan_kiku_1,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,clan_kiku_1,八上城,无,已死亡,赤井直正,无效,无效,无,,无效,无,已死亡,赤井直正,无效,无效,无,,无效,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已死亡,赤井直正,无效,无效,无,无效,无,已登场,赤井直正,家老,直臣,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""2"",""ref"":""2"",""emotion"":0}]",,TAIKOU_bio_2,丹波望族。時家次子，黑井城主。惡右衛門。武勇過人，綽號「丹波赤鬼」。因兄長家清戰死而開始保護年少的外甥忠家。屢次擊退旨在平定丹波的明智光秀部隊。城破時，據說將家寶貂皮讓給了敵軍將領。
lord_tk5_3,3,3,,安西又助,,安西,又助,Anzai Matasuke,kanto,1,1556,1570,1619,病死,,,,,,全职种,35,35,性急,普通,理想,轻率,普通,44,南蛮物,贪心,嗜酒如命,平氏,刀剑,56,53,21,39,47,2,0,1,3,2,1,0,1,2,0,0,0,0,1,0,1,进水,强袭，刚弓,无,无要求,,,未登场,安西又助,船大将,直臣,房总水军,clan_okumura_1,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,clan_okumura_1,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,clan_okumura_1,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,clan_okumura_1,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,clan_okumura_1,冈本之砦,无,已登场,安西又助,头领,首领,房总水军,clan_anzai_1,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,侍大将,直臣,西园寺家,山形城,无,,"[{""stage"":"""",""tkid"":""3"",""ref"":""3"",""emotion"":0}]",,TAIKOU_bio_3,里見水軍的將領。安西家在里見家掌權前，是支配安房西部的豪族，到了戰國後期臣屬於里見家。為房總水軍的核心人物。和企圖侵略房總的北條家軍隊，在江戶灣展開過多次的攻防戰。
lord_tk5_4,4,4,,赤尾清纲,赤尾清綱,赤尾,清纲,Akao Kiyotsuna,kinai,1,1514,1554,1573,战死,,,,,,只限武将,70,70,温和,勇敢,理想,普通,普通,21,书籍,普通,普通,藤原氏,刀剑,64,70,39,66,41,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤尾清纲,家老,直臣,浅井家,clan_azai_1,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,clan_azai_2,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,clan_azai_2,小谷城,无,已死亡,赤尾清纲,无效,无效,无,,无效,无,已死亡,赤尾清纲,无效,无效,无,,无效,无,已死亡,赤尾清纲,无效,无效,无,,无效,无,已登场,赤尾清纲,部将,直臣,浅井家,小谷城,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已登场,赤尾清纲,家老,直臣,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""4"",""ref"":""4"",""emotion"":0}]",,TAIKOU_bio_4,淺野家臣。近江赤尾城主。與海北綱親的森彌兵衛一起被稱為「海赤雨三將」，是三老之一。將淺井家的居城小谷城交與赤尾曲輪。後遭織田信長進攻，小谷城陷落，被斬首。
lord_tk5_5,5,5,,明石全登,,明石,全登,Akashi Teruzumi,sanyo,1,1566,1580,1615,战死,,,,,,全职种,19,19,性急,胆小,理想,轻率,普通,62,南蛮物,贪心,普通,源氏,刀剑,60,69,46,56,53,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,2,无,强袭,无,一般条件,,,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,clan_ukita_1,天神山城,无,未登场,明石全登,足轻组头,直臣,浦上家,clan_uragami_1,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,clan_ukita_1,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,clan_ukita_1,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,clan_ukita_1,冈山城,无,已登场,明石全登,侍大将,直臣,宇喜多家,clan_ukita_1,冈山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,浪人,其他,无,江户之町,无,,"[{""stage"":"""",""tkid"":""5"",""ref"":""5"",""emotion"":0}]",,TAIKOU_bio_5,宇喜多家臣。景親之子。是熱心的天主教徒，據說曾讓傳教士們住宿，在自家宅中佈教。主家發生內亂，一些老臣紛紛退職後，他請求擔任了國政之職。關原之戰時，作為宇喜多軍的先鋒而英勇奮戰。
lord_tk5_6,6,6,,赤穴盛清,,赤穴,盛清,Akana Sanekiyo,sanyo,1,1529,1554,1595,病死,,,,,,全职种,20,36,温和,胆小,现实,慎重,不重情义,31,艺术品,普通,滴酒不沾,源氏,刀剑,39,45,60,53,36,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤穴盛清,侍大将,直臣,尼子家,clan_amago_1,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,尼子家,clan_amago_1,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,clan_mori_1,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,clan_mori_2,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,clan_mori_2,吉田郡山城,无,已死亡,赤穴盛清,无效,无效,无,,无效,无,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,大名,首领,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""6"",""ref"":""6"",""emotion"":0}]",,TAIKOU_bio_6,尼子家臣。出雲瀨戶山城主。光清三子。父親光清在與大內義隆的戰鬥中被射殺。主公晴久為其壯烈之死而感動，增加了繼承家業的盛清的領地。但是最終拋棄了衰亡中的主家，投降毛利元就的侵略大軍而臣服。
lord_tk5_7,7,7,,赤松政秀,,赤松,政秀,Akamatsu Torashige,sanyo,1,1510,1554,1570,战死,,,,,lord_tk5_328,全职种,59,59,普通,普通,理想,轻率,不重情义,61,书籍,贪心,普通,源氏,刀剑,48,58,44,55,46,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,无,强袭,无,无要求,,,已登场,赤松政秀,家老,直臣,赤松家,clan_akamatsu_2,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,clan_akamatsu_2,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,clan_akamatsu_2,置盐城,无,已死亡,赤松政秀,无效,无效,无,clan_akamatsu_1,无效,无,已死亡,赤松政秀,无效,无效,无,clan_kinoshita_1,无效,无,已死亡,赤松政秀,无效,无效,无,clan_kinoshita_1,无效,无,已登场,赤松政秀,部将,直臣,赤松家,置盐城,无,已死亡,赤松政秀,无效,无效,无,无效,无,已登场,赤松政秀,部将,直臣,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""7"",""ref"":""7"",""emotion"":0}]",,TAIKOU_bio_7,赤松家臣。播磨龍野城主。將沒落的主家晴政迎入居城。殺死皇津城的浦上政宗之後，在三木城別所與安治相聯合，與小寺政職、黑田職隆作戰。之後據說被毒殺。
lord_tk5_8,8,8,,赤松义祐,赤松義祐,赤松,义祐,Akamatsu Yoshisuke,sanyo,1,1537,1554,1576,病死,lord_tk5_808,,,,lord_tk5_808,只限武将,59,59,温和,胆小,普通,普通,普通,56,艺术品,贪心,普通,源氏,刀剑,39,45,51,46,39,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,无,强袭,无,一般条件,,,已登场,赤松义祐,家老,直臣,赤松家,clan_akamatsu_1,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,clan_akamatsu_1,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,clan_akamatsu_1,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,clan_akamatsu_1,置盐城,无,已死亡,赤松义祐,无效,无效,无,,无效,无,已死亡,赤松义祐,无效,无效,无,,无效,无,未登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已死亡,赤松义祐,无效,无效,无,无效,无,已登场,赤松义祐,家老,直臣,赤穴家,中村城,无,,"[{""stage"":"""",""tkid"":""8"",""ref"":""8"",""emotion"":0}]",,TAIKOU_bio_8,赤松家嫡流，晴政之子。美作新莊山城主。與織田信長串通，同播磨的浦上宗景相作戰失敗而沒落。赤松家是繼承村上源氏的流派，為建武政府樹立做出貢獻的赤松則村為祖先的名門望族，是控制山陽道要地的有力守備。
