兵种ID,中文名,英文名,等级,兵种组,技能组,文化,基础兵,武器,甲,兜,腿,手套,马,马具,升级目标,民用套装
ID,CNName,EnName,Level,Group,Skill,Culture,IsBasic,Weapons,Armor,Helmet,Leg,Gloves,Horse,HorseHarness,Upgrades,CivilSet
yari_ashigaru,枪足轻,Ashigaru Spearman,6,Infantry,SkillSet.infantry_heavyinfantry_level6_template_skills,ikoku,1,taikou_troop_yari_weapon_a,taikou_troop_yari_ashigaru_do_a,taikou_troop_yari_ashigaru_helmet_a,,,,,veteran_ashigaru,taikou_civil_common
katana_ashigaru,刀足轻,Ashigaru Swordsman,6,Infantry,SkillSet.infantry_heavyinfantry_level6_template_skills,ikoku,1,taikou_troop_uchigatana_weapon_a,taikou_troop_katana_ashigaru_do_a,taikou_troop_katana_ashigaru_helmet_a,,,,,veteran_ashigaru,taikou_civil_common
yumi_ashigaru,弓足轻,Ashigaru Archer,6,Ranged,SkillSet.ranged_skirmisher_level6_template_skills,ikoku,1,taikou_troop_yumi_weapon_a|steppe_arrows,taikou_troop_yumi_ashigaru_do_a,,,,,,,taikou_civil_common
teppo_ashigaru,铁炮足轻,Ashigaru Gunner,6,Ranged,SkillSet.ranged_skirmisher_level6_template_skills,ikoku,1,taikou_teppo|taikou_teppo_ammo,taikou_troop_teppo_ashigaru_do_a,taikou_troop_teppo_ashigaru_helmet_a,,,,,,taikou_civil_common
veteran_ashigaru,精锐足轻,Veteran Ashigaru,11,Infantry,SkillSet.infantry_heavyinfantry_level11_template_skills,ikoku,1,taikou_troop_yari_weapon_a,taikou_troop_elite_ashigaru_do_a,taikou_troop_elite_ashigaru_helmet_a,,,,,samurai,taikou_civil_common
samurai,武士,Samurai,16,Infantry,SkillSet.infantry_heavyinfantry_level16_template_skills,ikoku,0,taikou_troop_uchigatana_weapon_a,taikou_troop_samurai_do_a,taikou_troop_samurai_helmet_a,,,,,taisho,taikou_civil_common
taisho,侍大将,Samurai General,21,Infantry,SkillSet.infantry_heavyinfantry_level21_template_skills,ikoku,0,taikou_troop_uchigatana_weapon_a,taikou_troop_taisho_do_a,taikou_troop_taisho_helmet_a,,,,,,taikou_civil_common
mounted_samurai,骑马武士,Mounted Samurai,21,Cavalry,SkillSet.cavalry_lightcavalry_heavycavalry_level21_template_skills,ikoku,0,vlandia_lance_2_t4|ridged_sabre_sword_t4,taikou_troop_samurai_do_a,taikou_troop_samurai_helmet_a,,,t2_empire_horse,light_harness,,taikou_civil_common
genin,下忍,Genin,6,Infantry,SkillSet.infantry_heavyinfantry_level6_template_skills,ninja,1,taikou_troop_shinobigatana_weapon_a,taikou_troop_genin_do_a,,,,,,chunin,taikou_civil_common
chunin,中忍,Chunin,11,Infantry,SkillSet.infantry_heavyinfantry_level11_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_chunin_do_a,,,,,,jonin|totsunin|tobinin,taikou_civil_common
totsunin,突忍,Totsunin,16,Infantry,SkillSet.infantry_heavyinfantry_level16_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_totsunin_do_a,taikou_troop_totsunin_helmet_a,,,,,hazenin,taikou_civil_common
tobinin,飞忍,Tobinin,16,Infantry,SkillSet.infantry_heavyinfantry_level16_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_tobinin_do_a,,,,,,hazenin,taikou_civil_common
jonin,上忍,Jonin,16,Infantry,SkillSet.infantry_heavyinfantry_level16_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_jonin_do_a,taikou_troop_jonin_helmet_a,,,,,hazenin|sennin,taikou_civil_common
sennin,旋忍,Sennin,21,Infantry,SkillSet.infantry_heavyinfantry_level21_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_sennin_do_a,taikou_troop_sennin_helmet_a,,,,,,taikou_civil_common
hazenin,破忍,Hazenin,21,Infantry,SkillSet.infantry_heavyinfantry_level21_template_skills,ninja,0,taikou_troop_shinobigatana_weapon_a,taikou_troop_hazenin_do_a,taikou_troop_hazenin_helmet_a,,,,,,taikou_civil_common
bandit_looter,山贼,Bandit,4,Infantry,SkillSet.infantry_heavyinfantry_level1_template_skills,ikoku,0,wooden_sword_t1;peasant_pickaxe_1_t1,tattered_rags,,wrapped_shoes,,,,,taikou_civil_bandit
