ID,ScriptName,ChineseName,LocozationName,Surname,Culture,Is_Shokuho,Owner_1554,Kingdom_1554,Owner_1560,Kingdom_1560,Owner_1568,Kingdom_1568,Owner_1575,Kingdom_1575,Owner_1582,Kingdom_1582,Owner_1598,Kingdom_1598
clan_akamatsu_1,赤松,赤松,{=TAIKOU_clan_akamatsu_1}Akamatsu,Akamatsu,kinai,0,lord_tk5_808,akamatsu,lord_tk5_8,akamatsu,lord_tk5_8,akamatsu,lord_tk5_8,akamatsu,-,-,-,-
clan_akamatsu_2,赤松,赤松,{=TAIKOU_clan_akamatsu_2}Akamatsu,Akamatsu,kinai,0,lord_tk5_7,akamatsu,lord_tk5_7,akamatsu,lord_tk5_7,akamatsu,-,-,-,-,-,-
clan_akechi_1,明智,明智,{=TAIKOU_clan_akechi_1}Akechi,Akechi,tokai,0,lord_tk5_14,saitoo,lord_tk5_14,asakura,lord_tk5_14,oda,lord_tk5_14,oda,lord_tk5_14,oda,-,-
clan_aki_1,安艺,安艺,{=TAIKOU_clan_aki_1}Aki,Aki,nankai,0,lord_tk5_10,ichijo,lord_tk5_10,ichijo,-,-,-,-,-,-,-,-
clan_akita_1,秋田,秋田,{=TAIKOU_clan_akita_1}Akita,Akita,ou,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_11,akita
clan_amago_1,尼子,尼子,{=TAIKOU_clan_amago_1}Amago,Amago,sanyo,0,lord_tk5_45,amago,lord_tk5_45,amago,-,-,-,-,-,-,-,-
clan_anayama_1,穴山,穴山,{=TAIKOU_clan_anayama_1}Anayama,Anayama,tosan,0,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,-,-
clan_ando_1,安东,安东,{=TAIKOU_clan_ando_1}Ando,Ando,ou,0,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,-,-
clan_andoo_1,安藤,安藤,{=TAIKOU_clan_andoo_1}Andoo,Andoo,tokai,0,lord_tk5_58,saitoo,lord_tk5_58,saitoo,-,-,-,-,-,-,-,-
clan_anekouji_1,姊小路,姊小路,{=TAIKOU_clan_anekouji_1}Anekouji,Anekouji,tosan,0,lord_tk5_907,miki,lord_tk5_907,miki,lord_tk5_907,anekouji,lord_tk5_42,anekouji,lord_tk5_42,anekouji,-,-
clan_ankokuji_1,安国寺,安国寺,{=TAIKOU_clan_ankokuji_1}Ankokuji,Ankokuji,nankai,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_54,ankokuji
clan_anzai_1,安西,安西,{=TAIKOU_clan_anzai_1}Anzai,Anzai,neutral_culture,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_3,org_pirate_bousousuigun
clan_araki_1,荒木,荒木,{=TAIKOU_clan_araki_1}Araki,Araki,kinai,0,lord_tk5_52,miyoshi,lord_tk5_52,miyoshi,lord_tk5_52,oda,lord_tk5_52,oda,-,-,-,-
clan_arima_1,有马,有马,{=TAIKOU_clan_arima_1}Arima,Arima,saikai,0,lord_tk5_822,arima,lord_tk5_810,arima,lord_tk5_810,ryuzoji,lord_tk5_810,ryuzoji,-,-,lord_tk5_53,arima
clan_asakura_1,朝仓,朝仓,{=TAIKOU_clan_asakura_1}Asakura,Asakura,hokuriku,0,lord_tk5_23,asakura,lord_tk5_23,asakura,lord_tk5_23,asakura,-,-,-,-,-,-
clan_asano_1,浅野,浅野,{=TAIKOU_clan_asano_1}Asano,Asano,tokai,0,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_26,asano
clan_ashikaga_1,足利,足利,{=TAIKOU_clan_ashikaga_1}Ashikaga,Ashikaga,kinai,0,lord_tk5_31,ashikaga,lord_tk5_31,ashikaga,-,-,-,-,-,-,-,-
clan_ashikaga_2,足利,足利,{=TAIKOU_clan_ashikaga_2}Ashikaga,Ashikaga,kinai,0,-,-,-,-,lord_tk5_29,ashikaga,-,-,-,-,-,-
clan_ashina_1,芦名,芦名,{=TAIKOU_clan_ashina_1}Ashina,Ashina,ou,0,lord_tk5_32,ashina,lord_tk5_32,ashina,lord_tk5_32,ashina,lord_tk5_32,ashina,-,-,-,-
clan_ashina_2,芦名,芦名,{=TAIKOU_clan_ashina_2}Ashina,Ashina,ou,0,-,-,-,-,-,-,-,-,lord_tk5_35,ashina,-,-
clan_aso_1,阿苏,阿苏,{=TAIKOU_clan_aso_1}Aso,Aso,saikai,0,lord_tk5_850,aso,lord_tk5_36,aso,lord_tk5_36,aso,lord_tk5_36,aso,lord_tk5_36,aso,-,-
clan_atagi_1,安宅,安宅,{=TAIKOU_clan_atagi_1}Atagi,Atagi,kinai,0,lord_tk5_38,org_pirate_awajisuigun,lord_tk5_38,org_pirate_awajisuigun,lord_tk5_37,org_pirate_awajisuigun,lord_tk5_37,org_pirate_awajisuigun,-,-,-,-
clan_azai_1,浅井,浅井,{=TAIKOU_clan_azai_1}Azai,Azai,kinai,0,lord_tk5_17,azai,-,-,-,-,-,-,-,-,-,-
clan_azai_2,浅井,浅井,{=TAIKOU_clan_azai_2}Azai,Azai,kinai,0,lord_tk5_16,azai,lord_tk5_16,azai,lord_tk5_16,azai,-,-,-,-,-,-
clan_baba_1,马场,马场,{=TAIKOU_clan_baba_1}Baba,Baba,tosan,0,lord_tk5_592,takeda,lord_tk5_592,takeda,-,-,-,-,-,-,-,-
clan_bessho_1,别所,别所,{=TAIKOU_clan_bessho_1}Bessho,Bessho,kinai,0,lord_tk5_842,akamatsu,lord_tk5_842,akamatsu,-,-,-,-,-,-,-,-
