ID,太阁名,中文名,太阁类型,种类,语料出现次数,备注
ID,TK5Name,CNName,TK5Type,Kind,SourceCount,Remark
tk5_item_manyoshu,万葉集,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_mankin_tan,万金丹,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shamisen,三味線,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_mikuni_kuro,三國黑,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_mikazuki_chaho,三日月茶壺,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_miyoshino,三芳野,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_fujisan,不二山,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_sekai_zu_byobu,世界圖屏風,,,item,9,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tanba_chaho,丹波茶壺,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tsukumo_nasubi,九十九髪茄子,,,item,15,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_futari_shizuka,二人静,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_gorinsho,五輪書,,,item,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shigaraki_yaki,信樂燒,,,trade_good,9,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_bizen_yaki,備前燒,,,trade_good,11,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_bizen_osafune_kanemitsu,備前長船兼光,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_soboshi,僧坊酒,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hatsuhana_katatsuki,初花肩衝,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_rikyu_shu,利休酒,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_jumonji_yari,十文字槍,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_chidori_no_koro,千鳥之香炉,,,item,27,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hankontan,反魂丹,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kokinshu,古今和歌集,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kotenmei_hirakumo,古天明平蜘蛛,,,item,11,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_yoshimitsu_kotsujiki,吉光骨食,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ruson_tsubo,呂宋壺,,,item,15,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_kara_imo,唐芋,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kunimoto_tsutsu,國友筒,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_chikyugi,地球儀,,,item,13,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_o_shinju,大真珠,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tengoku,天國,,,item,42,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tenmei_gama,天明釜,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_sozan_samonji,宗三左文字,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hokan,寶冠,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kotsubugane,小粒金,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kohibari,小雲雀,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_yamamomo,山桃,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_taishaku_kurige,帝釋栗毛,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tsurezuregusa,徒然草,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shinobi_gama,忍鎌,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shuriken,手裏剣,,,item,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_sutego,捨子,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hojou_tsukige,放生月毛,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_doupeng,斗篷,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shinden_katatsuki,新田肩衝,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_nihon_go,日本號,,,item,12,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_umazake,旨酒,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hoshizaki,星崎,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shunkei_nuri,春慶塗,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_sarasa,更紗,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_aizu_kuro,會津黑,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_chousen_karatsu,朝鮮唐津,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_sugihara_kami,杉原紙,,,trade_good,18,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_muramasa,村正,,,item,15,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_murasame,村雨,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_matsushima_no_tsubo,松島之壺,,,item,11,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_matsumoto_chawan,松本茶碗,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_matsukaze,松風,,,item,20,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_negoro_nuri,根來塗,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_nashi,梨,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shuzi,梳子,,,trade_good,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_narashiba_katatsuki,楢柴肩衝,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_masamune,正宗,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_suisho,水晶,,,trade_good,13,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shadingyu,沙丁魚,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_namida,淚,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_seishu,清酒,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_tokou_shuinjou,渡航朱印狀,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_nigorizake,濁酒,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_fukouyaku,無效藥,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_mumei_yari,無銘槍,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_enso,煙槍,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_tabako,煙草,,,trade_good,12,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_kaki,牡蠣,,,trade_good,9,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_monohoshizao,物干竿,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_boli_ping,玻璃瓶,,,trade_good,11,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_chindashu,珍陀酒,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shuko_konasubi,珠光小茄子,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kamewarito,瓶割刀,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_tatami,疊,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shiraishi,白石,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_hakuji,白磁,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hyakudan,百段,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_suzuri,硯,,,trade_good,23,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shouzui,祥瑞,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_doujigiri,童子切,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_takemitsu,竹光,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_fude,筆,,,trade_good,22,2026-08-30 语料扫描（07 数据包补 ID/类型）
