合成号,ID,名前,职业,罗马音,置信度,出现年代,各年代槽号,各年代组织,是否当主
9279,lord_tk5_trader_shichiroobee,七郎兵卫,trader,shichiroobee,高,1554|1560,1554:1007|1560:1130,1554:伊藤屋|1560:大西屋,
9258,lord_tk5_trader_manjiroo,万次郎,trader,manjiroo,高,1568|1575|1598,1568:1027|1575:1048|1598:1059,1568:博多屋|1575:镫屋|1598:角屋,
9275,lord_tk5_trader_sanhei,三平,trader,sanhei,高,1598,1598:1095,1598:纳屋,
9268,lord_tk5_trader_saburoobee,三郎兵卫,trader,saburoobee,高,1554|1575|1598,1554:1046|1575:1030|1598:1081,1554:友野屋|1575:下关屋|1598:川舟屋,
9325,lord_tk5_trader_yoshichiroo,与七郎,trader,yoshichiroo,高,1554|1560|1575,1554:1000|1560:1140|1575:1028,1554:角屋|1560:川舟屋|1575:茶屋,
9323,lord_tk5_trader_yosaburoo,与三郎,trader,yosaburoo,高,1560|1568|1582,1560:1009|1568:1001|1582:1011,1560:纳屋|1568:角屋|1582:虎屋,
9321,lord_tk5_trader_yobee,与兵卫,trader,yobee,高,1554|1568|1598,1554:1021|1568:1025|1598:1055,1554:越后屋|1568:博多屋|1598:下关屋,
9322,lord_tk5_trader_yoheiji,与平次,trader,yoheiji,高,1568|1582|1598,1568:1051|1582:1047|1598:1098,1568:镫屋|1582:川舟屋|1598:纳屋,
9313,lord_tk5_trader_ushimatsu,丑松,trader,ushimatsu,高,1560|1568|1575,1560:1026|1568:1055|1575:1015,1560:组屋|1568:神屋|1575:越后屋,
9277,lord_tk5_trader_senji,专次,trader,senji,高,1560|1582,1560:1031|1582:1048,1560:角屋|1582:镫屋,
9300,lord_tk5_trader_tanzaemon,丹左卫门,trader,tanzaemon,高,1568|1582|1598,1568:1029|1582:1009|1598:1073,1568:茶屋|1582:虎屋|1598:山形屋,
9324,lord_tk5_trader_yoshibee,义兵卫,trader,yoshibee,高,1554|1560|1568,1554:1016|1560:1062|1568:1002,1554:坂田屋|1560:下关屋|1568:角屋,
9251,lord_tk5_trader_kubee,九兵卫,trader,kubee,高,1554|1560|1575,1554:1009|1560:1044|1575:1042,1554:纳屋|1560:镫屋|1575:组屋,
9214,lord_tk5_trader_gobee,五兵卫,trader,gobee,高,1560|1568|1575,1560:1024|1568:1031|1575:1024,1560:博多屋|1568:茶屋|1575:博多屋,
9224,lord_tk5_trader_jinuemon,仁右卫门,trader,jinuemon,高,1554|1560|1568|1582,1554:1014|1560:1063|1568:1035|1582:1030,1554:虎屋|1560:伊藤屋|1568:天王寺屋|1582:下关屋,
9278,lord_tk5_trader_senzoo,仙造,trader,senzoo,高,1560|1575,1560:1027|1575:1002,1560:博多屋|1575:角屋,
9273,lord_tk5_trader_sakubee,作兵卫,trader,sakubee,高,1554|1560|1575,1554:1037|1560:1058|1575:1026,1554:下关屋|1560:组屋|1575:博多屋,
9274,lord_tk5_trader_sakutaroo,作太郎,trader,sakutaroo,高,1568|1598,1568:1038|1598:1109,1568:友野屋|1598:淀屋,
9267,lord_tk5_trader_rokuzaemon,六左卫门,trader,rokuzaemon,高,1560|1568|1575,1560:1005|1568:1019|1575:1011,1560:角屋|1568:小西屋|1575:虎屋,
9266,lord_tk5_trader_rokuroobee,六郎兵卫,trader,rokuroobee,高,1568|1575|1582|1598,1568:1028|1575:1051|1582:1044|1598:1097,1568:茶屋|1575:神屋|1582:组屋|1598:纳屋,
9226,lord_tk5_trader_junnosuke,准之介,trader,junnosuke,高,1554|1582|1598,1554:1018|1582:1012|1598:1072,1554:坂田屋|1582:淀屋|1598:山形屋,
9219,lord_tk5_trader_hatsuuemon,初右卫门,trader,hatsuuemon,高,1582|1598,1582:1026|1598:1066,1582:博多屋|1598:角仓屋,
9310,lord_tk5_trader_toshisaburoo,利三郎,trader,toshisaburoo,高,1554|1575|1598,1554:1039|1575:1007|1598:1106,1554:下关屋|1575:纳屋|1598:平野屋,
9265,lord_tk5_trader_rihachi,利八,trader,rihachi,高,1560|1568|1582,1560:1016|1568:1045|1582:1032,1560:纳屋|1568:组屋|1582:下关屋,
9293,lord_tk5_trader_sukesaburoo,助三郎,trader,sukesaburoo,高,1554|1560|1575,1554:1025|1560:1108|1575:1036,1554:小西屋|1560:镫屋|1575:角仓屋,
9291,lord_tk5_trader_sukejiroo,助二郎,trader,sukejiroo,高,1554|1560|1582,1554:1032|1560:1138|1582:1003,1554:博多屋|1560:大西屋|1582:伊藤屋,
9290,lord_tk5_trader_sukegoroo,助五郎,trader,sukegoroo,高,1554|1575|1598,1554:1024|1575:1049|1598:1061,1554:小西屋|1575:镫屋|1598:角屋,
9292,lord_tk5_trader_sukeroku,助六,trader,sukeroku,高,1554|1582|1598,1554:1010|1582:1008|1598:1105,1554:纳屋|1582:纳屋|1598:平野屋,
9233,lord_tk5_trader_kanpachi,勘八,trader,kanpachi,高,1554|1568|1598,1554:1053|1568:1008|1598:1092,1554:组屋|1568:纳屋|1598:镫屋,
9235,lord_tk5_trader_kanuemon,勘右卫门,trader,kanuemon,高,1560|1575|1582,1560:1032|1575:1038|1582:1045,1560:虎屋|1575:角仓屋|1582:川舟屋,
9232,lord_tk5_trader_kankichi,勘吉,trader,kankichi,高,1554|1560|1575,1554:1001|1560:1072|1575:1000,1554:角屋|1560:坂田屋|1575:角屋,
9230,lord_tk5_trader_kandayuu,勘太夫,trader,kandayuu,高,1560|1568|1575,1560:1143|1568:1037|1575:1001,1560:越后屋|1568:天王寺屋|1575:角屋,
9227,lord_tk5_trader_juumaru,十丸,trader,juumaru,高,1568|1575|1598,1568:1053|1575:1020|1598:1101,1568:神屋|1575:小西屋|1598:播磨屋,
9217,lord_tk5_trader_hansuke,半助,trader,hansuke,高,1560|1568|1582,1560:1022|1568:1003|1582:1006,1560:博多屋|1568:伊藤屋|1582:纳屋,
