合成号,hero_id,名前,职业,槽号_1554,槽号_1560,槽号_1568,槽号_1575,槽号_1582,槽号_1598,组织_1554,组织_1560,组织_1568,组织_1575,组织_1582,组织_1598
9000,lord_tk5_ninja_bunkichi,文吉,ninja,,,,,1088,1136,,,,,伊贺众,外闻众
9001,lord_tk5_ninja_chiyomatsu,千代松,ninja,,1077,1087,1085,,,,黑胫巾众,伊贺众,伊贺众,,
9002,lord_tk5_ninja_choukichi,长吉,ninja,,1158,,,1096,,,甲贺众,,,外闻众,
9003,lord_tk5_ninja_chuuzan,中三,ninja,1062,1013,1085,,1078,,户隐众,外闻众,伊贺众,,透波众,
9004,lord_tk5_ninja_dankuroo,段九郎,ninja,,,,1100,1100,1130,,,,山潜众,山潜众,山潜众
9005,lord_tk5_ninja_denrinboo,传林坊,ninja,1071,1087,,1075,1099,,轩猿众,山潜众,,透波众,山潜众,
9006,lord_tk5_ninja_denroku,传六,ninja,1063,,,1059,,1131,户隐众,,,黑胫巾众,,外闻众
9007,lord_tk5_ninja_dooami,道阿弥,ninja,1067,,1089,1068,,,风魔众,,根来众,风魔众,,
9008,lord_tk5_ninja_dookan,道闲,ninja,1069,1037,1069,,,,轩猿众,轩猿众,轩猿众,,,
9009,lord_tk5_ninja_dooken,道贤,ninja,,,,1077,1101,1149,,,,透波众,山潜众,黑胫巾众
9010,lord_tk5_ninja_dooyu,道由,ninja,,1106,1091,,,1126,,根来众,根来众,,,羽黑众
9011,lord_tk5_ninja_fubuki,吹雪,ninja,,,,1061,1062,1143,,,,户隐众,户隐众,户隐众
9012,lord_tk5_ninja_fujima,藤马,ninja,1059,1152,1090,,1105,,黑胫巾众,根来众,根来众,,羽黑众,
9013,lord_tk5_ninja_ganbaku,岩蓦,ninja,1079,1045,,1102,,,甲贺众,伊贺众,,山潜众,,
9014,lord_tk5_ninja_gekinosuke,外记之助,ninja,1058,,,1101,1103,1124,黑胫巾众,,,山潜众,山潜众,伊贺众
9015,lord_tk5_ninja_gendayuu,源太夫,ninja,1100,1144,1100,,,,山潜众,山潜众,山潜众,,,
9016,lord_tk5_ninja_gengo,源吾,ninja,1089,,,1103,,1139,根来众,,,山潜众,,轩猿众
9017,lord_tk5_ninja_gengobee,源五兵卫,ninja,,,1066,1088,1082,1157,,,风魔众,根来众,甲贺众,伊贺众
9018,lord_tk5_ninja_gennami,源阿弥,ninja,,1114,1065,,1090,,,风魔众,风魔众,,伊贺众,
9019,lord_tk5_ninja_gennojo,玄之丞,ninja,,1050,1068,1056,,,,甲贺众,风魔众,黑胫巾众,,
9020,lord_tk5_ninja_gennyoosai,幻妖斋,ninja,1103,,,1070,1095,1150,山潜众,,,轩猿众,根来众,根来众
9021,lord_tk5_ninja_genryuu,玄龙,ninja,,,1070,1066,,1129,,,轩猿众,风魔众,,羽黑众
9022,lord_tk5_ninja_gensai,玄斋,ninja,1065,1113,1067,,,,风魔众,风魔众,风魔众,,,
9023,lord_tk5_ninja_ginhachiroo,银八郎,ninja,1060,,,1058,1098,1148,户隐众,,,黑胫巾众,外闻众,黑胫巾众
9024,lord_tk5_ninja_hakuunsai,白云斋,ninja,,,,,,1115,,,,,,甲贺众
9025,lord_tk5_ninja_hannyamaru,般若丸,ninja,1101,1129,,1080,,,山潜众,钵屋众,,甲贺众,,
9026,lord_tk5_ninja_hikojuu,彦十,ninja,1091,1049,,1097,1086,,根来众,户隐众,,外闻众,伊贺众,
9027,lord_tk5_ninja_hikoshichiroo,彦七郎,ninja,1075,,1096,,1060,1144,透波众,,外闻众,,黑胫巾众,户隐众
9028,lord_tk5_ninja_hokkaiboo,法海坊,ninja,1064,,1099,1071,,1154,风魔众,,外闻众,轩猿众,,根来众
9029,lord_tk5_ninja_hyakkimaru,百鬼丸,ninja,1106,,1097,,,1135,羽黑众,,外闻众,,,外闻众
9030,lord_tk5_ninja_ichiwaka,一若,ninja,1094,1142,,1072,1069,,钵屋众,山潜众,,轩猿众,风魔众,
9031,lord_tk5_ninja_ichizoo,一藏,ninja,1095,,1059,,,1140,钵屋众,,黑胫巾众,,,轩猿众
9032,lord_tk5_ninja_ikkaku,一角,ninja,,1150,,1094,1102,,,山潜众,,钵屋众,山潜众,
9033,lord_tk5_ninja_isaku,伊作,ninja,,1028,1056,1086,1093,,,外闻众,黑胫巾众,伊贺众,根来众,
9034,lord_tk5_ninja_iseo,伊势男,ninja,,,,1084,1097,1128,,,,伊贺众,外闻众,羽黑众
9035,lord_tk5_ninja_ishimatsu,石松,ninja,1082,1019,,1078,,,甲贺众,外闻众,,甲贺众,,
9036,lord_tk5_ninja_izoji,伊三次,ninja,1076,1092,1058,,,,透波众,钵屋众,黑胫巾众,,,
9037,lord_tk5_ninja_jinnai,甚内,ninja,,1004,1080,1079,1075,,,伊贺众,甲贺众,甲贺众,轩猿众,
9038,lord_tk5_ninja_jinpachi,仁八,ninja,,,1094,,1073,1155,,,钵屋众,,轩猿众,伊贺众
9039,lord_tk5_ninja_jinroku,甚六,ninja,1072,1038,1081,1096,,,轩猿众,轩猿众,甲贺众,外闻众,,
9040,lord_tk5_ninja_jinza,甚左,ninja,1090,1051,1079,,,,根来众,甲贺众,甲贺众,,,
9041,lord_tk5_ninja_juuhei,十平,ninja,,1125,,,1079,,,钵屋众,,,透波众,
9042,lord_tk5_ninja_kaede,枫,ninja,1061,1040,1061,,,,户隐众,户隐众,户隐众,,,
9043,lord_tk5_ninja_kajisuke,梶助,ninja,1096,1036,,,1066,,外闻众,轩猿众,,,风魔众,
9044,lord_tk5_ninja_kakuma,觉马,ninja,1070,,1060,1090,,,轩猿众,,户隐众,根来众,,
9045,lord_tk5_ninja_kanroku,勘六,ninja,,1112,,,1063,,,风魔众,,,户隐众,
9046,lord_tk5_ninja_kikunosuke,菊之助,ninja,1077,1020,1062,1060,,,透波众,外闻众,户隐众,户隐众,,
9047,lord_tk5_ninja_koan,弘庵,ninja,,,1071,,,1119,,,轩猿众,,,伊贺众
9048,lord_tk5_ninja_kogoroo,小五郎,ninja,,,,1076,1072,1145,,,,透波众,轩猿众,户隐众
9049,lord_tk5_ninja_kumanosuke,熊之助,ninja,1102,,1063,,,,山潜众,,户隐众,,,
9050,lord_tk5_ninja_magosaku,孙作,ninja,1081,1097,,,1091,,甲贺众,透波众,,,根来众,
9051,lord_tk5_ninja_manhei,万平,ninja,,1089,1095,,,,,黑胫巾众,钵屋众,,,
9052,lord_tk5_ninja_mansaku,满作,ninja,,1091,,1093,1087,,,透波众,,钵屋众,伊贺众,
9053,lord_tk5_ninja_masasuke,正助,ninja,1107,,,,1080,1118,羽黑众,,,,透波众,甲贺众
9054,lord_tk5_ninja_meigaku,明岳,ninja,1084,,,,,1153,伊贺众,,,,,根来众
9055,lord_tk5_ninja_miyamon,宫门,ninja,,,1064,1098,,1142,,,风魔众,外闻众,,户隐众
9056,lord_tk5_ninja_momiji,红叶,ninja,,,,1057,1057,1147,,,,黑胫巾众,黑胫巾众,黑胫巾众
9057,lord_tk5_ninja_mutenboo,无天坊,ninja,1099,1085,,,1058,,外闻众,根来众,,,黑胫巾众,
9058,lord_tk5_ninja_nakahachi,中八,ninja,1105,,1086,1074,,1120,羽黑众,,伊贺众,透波众,,伊贺众
9059,lord_tk5_ninja_naonosuke,尚之助,ninja,1078,,1093,,,1121,甲贺众,,钵屋众,,,伊贺众
9060,lord_tk5_ninja_natsume,枣,ninja,1057,1056,1057,,,,黑胫巾众,黑胫巾众,黑胫巾众,,,
9061,lord_tk5_ninja_nijuuhachi,二十八,ninja,,1128,,1105,1074,,,羽黑众,,羽黑众,轩猿众,
9062,lord_tk5_ninja_osamusuke,修助,ninja,,,1077,1063,,1146,,,透波众,户隐众,,黑胫巾众
9063,lord_tk5_ninja_raisuke,雷助,ninja,,1154,,1095,1068,,,山潜众,,钵屋众,风魔众,
9064,lord_tk5_ninja_rokuheita,六平太,ninja,1066,,,1065,,1138,风魔众,,,风魔众,,轩猿众
9065,lord_tk5_ninja_rokurooji,六郎次,ninja,1073,1122,1073,1073,1076,,透波众,透波众,透波众,透波众,透波众,
9066,lord_tk5_ninja_rokusuke,六助,ninja,,1098,1107,,,,,透波众,羽黑众,,,
9067,lord_tk5_ninja_ryuugen,隆玄,ninja,,,,,,1158,,,,,,甲贺众
9068,lord_tk5_ninja_saburooza,三郎左,ninja,1085,,,1067,1084,,伊贺众,,,风魔众,甲贺众,
9069,lord_tk5_ninja_sadakuroo,定九郎,ninja,1074,1081,1074,1064,,,透波众,风魔众,透波众,风魔众,,
9070,lord_tk5_ninja_saheiji,佐平次,ninja,,1000,1075,,1056,,,伊贺众,透波众,,黑胫巾众,
9071,lord_tk5_ninja_sanai,左内,ninja,,1157,,,1061,,,甲贺众,,,户隐众,
9072,lord_tk5_ninja_sanjiroo,三次郎,ninja,1104,1074,1104,1104,,,羽黑众,羽黑众,羽黑众,羽黑众,,
9073,lord_tk5_ninja_sashichi,佐七,ninja,,1043,1072,,1106,,,户隐众,轩猿众,,羽黑众,
9074,lord_tk5_ninja_sazen,左膳,ninja,,,,1091,1067,1123,,,,根来众,风魔众,伊贺众
9075,lord_tk5_ninja_senzuiboo,泉识坊,ninja,1088,1070,1082,,,1151,根来众,根来众,甲贺众,,,根来众
9076,lord_tk5_ninja_shiroobee,四郎兵卫,ninja,,,,,,1132,,,,,,外闻众
9077,lord_tk5_ninja_shizuma,静马,ninja,1087,,1076,1083,,1125,伊贺众,,透波众,伊贺众,,羽黑众
9078,lord_tk5_ninja_shunkai,俊海,ninja,,,,,1104,1127,,,,,羽黑众,羽黑众
9079,lord_tk5_ninja_shuramaru,修罗丸,ninja,1093,,1078,,1081,1159,钵屋众,,甲贺众,,甲贺众,甲贺众
9080,lord_tk5_ninja_soonoshin,惣之进,ninja,,1155,,1082,1089,,,山潜众,,甲贺众,伊贺众,
9081,lord_tk5_ninja_tairaji,平次,ninja,,,1098,,1077,1133,,,外闻众,,透波众,外闻众
