settlement_id,name,zh,type,culture,complex,alley(小巷),arena(竞技场),center(中心),duel_location_id(决斗场),house_1(民居1),house_2(民居2),house_3(民居3),lordshall(领主大厅),port_location_id(港口),prison(地牢),retirement_retreat(退休地),tavern(酒馆),village_center(村庄中心)
castle_AMA1,Kono Castle,国府尾城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_k,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_AMA1_1,Nishinoshima,西之岛,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_AMA1_2,Chiburi,知夫里,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_f
town_CHU1,Kushizaki,栉崎城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU1_1,Akamagazeki,赤间关,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHU1_2,Chofu,长府,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHU1_3,Aio,秋穗,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
town_CHU2,Sanbonmatsu,津和野城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_b,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU2_1,Hagi,萩,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHU2_2,Oi,大井,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHU2_3,Mikazura,三葛,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
town_CHU3,Yoshida-Koriyama,吉田郡山城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_c,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU3_1,Togouchi,户河内,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHU3_2,Kabe,可部,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
village_CHU3_3,Miyoshi,三次,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
town_CHU4,Iwami,石见城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU4_1,Tomogaura,鞆浦,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHU4_2,Ishigane,石金,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
village_CHU4_3,Hane,羽根,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
town_CHU5,Gassan-Toda,月山富田城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU5_1,Yasugi,安来,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHU5_2,Mihonoseki,美保关,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHU5_3,Yodoe,淀江,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
town_CHU6,Okayama,冈山城,town,Culture.sanyo,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHU6_1,Kibitsu,吉备津,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHU6_2,Hachihama,八浜,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHU6_3,Saidaiji,西大寺,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_CHU1,Aratakiyama Castle,荒泷山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_h,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU1_1,Hiju,肥中,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU1_2,Setozaki,濑户崎,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHU2,Kounomine Castle,高岭城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_b,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU2_1,Mitajiri,三田尻,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHU2_2,Miyaichi,宫市,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHU3,Shimoseyama Castle,下濑山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU3_1,Susa,须佐,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU3_2,Nakazu,中须,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHU4,Mitsuodake Castle,周防高森城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_i,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU4_1,Murozumi,室积,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU4_2,Iwakuni,岩国,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_CHU5,Sakurao Castle,樱尾城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU5_1,Kuba,玖波,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
castle_village_CHU5_2,Itsukushima,严岛,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHU6,Hinoyama Castle,火之山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_h,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU6_1,Misumiminato,三隅湊,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHU6_2,Goutsu,江津,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHU7,Noumi Castle,能美城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_k,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU7_1,Seto,濑户,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU7_2,Kure,吴,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHU8,Matsuo Castle,松尾城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_j,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU8_1,Takehara,竹原,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHU8_2,Shiraichi,白市,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
castle_CHU9,Mizawa Castle,三泽城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_i,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU9_1,Kizuki,杵筑,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHU9_2,Shirakata,白潟,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_CHU10,Kurushima Castle,来岛城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_k,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU10_1,Ojou,王子,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU10_2,Miyaura,宫浦,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHU11,Aoki Castle,青木城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_k,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU11_1,Nakanosho,中之庄,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_f
castle_village_CHU11_2,Setoda,濑户田,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_CHU12,Niitakayama Castle,新高山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_h,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU12_1,Onomichi,尾道,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHU12_2,Kasaoka,笠冈,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHU13,Kouzan Castle,幸山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_e,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU13_1,Tsurajima,连岛,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU13_2,Shimotsu,下津,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_CHU14,Hogi Castle,萩城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_b,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU14_1,Ushimado,牛窓,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHU14_2,Inbe,忌部,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHU15,Tenjinyama Castle,天神山城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU15_1,Shioyu,盐汤,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_village_CHU15_2,Togawa,户川,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
castle_CHU16,Ueshi Castle,羽衣石城,castle,Culture.sanyo,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHU16_1,Hashizu,桥津,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHU16_2,Karo,贺露,village,Culture.sanyo,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
town_CHUB1,Ichijodani,一乘谷城,town,Culture.hokuriku,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_b,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB1_1,Mizuochi,水落,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
village_CHUB1_2,Kitanosho,北之庄,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHUB1_3,Heisenji,平泉寺,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
town_CHUB2,Oyama,尾山御坊,town,Culture.hokuriku,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB2_1,Ushibuki,牛深,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHUB2_2,Ataka,安宅,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHUB2_3,Miyanokoshi,宫腰,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
town_CHUB3,Nanao,七尾城,town,Culture.hokuriku,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB3_1,Noto-Fukura,能登福浦,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHUB3_2,Hakui,羽咋,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHUB3_3,Himi,冰见,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
town_CHUB4,Kasugayama,春日山城,town,Culture.hokuriku,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB4_1,Funai,船居,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
village_CHUB4_2,Naoetsu,直江津,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHUB4_3,Arai,荒井,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
town_CHUB5,Niigata,新发田城,town,Culture.hokuriku,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB5_1,Kanbara,蒲原,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB5_2,Shibata,新发田,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB5_3,Tsugawa,津川,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
town_CHUB6,Fukashi,深志城,town,Culture.tosan,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_c,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB6_1,Shiojiri,盐尻,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
