person_id,name,force_id,force_name,rank,superior_id,superior_name,salary,ambition,loyalty,kamon
0,青山忠成,121,无,2,1101,,5,35,100,76
1,赤池长任,26,相良家,2,1101,,5,29,99,255
2,赤井直正,43,波多野家,8,1101,,0,57,99,255
3,安西又助,106,房总水军,2,1101,,5,44,100,115
4,赤尾清纲,1,浅井家,0,1101,,0,21,100,61
5,明石全登,14,浦上家,0,1101,,100,62,87,147
6,赤穴盛清,7,尼子家,2,1101,,0,31,85,255
7,赤松政秀,0,无,0,1101,,100,61,100,77
8,赤松义祐,0,无,2,1101,,5,56,100,77
9,秋上久家,7,尼子家,10,1101,,5,41,100,255
10,安艺国虎,9,一条家,0,1101,,0,67,90,118
11,秋田实季,8,安东家,2,56,安东爱季,0,47,100,13
12,秋山虎繁,35,武田家,0,1101,,5,33,93,51
13,明智秀满,2,朝仓家,0,14,明智光秀,100,26,88,44
14,明智光秀,2,朝仓家,32,1101,,5,94,81,44
15,浅井井赖,1,浅井家,2,1101,,5,55,100,61
16,浅井长政,1,浅井家,0,1101,,20,81,100,61
17,浅井久政,1,浅井家,0,1101,,5,31,100,61
18,朝仓景镜,2,朝仓家,0,1101,,5,71,100,59
19,朝仓景健,2,朝仓家,0,1101,,5,40,100,59
20,朝仓景恒,2,朝仓家,2,1101,,5,21,100,59
21,朝仓景连,2,朝仓家,0,1101,,5,40,100,59
22,朝仓宗滴,121,无,10,1101,,5,29,100,59
23,朝仓义景,2,朝仓家,0,1101,,50,61,100,59
24,浅野长晟,19,织田家,2,25,浅野长政,5,55,99,33
25,浅野长政,19,织田家,2,1101,,5,36,88,33
26,浅野幸长,19,织田家,2,25,浅野长政,100,70,86,33
27,朝比奈泰朝,12,今川家,2,1101,,100,25,100,20
28,浅利胜赖,8,安东家,8,1101,,5,30,100,115
29,足利义昭,3,足利家,2,1101,,5,95,100,63
30,足利义氏,121,无,10,1101,,5,29,99,22
31,足利义辉,3,足利家,0,1101,,5,67,100,63
32,芦名盛氏,4,芦名家,2,1101,,5,29,100,10
33,芦名盛兴,4,芦名家,2,1101,,5,18,100,10
34,芦名盛重,27,佐竹家,2,1101,,50,55,80,10
35,芦名盛隆,4,芦名家,0,1101,,100,65,90,10
36,阿苏惟将,5,阿苏家,2,1101,,0,34,99,97
37,安宅信康,111,淡路水军,2,1101,,5,40,88,68
38,安宅冬康,111,淡路水军,0,1101,,5,22,88,68
39,迹部胜资,35,武田家,2,1101,,0,26,100,51
40,穴山小助,35,武田家,8,41,穴山梅雪,5,17,100,255
41,穴山梅雪,35,武田家,0,1101,,5,45,89,255
42,姊小路赖纲,6,三木家,2,1101,,5,58,100,45
43,阿部正次,121,无,2,1101,,0,14,99,33
44,尼子胜久,7,尼子家,0,1101,,5,67,90,75
45,尼子晴久,7,尼子家,2,1101,,50,86,100,75
46,尼子义久,7,尼子家,2,1101,,5,32,100,75
47,天野隆重,50,毛利家,2,1101,,100,41,100,130
48,天野康景,12,今川家,2,506,德川家康,5,17,100,27
49,雨森弥兵卫,1,浅井家,2,1101,,20,30,100,255
50,鲇贝宗重,36,伊达家,2,1101,,20,21,100,6
51,荒木氏纲,43,波多野家,2,1101,,5,23,90,255
52,荒木村重,49,三好家,2,1101,,5,82,85,184
53,有马晴信,54,龙造寺家,2,1101,,20,80,90,42
