city_idx,kana4,name_official,name_history,lord_pid,lord_name,force_id,force_name,soldiers,food,gold,train,morale
0,03505078,胜山馆,胜山馆|松前城,215,蛎崎季广,8,安东家,9800,60000,23600,50,50
1,046e3250,大浦城,大浦城,488,津轻为信,40,南部家,11600,80000,25200,50,50
2,05821e32,八户城,八户城,556,南部信直,40,南部家,8000,40000,22000,50,50
3,045a3c64,三户城,三户城,556,南部信直,40,南部家,11600,80000,25200,50,50
4,046e375a,九户城,九户城,285,九户政实,40,南部家,9800,60000,23600,50,50
5,06965f96,不来方城,不来方城|盛冈城,556,南部信直,40,南部家,11600,80000,25200,50,50
6,046e141e,高水寺城,高水寺城,377,斯波诠直,29,斯波家,9800,60000,23600,50,50
7,04783250,岩出山城,岩出山城,85,一栗放牛,15,大崎家,9800,60000,23600,50,50
8,046e1928,寺池城,寺池城,219,葛西晴信,21,葛西家,9800,60000,23600,50,50
9,04641928,名生城,名生城,159,大崎义隆,15,大崎家,9800,60000,23600,50,50
10,07a00000,仙台城,仙台城,464,伊达辉宗,36,伊达家,11600,80000,25200,50,50
11,05782d46,白石城,白石城,464,伊达辉宗,36,伊达家,9800,60000,23600,50,50
12,06823250,凑城,凑城,56,安东爱季,8,安东家,9800,60000,23600,50,50
13,05642d46,桧山城,桧山城,56,安东爱季,8,安东家,11600,80000,25200,50,50
14,055a3c5a,角馆城,角馆城,56,安东爱季,8,安东家,9800,60000,23600,50,50
15,04823c64,横手城,横手城,205,小野寺义道,20,小野寺家,11600,80000,25200,50,50
16,07963250,山形城,山形城,723,最上义光,51,最上家,11600,80000,25200,50,50
17,04640000,鲑延城,鲑延城,342,鲑延秀纲,51,最上家,9800,60000,23600,50,50
18,04780000,尾浦城,尾浦城,435,大宝寺义氏,34,大宝寺家,8000,40000,22000,50,50
19,08a01e32,米泽城,米泽城,464,伊达辉宗,36,伊达家,11600,80000,25200,50,50
20,07b43250,黑川城,黑川城,35,芦名盛隆,4,芦名家,11600,80000,25200,50,50
21,04782846,二本松城,二本松城,563,二本松义继,4,芦名家,9800,60000,23600,50,50
22,046e1e32,须贺川城,须贺川城,35,芦名盛隆,4,芦名家,9800,60000,23600,50,50
23,05782d46,小高城,小高城,427,相马盛胤,32,相马家,9800,60000,23600,50,50
24,05643c64,太田城,太田城,347,佐竹义重,27,佐竹家,11600,80000,25200,50,50
25,06aa283c,水户城,水户城,347,佐竹义重,27,佐竹家,13400,100000,26800,50,50
26,0478375a,土浦城,土浦城,347,佐竹义重,27,佐竹家,11600,80000,25200,50,50
27,038c3250,小田城,小田城,347,佐竹义重,27,佐竹家,9800,60000,23600,50,50
28,06a01e32,宇都宫城,宇都宫城,135,宇都宫国纲,13,宇都宫家,11600,80000,25200,50,50
29,058c1928,唐泽山城,唐泽山城,135,宇都宫国纲,13,宇都宫家,9800,60000,23600,50,50
30,048c1e32,小山城,小山城,763,结城晴朝,53,结城家,9800,60000,23600,50,50
31,0478233c,乌山城,乌山城,544,那须资晴,13,宇都宫家,9800,60000,23600,50,50
32,05b4233c,厩桥城,厩桥城,629,北条氏政,44,北条家,13400,100000,26800,50,50
33,048c2d46,沼田城,沼田城,359,真田昌幸,35,武田家,9800,60000,23600,50,50
34,05a02846,馆林城,馆林城,624,北条氏邦,44,北条家,9800,60000,23600,50,50
35,05a03250,箕轮城,箕轮城,629,北条氏政,44,北条家,11600,80000,25200,50,50
36,056e0000,胜浦城,胜浦城,355,里见义赖,28,里见家,8000,40000,22000,50,50
37,05780000,久留里城,久留里城,355,里见义赖,28,里见家,11600,80000,25200,50,50
38,05780000,稻村城,稻村城,355,里见义赖,28,里见家,9800,60000,23600,50,50
39,06a00000,佐仓城,佐仓城,477,千叶邦胤,44,北条家,9800,60000,23600,50,50
40,06aa0000,结城城,结城城,763,结城晴朝,53,结城家,11600,80000,25200,50,50
41,08dc0000,江户城,江户城,629,北条氏政,44,北条家,13400,100000,26800,50,50
42,05aa0000,岩槻城,岩槻城,629,北条氏政,44,北条家,9800,60000,23600,50,50
43,06960000,河越城,河越城,629,北条氏政,44,北条家,9800,60000,23600,50,50
44,05784164,忍城,忍城,550,成田氏长,44,北条家,11600,80000,25200,50,50
45,06a04164,八王子城,八王子城,626,北条氏照,44,北条家,9800,60000,23600,50,50
46,09dc0000,小田原城,小田原城,629,北条氏政,44,北条家,15200,120000,28400,50,50
47,04820000,玉绳城,玉绳城,632,北条纲成,44,北条家,9800,60000,23600,50,50
48,03501e32,韭山城,韭山城,628,北条氏规,44,北条家,9800,60000,23600,50,50
49,08b43c64,春日山城,春日山城,116,上杉景胜,39,上杉家,13400,100000,26800,50,50
50,06783250,新发田城,新发田城,381,新发田重家,39,上杉家,11600,80000,25200,50,50
51,066e3250,本庄城,本庄城,650,本庄繁长,39,上杉家,9800,60000,23600,50,50
52,0678233c,橡尾城,橡尾城,116,上杉景胜,39,上杉家,9800,60000,23600,50,50
53,058c5a8c,富山城,富山城,351,佐佐成政,19,织田家,11600,80000,25200,50,50
54,058c4b78,鱼津城,鱼津城,533,中条景泰,39,上杉家,9800,60000,23600,50,50
55,05785f96,七尾城,七尾城,659,前田利家,19,织田家,13400,100000,26800,50,50
56,0596466e,尾山城,尾山城,379,柴田胜家,19,织田家,13400,100000,26800,50,50
57,058c3250,小松城,小松城,379,柴田胜家,19,织田家,9800,60000,23600,50,50
58,046e3250,大圣寺城,大圣寺城,379,柴田胜家,19,织田家,9800,60000,23600,50,50
59,068c3c5a,一乘谷城,一乘谷城,379,柴田胜家,19,织田家,13400,100000,26800,50,50
60,07a03250,北之庄城,北之庄城,379,柴田胜家,19,织田家,13400,100000,26800,50,50
61,04783250,金崎城,金崎城,379,柴田胜家,19,织田家,11600,80000,25200,50,50
