force_id,force_name,lord_pid,lord_name,member_count
0,无,1010,海贼,365
1,,1042,菊亭晴季,2
4,芦名家,35,芦名盛隆,41
5,阿苏家,36,阿苏惟将,2
6,姊小路家,42,姊小路赖纲,1
8,安东家,56,安东爱季,7
12,宇喜多家,125,宇喜多秀家,12
13,宇都宫家,135,宇都宫国纲,3
15,大崎家,85,一栗放牛,2
16,铃木家,413,铃木佐太夫,4
17,大友家,167,大友宗麟,17
19,织田家,195,织田信长,130
20,小野寺家,205,小野寺义道,2
21,葛西家,219,葛西晴信,1
22,城井家,252,城井镇房,1
24,河野家,300,河野通直牛福丸,3
25,德川家,506,德川家康,39
26,相良家,338,相良赖房,5
27,佐竹家,347,佐竹义重,7
28,里见家,355,里见义赖,3
29,斯波家,377,斯波诠直,1
30,岛津家,394,岛津义久,21
32,相马家,427,相马盛胤,3
33,宗家,429,宗义调,3
34,大宝寺家,435,大宝寺义氏,1
35,武田家,359,真田昌幸,20
36,伊达家,464,伊达辉宗,20
37,长宗我部家,483,长宗我部元亲,19
39,上杉家,116,上杉景胜,17
40,南部家,488,津轻为信,6
41,十河家,432,十河存保,2
44,北条家,629,北条氏政,20
47,松浦家,684,松浦隆信,4
50,毛利家,265,吉川元春,29
51,最上家,723,最上义光,8
53,结城家,763,结城晴朝,2
54,龙造寺家,785,龙造寺隆信,15
70,无,840,尼子诚久,4
71,无,97,伊藤惣十郎,4
72,纳屋,848,井上元兼,6
73,无,111,宇野藤右卫门,4
74,无,781,淀屋常安,4
75,无,288,末吉孙左卫门,4
76,播磨屋,598,播磨屋宗德,4
77,大西屋,384,涩谷与右卫门,4
78,博多屋,865,忍者,4
79,茶屋,479,茶屋又四郎,5
80,下关屋,870,忍者,4
81,天王寺屋,873,忍者,4
82,角仓屋,420,角仓了以,5
83,梁田屋,782,梁田藤左卫门,4
84,组屋,287,组屋源四郎,4
85,川舟屋,885,忍者,4
86,镫屋,888,忍者,4
87,神屋,120,神屋宗湛,4
88,山形屋,895,忍者,3
90,黑胫巾众,749,柳原户兵卫,7
91,户隐众,94,出浦盛清,7
92,风魔众,561,二曲轮猪助,7
93,,911,忍者,5
94,透波众,297,高坂甚内,6
95,甲贺众,122,鹈饲孙六,7
96,伊贺众,63,伊贺崎道顺,10
97,根来众,412,杉之坊照算,6
99,外闻众,350,佐田彦四郎,5
100,,939,商人,5
101,,944,商人,4
105,,949,商人,4
106,房总水军,952,商人,6
107,相模水军,956,商人,6
108,骏河水军,961,商人,8
109,熊野水军,967,商人,9
110,,971,商人,4
112,盐饱水军,977,海贼,6
113,村上水军,981,海贼,8
114,土佐水军,984,海贼,5
115,丰后水军,988,海贼,5
116,五岛水军,992,海贼,6
117,,997,海贼,4
121,无,330,吉田印西,342
