ID,character名单名,内存编辑器名单名
0,青山忠成,青山忠成
1,赤池长任,赤池长任
2,赤井直正,赤井直正
3,安西又助,安西又助
4,赤尾清纲,赤尾清纲
5,明石全登,明石全登
6,赤穴盛清,赤穴盛清
7,赤松政秀,赤松政秀
8,赤松义祐,赤松义祐
9,秋上久家,秋上久家
10,安艺国虎,安艺国虎
11,秋田实季,秋田实季
12,秋山虎繁(秋山信友),秋山虎繁(秋山信友)
13,明智秀满,明智秀满
14,明智光秀,明智光秀
15,浅井井赖,浅井井赖
16,浅井长政,浅井长政
17,浅井久政,浅井久政
18,朝仓景镜,朝仓景镜
19,朝仓景健,朝仓景健
20,朝仓景恒,朝仓景恒
21,朝仓景连,朝仓景连
22,朝仓宗滴,朝仓宗滴
23,朝仓义景,朝仓义景
24,浅野长晟,浅野长晟
25,浅野长政,浅野长政
26,浅野幸长,浅野幸长
27,朝比奈泰朝,朝比奈泰朝
28,浅利胜赖,浅利胜赖
29,足利义昭,足利义昭
30,足利义氏,足利义氏
31,足利义辉,足利义辉
32,芦名盛氏,芦名盛氏
33,芦名盛兴,芦名盛兴
34,芦名盛重,芦名盛重
35,芦名盛隆,芦名盛隆
36,阿苏惟将,阿苏惟将
37,安宅信康,安宅信康
38,安宅冬康,安宅冬康
39,迹部胜资,迹部胜资
40,穴山小助,穴山小助
41,穴山梅雪,穴山梅雪
42,姊小路赖纲,姊小路赖纲
43,阿部正次,阿部正次
44,尼子胜久,尼子胜久
45,尼子晴久,尼子晴久
46,尼子义久,尼子义久
47,天野隆重,天野隆重
48,天野康景,天野康景
49,雨森弥兵卫,雨森弥兵卫
50,鲇贝宗重,鲇贝宗重
51,荒木氏纲,荒木氏纲
52,荒木村重,荒木村重
53,有马晴信,有马晴信
54,安国寺惠琼,安国寺惠琼
55,安东高季,安东高季
56,安东爱季,安东爱季
57,安藤直次,安藤直次
58,安藤守就,安藤守就
59,安藤良整,安藤良整
60,饭尾连龙,饭尾连龙
61,饭田觉兵卫,饭田觉兵卫
62,井伊直政,井伊直政
63,伊贺崎道顺,伊贺崎道顺
64,伊木忠次,伊木忠次
65,池田惣左卫门,池田惣左卫门
66,池田恒兴,池田恒兴
67,池田辉政,池田辉政
68,池田元助,池田元助
69,池赖和,池赖和
70,生驹亲正,生驹亲正
71,石川昭光,石川昭光
72,石川数正,石川数正
73,石川五右卫门,石川五右卫门
74,石川高信,石川高信
75,石田三成,石田三成
76,石母田景赖,石母田景赖
77,伊集院忠仓,伊集院忠仓
78,伊集院忠栋,伊集院忠栋
79,以心崇传,以心崇传
80,矶野员昌,矶野员昌
81,板仓胜重,板仓胜重
82,板部冈江雪斋,板部冈江雪斋
83,伊丹康直,伊丹康直
84,市川经好,市川经好
85,一栗放牛,一栗放牛
86,一条兼定,一条兼定
87,一条信龙,一条信龙
88,伊地知重兴,伊地知重兴
89,伊地知重秀,伊地知重秀
90,一万田鉴实,一万田鉴实
91,一色义清,一色义清
92,一色义定,一色义定
93,一色义道,一色义道
94,出浦盛清,出浦盛清
95,伊藤一刀斋,伊藤一刀斋
96,伊东祐兵,伊东祐兵
97,伊藤惣十郎,伊藤惣十郎
98,伊东义祐,伊东义祐
99,伊奈忠次,伊奈忠次
100,稻富一梦,稻富一梦
101,稻叶一铁,稻叶一铁
102,稻叶贞通,稻叶贞通
103,稻叶正成,稻叶正成
104,猪苗代盛国,猪苗代盛国
105,猪子兵介,猪子兵介
106,猪俣邦宪,猪俣邦宪
107,今井宗久,今井宗久
108,今井宗薰,今井宗薰
109,今川氏真,今川氏真
110,今川义元,今川义元
111,宇野藤右卫门,宇野藤右卫门
112,色部胜长,色部胜长
113,色部长实,色部长实
114,岩成友通,岩成友通
115,犬童赖安,犬童赖安
116,上杉景胜,上杉景胜
117,上杉景虎,上杉景虎
118,上杉景信,上杉景信
119,上杉谦信,上杉谦信
120,神屋宗湛,神屋宗湛
121,坂田源右卫门,坂田源右卫门
122,鹈饲孙六,鹈饲孙六
123,宇喜多忠家,宇喜多忠家
124,宇喜多直家,宇喜多直家
125,宇喜多秀家,宇喜多秀家
126,宇久纯定,宇久纯定
127,宇久纯玄,宇久纯玄
128,宇佐美定满,宇佐美定满
129,氏家卜全,氏家卜全
130,氏家光氏,氏家光氏
131,氏家守栋,氏家守栋
132,氏家行广,氏家行广
133,牛尾幸清,牛尾幸清
134,臼杵鉴速,臼杵鉴速
135,宇都宫国纲,宇都宫国纲
136,宇都宫广纲,宇都宫广纲
137,鹈殿氏长,鹈殿氏长
138,鹈殿长照,鹈殿长照
139,宇山久兼,宇山久兼
140,浦上宗景,浦上宗景
141,上井觉兼,上井觉兼
142,海野六郎,海野六郎
143,颖娃久虎,颖娃久虎
144,江村亲家,江村亲家
145,江里口信常,江里口信常
146,圆城寺信胤,圆城寺信胤
147,远藤直经,远藤直经
148,远藤基信,远藤基信
149,大石智久,大石智久
150,大内定纲,大内定纲
151,大内辉弘,大内辉弘
152,大内义长,大内义长
153,大久保忠佐,大久保忠佐
154,大久保忠教,大久保忠教
155,大久保忠邻,大久保忠邻
156,大久保忠世,大久保忠世
157,大久保长安,大久保长安
158,大熊朝秀,大熊朝秀
159,大崎义隆,大崎义隆
160,大崎义直,大崎义直
161,大须贺康高,大须贺康高
162,太田氏资,太田氏资
163,太田牛一,太田牛一
164,太田三乐斋,太田三乐斋
165,大谷吉继,大谷吉继
166,大月景秀,大月景秀
167,大友宗麟,大友宗麟
168,大友亲家,大友亲家
169,大友亲盛,大友亲盛
170,大友义统,大友义统
171,大野治长,大野治长
172,大村纯忠,大村纯忠
173,小笠原长时,小笠原长时
174,小笠原少斋,小笠原少斋
175,冈家利(冈利胜),冈家利(冈利胜)
176,冈部贞纲,冈部贞纲
177,冈部正纲,冈部正纲
178,冈部元信,冈部元信
179,冈本随缘斋,冈本随缘斋
180,冈本禅哲,冈本禅哲
181,冈本赖氏,冈本赖氏
182,冈吉正,冈吉正
183,奥平信昌,奥平信昌
184,奥村永福,奥村永福
185,长船贞亲,长船贞亲
186,长船纲直,长船纲直
187,小濑甫庵,小濑甫庵
188,小田氏治,小田氏治
189,织田有乐,织田有乐
190,织田信胜,织田信胜
191,织田信雄,织田信雄
192,织田信包,织田信包
193,织田信孝,织田信孝
194,织田信忠,织田信忠
195,织田信长,织田信长
196,织田秀信,织田秀信
197,小寺政职,小寺政职
198,小岛弥太郎(鬼小岛弥太郎),小岛弥太郎(鬼小岛弥太郎)
199,鬼庭左月,鬼庭左月
200,鬼庭纲元,鬼庭纲元
201,小野镇幸,小野镇幸
202,小野善鬼,小野善鬼
203,小野忠明,小野忠明
204,小野寺辉道,小野寺辉道
205,小野寺义道,小野寺义道
206,小幡勘兵卫,小幡勘兵卫
207,小滨景隆,小滨景隆
208,饭富虎昌,饭富虎昌
209,小山田信茂,小山田信茂
210,甲斐宗运,甲斐宗运
211,海北纲亲,海北纲亲
212,香川亲和,香川亲和
213,香川元景,香川元景
214,柿崎景家,柿崎景家
215,蛎崎季广,蛎崎季广
216,蛎崎庆广,蛎崎庆广
217,垣屋光成,垣屋光成
218,笕十藏,笕十藏
219,葛西晴信,葛西晴信
220,笠原政尧,笠原政尧
221,梶原景宗,梶原景宗
222,果心居士,果心居士
223,糟屋武则,糟屋武则
224,片桐且元,片桐且元
225,片仓景纲,片仓景纲
226,佐甲藤太郎,佐甲藤太郎
227,坚田元庆,坚田元庆
228,桂元澄,桂元澄
229,葛山氏元,葛山氏元
230,加藤清正,加藤清正
231,加藤段藏,加藤段藏
232,加藤光泰,加藤光泰
233,加藤嘉明,加藤嘉明
