StringId	LocalizationId	EnglishName	ChineseName	Faction	Culture
lord_1_asakura	yAchbdS0	Asakura Yoshikage	朝仓 义景	Faction.clan_asakura_1	Culture.hokuriku
lord_1_asakura_1	92Plru2R	Asakura Shoko	昭子	Faction.clan_asakura_1	Culture.hokuriku
lord_1_asakura_2	PeZKtHl4	Asakura Kageakira	朝仓 景镜	Faction.clan_asakura_1	Culture.hokuriku
lord_1_asakura_3	10GS8hh6	Asakura Fusako	房子	Faction.clan_asakura_1	Culture.hokuriku
lord_1_yamazaki	zHzGUOYl	Yamazaki Yoshiie	山崎 吉家	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_yamazaki_1	nTqCvCWT	Yamazaki Icho	一尾	Faction.clan_yamazaki_1	Culture.hokuriku
dead_lord_1_yamazaki_2	byu8D8HC	Yamazaki Nagayoshi	山崎 长吉	Faction.clan_yamazaki_1	Culture.hokuriku
dead_lord_1_yamazaki_3	maSOGXrZ	Yamazaki Shomyo-in	昭明院	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_yamazaki_4	MxewE2UB	Yamazaki Yoshitake	山崎 吉武	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_yamazaki_5	X5qVfju7	Yamazaki Yoshinobu	山崎 吉延	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_yamazaki_6	K5vrtqxW	Yamazaki Kogiku	小菊	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_yamazaki_7	LrsfIPm8	Yamazaki Naganori	山崎 长德	Faction.clan_yamazaki_1	Culture.hokuriku
lord_1_mizoe	FjN0SPCO	Mizoe Kageyasu	沟江 景逸	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_mizoe_1	edubnNQh	Mizoe Tome	阿留	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_mizoe_2	DGRdBFWD	Mizoe Nagayasu	沟江 长逸	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_mizoe_3	YiN0QUpV	Mizoe Oku	阿奥	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_mizoe_4	htAMl2eb	Mizoe Nagauji	沟江 长氏	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_mizoe_5	m28lOKlG	Mizoe Ben-ei	辨荣	Faction.clan_mizoe_1	Culture.hokuriku
lord_1_maeba	jGCv6Uil	Maeba Kagemasa	前波 景当	Faction.clan_maeba_1	Culture.hokuriku
lord_1_maeba_1	jaNkGPsJ	Maeba Sei	阿世	Faction.clan_maeba_1	Culture.hokuriku
dead_lord_1_maeba_2	Bhxb1sTw	Maeba Kagesada	前波 景定	Faction.clan_maeba_1	Culture.hokuriku
dead_lord_1_maeba_3	aCNFnmpJ	Maebe Keiko-in	华光院	Faction.clan_maeba_1	Culture.hokuriku
lord_1_maeba_4	ZctOTbV9	Maeba Katsuhide	前波 胜秀	Faction.clan_maeba_1	Culture.hokuriku
lord_1_maeba_5	FXVHs6Rl	Maeba Yoshitsugu	前波 吉继	Faction.clan_maeba_1	Culture.hokuriku
lord_1_maeba_6	pTApzZjo	Maeba Kyo	阿京	Faction.clan_maeba_1	Culture.hokuriku
lord_1_anekouji	8NfTd97s	Anekouji Yoshiyori	姊小路 良赖	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_1	khSBd7oA	Anekouji Hagi	阿萩	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_2	zgHNjeAc	Anekouji Yoritsuna	姊小路 赖纲	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_3	Ozp8uVH2	Anekouji Mei	阿明	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_4	3t8eBlK9	Anekouji Nobutsuna	姊小路 信纲	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_5	50rxSxoL	Anekouji Hidetsuna	姊小路 秀纲	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_6	YS6J1DSx	Anekouji Suetsuna	姊小路 季纲	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_7	ChLVdmm5	Anekouji Hisa	阿久	Faction.clan_anekouji_1	Culture.tosan
lord_1_anekouji_8	fllPpIHN	Anekouji Tei	小丁	Faction.clan_anekouji_1	Culture.tosan
lord_1_miki	rmn0keBY	Miki Kunitsuna	三木 国纲	Faction.clan_miki_1	Culture.tosan
lord_1_miki_1	pOV36qLw	Miki Kise	喜势	Faction.clan_miki_1	Culture.tosan
lord_1_miki_2	Mwzg4d94	Miki Akitsuna	三木 显纲	Faction.clan_miki_1	Culture.tosan
lord_1_miki_3	BUaB2CAs	Miki Yuki	阿幸	Faction.clan_miki_1	Culture.tosan
lord_1_uchigashima	reQL1Reg	Uchigashima Ujimasa	内岛 氏理	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_1	ZAVB59DI	Uchigashima Tsune	阿常	Faction.clan_uchigashima_1	Culture.tosan
dead_lord_1_uchigashima_2	x5bCceO3	Uchigashima Ujitoshi	内岛 氏利	Faction.clan_uchigashima_1	Culture.tosan
dead_lord_1_uchigashima_3	0wP2NHjx	Uchigashima Shinko-in	心光院	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_4	BFpJOH9B	Uchigashima Ujiyuki	内岛 氏行	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_5	oWMNADvQ	Uchigashima Chise	千世	Faction.clan_uchigashima_1	Culture.tosan
