编号,性别,外观代码,外观参考图
ID,Gender,AppearanceCode,AppearanceImage
1,男,"<BodyProperties version=""4"" age=""21.09"" weight=""0.9799"" build=""0.9738""  key=""00050C0C400013054F80587733955033989885856397900087647F088DC1203400FFF6020F46851100000000000000000000000000000000000000004DF43000"" />",
2,男,"<BodyProperties version=""4"" age=""23.88"" weight=""0.1375"" build=""0.5867""  key=""000218000000200F9C736458102008CA7BB78B7CC972FD43C4B64A368BB6301701C926130C77895100000000000000000000000000000000000000005D8C7000""  />",
3,男,"<BodyProperties version=""4"" age=""26.18"" weight=""0.3454"" build=""0.5605""  key=""00087C0F00882349C80066BC46C450857BBA878B6CB7C405A385CD399EC3304701D850130D735321000000000000000000000000000000000000000051A04080"" />",
4,男,"<BodyProperties version=""4"" age=""22.22"" weight=""0.1034"" build=""0.263""  key=""0000DC0FD71400003E8E9B44627B2AC292F889483C93AF4B79ABD7E4874758470094260309475210000000000000000000000000000000000000000071344000""  />",
5,男,"<BodyProperties version=""4"" age=""26.42"" weight=""0.0482"" build=""0.955"" key=""001B0000008815DBA2A2B806341357FA63B37768E886BEB6844114846786063501CE16130C582045000000000000000000000000000000000000000073A480C4"" />",
6,男,"<BodyProperties version=""4"" age=""23.51"" weight=""0.2607"" build=""0.0896"" key=""0000DC0B921430064B7563A098165A29F1F08B5629A53413C65372010058000C02FB76130C573A021404450000E30000000000000000001C00000000498C2100"" />",
7,男,"<BodyProperties version=""4"" age=""22.22"" weight=""0.3773"" build=""0.3704""  key=""001944000E0015C609748F687E35431497F60440966FF2B0A006E02F80A5772800C660030C34C625000000000000000000000000000000000000000027900140""  />",
8,男,"<BodyProperties version=""4"" age=""22.22"" weight=""0.412"" build=""0.2562""  key=""000C8C000EFC1349507D63EA59660189A76A8F59CBB5E3446D19B94A8A85200600646603065942B20066463E7D2327BC00000000000000000000000022CC3001""  />",
9,男,"<BodyProperties version=""4"" age=""35"" weight=""0.45"" build=""0"" key=""000B700258A013CA95291785E4343253A458336B71AA3226E9866735AE11108911274624FACA877745466338533223110000000000002A070000000019646100"" />",
10,男,"<BodyProperties version=""4"" age=""25.84"" weight=""0.5"" build=""0.5"" key=""00050C0CC00010024880587733955036989885856397900087647F088DC120340187761308468511000000000000000000000000000000000000000077144001"" />",
11,男,"<BodyProperties version=""4"" age=""20.79"" weight=""0.3"" build=""0.3425"" key=""0000E80FC0140009DE77CA550FF088A6B68678ADCCADE1009EFBEF00A9E811440ED540E20D081000000000000000000000000000000000000000000027A830C1"" />",
12,男,"<BodyProperties version=""4"" age=""33.73"" weight=""0.3"" build=""0"" key=""0000000140003006B28391A03456236261F6863E55A2544291B6B900861905A502004624F035114400000000000000000000000000000000000000007C043040"" />",
13,男,"<BodyProperties version=""4"" age=""26.05"" weight=""0.8164"" build=""1"" key=""0002040FC0FCB006128317117111116680F68735607DF402BDF6C6307C53001601CFC6130CB061137C44440005FF30350000000000001A1C00000000418C1000"" />",
14,男,"<BodyProperties version=""4"" age=""22.02"" weight=""0.1474"" build=""0.97"" key=""00055C000058034F047867A97317A3F373FA8B094C9CFE8588B62B2785EB160200AF26030A61B6000000000000000000000000000000000000000000174C4001"" />",
15,男,"<BodyProperties version=""4"" age=""21.09"" weight=""0.2747"" build=""0.7068"" key=""00008C0280B422493B753915743423A388B8875A99B9A4189747AA368B974B3B00BB46020B6788521600006825641267000000000000000A00000000796C4041"" />",
16,男,"<BodyProperties version=""4"" age=""22.03"" weight=""0.0241"" build=""0.6453"" key=""0015000D000026524700587737B85077987E858556978201A1D4CF165EC1203500AA06030A777D300000000000000000000000000000000000000000594C4001"" />",
17,男,"<BodyProperties version=""4"" age=""22.3"" weight=""0"" build=""0.4973"" key=""000B6802DB88135B4750587737B82077987E97855497820151922E168EC720357F930603FF77D93070FFFF000FFF00FF000000000000000F000000003FFC4001"" />",
18,男,"<BodyProperties version=""4"" age=""21.02"" weight=""0"" build=""0.2994"" key=""000A0C02000000030C804BB380762F4A907F8AB57EFFFE8452DF6FEF84F6F01749F90602FEC3F9354062FF0000FF0000000000000000000E0000000065C44000"" />",
19,女,"<BodyProperties version=""4"" age=""22.17"" weight=""0.1404"" build=""0.6651""  key=""0002040DD2B44006128317117111116680F68735607DA402BDF6C6307C530016007A260307B061130044000005F030350000000000001A770000000040FC1000"" />",
20,女,"<BodyProperties version=""4"" age=""20.01"" weight=""0.1543"" build=""0.955"" key=""0000500140B4100A9A8564F467837848B5C4499D358A3C565CAB031789BD04070CFE26C20E80360100000000000000000000000000000000000000004DFC1000"" />",
