ID,ScriptName,ChineseName,Area,Culture,Settlement,IsMerge,Alias,Owner_1554,Soldiers_1554,Owner_1560,Soldiers_1560,Owner_1568,Soldiers_1568,Owner_1575,Soldiers_1575,Owner_1582,Soldiers_1582,Owner_1598,Soldiers_1598
1,胜山馆,胜山馆,虾夷,东北,三厩,1,,,,,,,,,,,,,
2,大浦城,大浦城,陆奥,东北,大浦,0,,,,,,,,,,,,,
3,八户城,八户城,陆奥,东北,八户,0,,,,,,,,,,,,,
4,三户城,三户城,陆中,东北,三户,0,,,,,,,,,,,,,
5,九户城,九户城,陆中,东北,九户,0,,,,,,,,,,,,,
6,不来方城,不来方城,陆中,东北,不来方,0,,,,,,,,,,,,,
7,高水寺城,高水寺城,陆中,东北,高水寺,0,,,,,,,,,,,,,
8,岩出山城,岩出山城,陆前,东北,岩出山,0,,,,,,,,,,,,,
9,寺池城,寺池城,陆前,东北,寺池,0,,,,,,,,,,,,,
10,名生城,名生城,陆前,东北,船冈城,1,,,,,,,,,,,,,
11,仙台城,仙台城,陆前,东北,仙台,0,,,,,,,,,,,,,
12,白石城,白石城,陆前,东北,岩切城,1,,,,,,,,,,,,,
13,凑城,凑城,羽后,东北,土崎湊,1,,,,,,,,,,,,,
14,桧山城,桧山城,羽后,东北,桧山,0,,,,,,,,,,,,,
15,角馆城,角馆城,羽后,东北,角馆,0,,,,,,,,,,,,,
16,横手城,横手城,羽后,东北,横手,0,,,,,,,,,,,,,
17,山形城,山形城,羽前,东北,山形,0,,,,,,,,,,,,,
18,鲑延城,鲑延城,羽前,东北,鲑延,0,,,,,,,,,,,,,
19,尾浦城,尾浦城,羽前,东北,酒田城,1,,,,,,,,,,,,,
20,米泽城,米泽城,羽前,东北,米泽,0,,,,,,,,,,,,,
21,黑川城,黑川城,岩代,东北,黑川,0,,,,,,,,,,,,,
22,二本松城,二本松城,岩代,东北,二本松,0,,,,,,,,,,,,,
23,须贺川城,须贺川城,岩代,东北,须贺川,0,,,,,,,,,,,,,
24,小高城,小高城,岩代,东北,小高,0,,,,,,,,,,,,,
25,太田城,太田城,常陆,关东,太田,0,,,,,,,,,,,,,
26,水户城,水户城,常陆,关东,水户,0,,,,,,,,,,,,,
27,土浦城,土浦城,常陆,关东,土浦,0,,,,,,,,,,,,,
28,小田城,小田城,常陆,关东,小田,0,,,,,,,,,,,,,
29,宇都宫城,宇都宫城,下野,关东,宇都宫,0,,,,,,,,,,,,,
30,唐泽山城,唐泽山城,下野,关东,唐泽山,0,,,,,,,,,,,,,
31,小山城,小山城,下野,关东,宇都宫,1,,,,,,,,,,,,,
32,乌山城,乌山城,下野,关东,乌山,0,,,,,,,,,,,,,
33,厩桥城,厩桥城,上野,关东,厩桥,0,,,,,,,,,,,,,
34,沼田城,沼田城,上野,关东,沼田,0,,,,,,,,,,,,,
35,馆林城,馆林城,上野,关东,馆林,0,,,,,,,,,,,,,
36,箕轮城,箕轮城,上野,关东,箕轮,0,,,,,,,,,,,,,
37,胜浦城,胜浦城,上总安房,关东,胜浦,0,,,,,,,,,,,,,
38,久留里城,久留里城,上总安房,关东,久留里,0,,,,,,,,,,,,,
39,稻村城,稻村城,上总安房,关东,久留里城,1,,,,,,,,,,,,,
40,佐仓城,佐仓城,下总,关东,佐仓,0,,,,,,,,,,,,,
41,结城城,结城城,下总,关东,结,0,,,,,,,,,,,,,
42,江户城,江户城,武藏,关东,江户,0,,,,,,,,,,,,,
43,岩槻城,岩槻城,武藏,关东,岩槻,0,,,,,,,,,,,,,
44,河越城,河越城,武藏,关东,川越城,1,,,,,,,,,,,,,
45,忍城,忍城,武藏,关东,忍,0,,,,,,,,,,,,,
46,八王子城,八王子城,武藏,关东,三崎城,1,,,,,,,,,,,,,
47,小田原城,小田原城,相模伊豆,关东,小田原,0,,,,,,,,,,,,,
48,玉绳城,玉绳城,相模伊豆,关东,镰仓,1,,,,,,,,,,,,,
49,韭山城,韭山城,相模伊豆,关东,小田原城,1,,,,,,,,,,,,,
50,春日山城,春日山城,越后,北陆,春日山,0,,,,,,,,,,,,,
51,新发田城,新发田城,越后,北陆,新发田,0,,,,,,,,,,,,,
52,本庄城,本庄城,越后,北陆,本庄,0,,,,,,,,,,,,,
53,橡尾城,橡尾城,越后,北陆,直江津,1,,,,,,,,,,,,,
54,富山城,富山城,越中,北陆,富田,1,,,,,,,,,,,,,
55,鱼津城,鱼津城,越中,北陆,鱼津,0,,,,,,,,,,,,,
56,七尾城,七尾城,能登,北陆,七尾,0,,,,,,,,,,,,,
57,尾山城,尾山城,加贺,北陆,金津,1,,,,,,,,,,,,,
58,小松城,小松城,加贺,北陆,小松,0,,,,,,,,,,,,,
59,大圣寺城,大圣寺城,加贺,北陆,大圣寺,0,,,,,,,,,,,,,
60,一乘谷城,一乘谷城,越前,北陆,一乘谷,0,,,,,,,,,,,,,
61,北之庄城,北之庄城,越前,北陆,北之庄,0,,,,,,,,,,,,,
62,金崎城,金崎城,越前,北陆,敦贺,1,,,,,,,,,,,,,
63,户石城,户石城,北信浓,甲信,饭山,1,,,,,,,,,,,,,
64,海津城,海津城,北信浓,甲信,海津,0,,,,,,,,,,,,,
65,饭山城,饭山城,北信浓,甲信,饭山,0,,,,,,,,,,,,,
66,小诸城,小诸城,北信浓,甲信,小诸,0,,,,,,,,,,,,,
67,高远城,高远城,南信浓,甲信,高远,0,,,,,,,,,,,,,
68,木曾福岛城,木曾福岛城,南信浓,甲信,木曾福岛,0,,,,,,,,,,,,,
69,饭田城,饭田城,南信浓,甲信,妻笼,1,,,,,,,,,,,,,
70,踯躅崎馆,踯躅崎馆,甲斐,甲信,甲府城,1,,,,,,,,,,,,,
71,岩殿城,岩殿城,甲斐,甲信,岩殿,0,,,,,,,,,,,,,
72,下山城,下山城,甲斐,甲信,韮崎,1,,,,,,,,,,,,,
73,松仓城,松仓城,飞驒,甲信,古川,1,,,,,,,,,,,,,
74,骏府城,骏府城,骏河,东海,骏府,0,,,,,,,,,,,,,
75,兴国寺城,兴国寺城,骏河,东海,骏府城,1,,,,,,,,,,,,,
76,曳马城,曳马城,远江,东海,滨松城,1,,,,,,,,,,,,,
77,二股城,二股城,远江,东海,挂川城,1,,,,,,,,,,,,,
78,高天神城,高天神城,远江,东海,挂川城,1,,,,,,,,,,,,,
79,冈崎城,冈崎城,三河,东海,冈崎,0,,,,,,,,,,,,,
80,长篠城,长篠城,三河,东海,冈崎城,1,,,,,,,,,,,,,
81,吉田城,吉田城,三河,东海,吉田,0,,,,,,,,,,,,,
82,清洲城,清洲城,尾张,东海,清须城,0,清州城,,,,,,,,,,,,
83,鸣海城,鸣海城,尾张,东海,那古野,1,,,,,,,,,,,,,
84,小牧山城,小牧山城,尾张,东海,那古野,1,,,,,,,,,,,,,
85,那古野城,那古野城,尾张,东海,那古野,0,,,,,,,,,,,,,
86,稻叶山城,稻叶山城,美浓,东海,岐阜城,0,,,,,,,,,,,,,
87,墨股城,墨股城,美浓,东海,岩村,1,,,,,,,,,,,,,
88,大垣城,大垣城,美浓,东海,大垣,0,,,,,,,,,,,,,
89,岩村城,岩村城,美浓,东海,岩村,0,,,,,,,,,,,,,
90,曾根城,曾根城,美浓,东海,可儿,1,,,,,,,,,,,,,
91,安浓津城,安浓津城,伊势志摩,东海,安浓津,0,,,,,,,,,,,,,
92,大河内城,大河内城,伊势志摩,东海,津,1,,,,,,,,,,,,,
93,长岛城,长岛城,伊势志摩,东海,长岛,0,,,,,,,,,,,,,
94,鸟羽城,鸟羽城,伊势志摩,东海,鸟羽,0,,,,,,,,,,,,,
95,小谷城,小谷城,北近江,近畿,小谷,0,,,,,,,,,,,,,
96,佐和山城,佐和山城,北近江,近畿,佐和山,0,,,,,,,,,,,,,
97,今滨城,今滨城,北近江,近畿,盐津,1,,,,,,,,,,,,,
98,观音寺城,观音寺城,南近江,近畿,观音寺,0,,,,,,,,,,,,,
99,阪本城,阪本城,南近江,近畿,坂本,1,,,,,,,,,,,,,
100,日野城,日野城,南近江,近畿,日野,0,,,,,,,,,,,,,
101,多闻山城,多闻山城,大和伊贺,近畿,伊贺上野城,1,,,,,,,,,,,,,
102,信贵山城,信贵山城,大和伊贺,近畿,信贵山,0,,,,,,,,,,,,,
103,大和郡山城,大和郡山城,大和伊贺,近畿,郡山,1,,,,,,,,,,,,,
104,伊贺上野城,伊贺上野城,大和伊贺,近畿,伊贺上野,0,,,,,,,,,,,,,
105,胜龙寺城,胜龙寺城,山城,近畿,胜龙寺,0,,,,,,,,,,,,,
106,二条城,二条城,山城,近畿,京,1,,,,,,,,,,,,,
107,丹波龟山城,丹波龟山城,丹波,近畿,龟冈,1,,,,,,,,,,,,,
108,八上城,八上城,丹波,近畿,龟冈,1,,,,,,,,,,,,,
109,福知山城,福知山城,丹波,近畿,朝来,1,,,,,,,,,,,,,
110,宫津城,宫津城,丹后若狭,近畿,宫津,0,,,,,,,,,,,,,
111,岸和田城,岸和田城,河内和泉,近畿,岸和田,0,,,,,,,,,,,,,
112,饭盛城,饭盛城,河内和泉,近畿,枚方,1,,,,,,,,,,,,,
113,高屋城,高屋城,河内和泉,近畿,高屋,0,,,,,,,,,,,,,
114,石山本愿寺,石山本愿寺,摄津,近畿,大坂御坊,1,,,,,,,,,,,,,
115,芥川城,芥川城,摄津,近畿,芥川山城,1,,,,,,,,,,,,,
116,有冈城,有冈城,摄津,近畿,伊丹,1,,,,,,,,,,,,,
117,杂贺城,杂贺城,纪伊,近畿,纪伊湊,1,,,,,,,,,,,,,
118,新宫城,新宫城,纪伊,近畿,新宫,0,,,,,,,,,,,,,
119,鸟取城,鸟取城,因幡伯耆,中国,贺露,1,,,,,,,,,,,,,
120,出石城,出石城,但马,中国,但马,1,,,,,,,,,,,,,
121,羽衣石城,羽衣石城,因幡伯耆,中国,羽衣石,0,,,,,,,,,,,,,
122,月山富田城,月山富田城,出云,中国,月山富田,0,,,,,,,,,,,,,
123,三刀屋城,三刀屋城,出云,中国,安来,1,,,,,,,,,,,,,
124,白鹿城,白鹿城,出云,中国,松江（白潟）,1,,,,,,,,,,,,,
125,益田城,益田城,石见,中国,三隅湊,1,,,,,,,,,,,,,
126,山吹城,山吹城,石见,中国,江津,1,,,,,,,,,,,,,
127,置盐城,置盐城,播磨,中国,高砂,1,,,,,,,,,,,,,
128,御着城,御着城,播磨,中国,御着,0,,,,,,,,,,,,,
129,三木城,三木城,播磨,中国,三木,0,,,,,,,,,,,,,
130,上月城,上月城,播磨,中国,室村,1,,,,,,,,,,,,,
131,三星城,三星城,美作,中国,河原,1,,,,,,,,,,,,,
132,冈山城,冈山城,备前,中国,冈山,0,,,,,,,,,,,,,
133,砥石山城,砥石山城,备前,中国,吉备津,1,,,,,,,,,,,,,
134,天神山城,天神山城,备前,中国,天神山,0,,,,,,,,,,,,,
135,备中松山城,备中松山城,备中,中国,吉田郡山城,1,,,,,,,,,,,,,
136,备中高松城,备中高松城,备中,中国,冈山城,1,,,,,,,,,,,,,
137,三原城,三原城,备后,中国,三原,1,,,,,,,,,,,,,
138,甲山城,甲山城,备后,中国,幸山城,1,,,,,,,,,,,,,
139,吉田郡山城,吉田郡山城,安芸,中国,吉田郡山,0,,,,,,,,,,,,,
140,佐东银山城,佐东银山城,安芸,中国,可部,1,,,,,,,,,,,,,
141,樱尾城,樱尾城,安芸,中国,樱尾,0,,,,,,,,,,,,,
142,山口城,山口城,周防长门,中国,山口,1,,,,,,,,,,,,,
143,且山城,且山城,周防长门,中国,萩城,1,,,,,,,,,,,,,
144,十河城,十河城,赞歧,四国,十河,0,,,,,,,,,,,,,
