ID,ScriptName,ChineseName,OtherName,LocozationName,IsMainCulture,IsShokuho,,,,,,,,,,,,,,,,,,,,,,
ashigaru,足轻,足轻,,{=gVZxlFB4}Ashigaru,0,1,,,,,,,,,,,,,,,,,,,,,,
saikai,西海,西海,九州,{=XM9EPZDi}Saikai,1,1,,,,,,,,,,,,,,,,,,,,,,
nankai,南海,南海,四国,{=DEmMv6H8}Nankai,1,1,,,,,,,,,,,,,,,,,,,,,,
sanyo,山阳,山阳,中国,{=NFOJEwiL}Sanyo,1,1,,,,,,,,,,,,,,,,,,,,,,
kinai,畿内,畿内,近畿,{=Rsom7ttN}Kinai,1,1,,,,,,,,,,,,,,,,,,,,,,
hokuriku,北陆,北陆,北陆,{=wIaHKYMr}Hokuriku,1,1,,,,,,,,,,,,,,,,,,,,,,
tosan,东山,东山,甲信,{=Z1qR2REA}Tosan,1,1,,,,,,,,,,,,,,,,,,,,,,
tokai,东海,东海,东海,{=701yWNGe}Tokai,1,1,,,,,,,,,,,,,,,,,,,,,,
kanto,关东,关东,关东,{=JSiAyodh}Kanto,1,1,,,,,,,,,,,,,,,,,,,,,,
ou,奥羽,奥羽,东北,{=OFkIDiZT}Ou,1,1,,,,,,,,,,,,,,,,,,,,,,
duelists,决斗者,决斗者,,{=ptsxzysa}Duelists,0,1,,,,,,,,,,,,,,,,,,,,,,
buddhists,僧侣,僧侣,,{=FlooLAMd}Monks,0,1,,,,,,,,,,,,,,,,,,,,,,
looters,追剥,追剥,,{=FguhKirf}Oihagi Looters,0,1,,,,,,,,,,,,,,,,,,,,,,
zoku,贼寇,贼寇,,{=mx7L9bFB}Zoku Thieves,0,1,,,,,,,,,,,,,,,,,,,,,,
yato,野盗,野盗,,{=sTvDztWN}Yato Bandits,0,1,,,,,,,,,,,,,,,,,,,,,,
wokou,倭寇,倭寇,,{=MEQv3Fvs}Wokou Pirates,0,1,,,,,,,,,,,,,,,,,,,,,,
sanzoku,山贼,山贼,,{=4S24PmMZ}Sanzoku Mountain Bandits,0,1,,,,,,,,,,,,,,,,,,,,,,
ochimusya,落武者狩,落武者狩,,{=rW0j3kZA}Ochimusya-gari Manhunters,0,1,,,,,,,,,,,,,,,,,,,,,,
neutral_culture,日本,日本,,{=CKvsb2RB}Japanese,0,1,,,,,,,,,,,,,,,,,,,,,,
ninja,忍者,忍者,,{=my_Ninja}Ninja,0,0,,,,,,,,,,,,,,,,,,,,,,
pirate,海贼,海贼,,{=my_Pirate}Pirate,0,0,,,,,,,,,,,,,,,,,,,,,,
