势力名,势力类型
ForceName,ForceType
本愿寺,Warrior
阿苏家,Warrior
安东家,Warrior
安国寺家,Warrior
八板家,Warrior
白石家,Warrior
百武家,Warrior
北家,Warrior
北畠家,Warrior
北条家,Warrior
波多野家,Warrior
茶屋家,Warrior
朝仓家,Warrior
城井家,Warrior
池田家,Warrior
赤松家,Warrior
赤穴家,Warrior
村上家,Warrior
大宝寺家,Warrior
大谷家,Warrior
大久保家,Warrior
大内家,Warrior
大崎家,Warrior
大友家,Warrior
丹羽家,Warrior
岛津家,Warrior
德川家,Warrior
东乡家,Warrior
二阶堂家,Warrior
丰臣家,Warrior
蜂须贺家,Warrior
福岛家,Warrior
肝付家,Warrior
葛西家,Warrior
宫部家,Warrior
沟口家,Warrior
龟井家,Warrior
锅岛家,Warrior
河尻家,Warrior
河野家,Warrior
黑田家,Warrior
吉川家,Warrior
加藤家,Warrior
结城家,Warrior
今川家,Warrior
金森家,Warrior
津轻家,Warrior
京极家,Warrior
九鬼家,Warrior
九户家,Warrior
堀家,Warrior
堀尾家,Warrior
里见家,Warrior
立花家,Warrior
蛎崎家,Warrior
铃木家,Warrior
六角家,Warrior
龙造寺家,Warrior
芦名家,Warrior
毛利家,Warrior
木曾家,Warrior
南部家,Warrior
尼子家,Warrior
蒲生家,Warrior
浦上家,Warrior
七条家,Warrior
千家,Warrior
前田家,Warrior
浅井家,Warrior
浅野家,Warrior
青山家,Warrior
秋田家,Warrior
三村家,Warrior
三刀屋家,Warrior
三好家,Warrior
三木家,Warrior
森家,Warrior
山名家,Warrior
山内家,Warrior
山中家,Warrior
上泉家,Warrior
上杉家,Warrior
少贰家,Warrior
神保家,Warrior
生驹家,Warrior
十河家,Warrior
斯波家,Warrior
松平家,Warrior
松浦家,Warrior
太田家,Warrior
藤堂家,Warrior
田中家,Warrior
畠山家,Warrior
筒井家,Warrior
五代家,Warrior
武田家,Warrior
西园寺家,Warrior
细川家,Warrior
下间家,Warrior
相良家,Warrior
相马家,Warrior
小笠原家,Warrior
小田家,Warrior
小西家,Warrior
小野寺家,Warrior
小早川家,Warrior
胁坂家,Warrior
新发田家,Warrior
一宫家,Warrior
一色家,Warrior
一条家,Warrior
一万田家,Warrior
伊达家,Warrior
伊东家,Warrior
有马家,Warrior
宇都宫家,Warrior
宇喜多家,Warrior
羽柴家,Warrior
斋藤家,Warrior
长家,Warrior
长尾家,Warrior
长野家,Warrior
长宗我部家,Warrior
真田家,Warrior
织田家,Warrior
中村家,Warrior
中岛家,Warrior
椎名家,Warrior
姊小路家,Warrior
宗家,Warrior
足利家,Warrior
最上家,Warrior
佐竹家,Warrior
佐佐家,Warrior
钵屋众,Ninja
风魔众,Ninja
根来众,Ninja
黑胫巾众,Ninja
户隐众,Ninja
甲贺众,Ninja
山潜众,Ninja
透波众,Ninja
外闻众,Ninja
轩猿众,Ninja
伊贺众,Ninja
羽黑众,Ninja
百货屋,Trader
坂田屋,Trader
播磨屋,Trader
博多屋,Trader
茶屋,Trader
茶屋家,Trader
川舟屋,Trader
大西屋,Trader
地板屋,Trader
镫屋,Trader
淀屋,Trader
豆腐屋,Trader
饭屋,Trader
干货屋,Trader
鸿池屋,Trader
虎屋,Trader
花屋,Trader
角仓屋,Trader
角屋,Trader
酒屋,Trader
梁田屋,Trader
纳屋,Trader
平野屋,Trader
肉屋,Trader
三刀屋家,Trader
山形屋,Trader
神屋,Trader
石头屋,Trader
书屋,Trader
天王寺屋,Trader
吴服屋,Trader
五金屋,Trader
下关屋,Trader
小西屋,Trader
伊藤屋,Trader
油屋,Trader
友野屋,Trader
鱼屋,Trader
浴池屋,Trader
越后屋,Trader
杂货屋,Trader
组屋,Trader
安东水军,Pirate
柏崎水军,Pirate
村上水军,Pirate
丹后水军,Pirate
淡路水军,Pirate
坊津水军,Pirate
房总水军,Pirate
丰后水军,Pirate
江户水军,Pirate
骏河水军,Pirate
土佐水军,Pirate
五岛水军,Pirate
相模水军,Pirate
熊野水军,Pirate
盐饱水军,Pirate
