tkid,StringId,bustup,minihead
0,lord_1_aoyama_tadanari,Portraits/0_lord_1_aoyama_tadanari_bustup_normal.png,Portraits/0_lord_1_aoyama_tadanari_minihead_normal.png
1,lord_1_akaike_nagatomo,Portraits/1_lord_1_akaike_nagatomo_bustup_normal.png,Portraits/1_lord_1_akaike_nagatomo_minihead_normal.png
2,lord_1_akai_naomasa,Portraits/2_lord_1_akai_naomasa_bustup_normal.png,Portraits/2_lord_1_akai_naomasa_minihead_normal.png
3,lord_1_anzai_matasuke,Portraits/3_lord_1_anzai_matasuke_bustup_normal.png,Portraits/3_lord_1_anzai_matasuke_minihead_normal.png
4,lord_1_akao,Portraits/4_lord_1_akao_bustup_normal.png,Portraits/4_lord_1_akao_minihead_normal.png
5,lord_1_akashi_2,Portraits/5_lord_1_akashi_2_bustup_normal.png,Portraits/5_lord_1_akashi_2_minihead_normal.png
6,lord_1_akana_sanekiyo,Portraits/6_lord_1_akana_sanekiyo_bustup_normal.png,Portraits/6_lord_1_akana_sanekiyo_minihead_normal.png
7,lord_1_akamatsu_torashige,Portraits/7_lord_1_akamatsu_torashige_bustup_normal.png,Portraits/7_lord_1_akamatsu_torashige_minihead_normal.png
8,lord_1_akamatsu,Portraits/8_lord_1_akamatsu_bustup_normal.png,Portraits/8_lord_1_akamatsu_minihead_normal.png
9,lord_1_akiue_hisaya,Portraits/9_lord_1_akiue_hisaya_bustup_normal.png,Portraits/9_lord_1_akiue_hisaya_minihead_normal.png
10,lord_1_aki,Portraits/10_lord_1_aki_bustup_normal.png,Portraits/10_lord_1_aki_minihead_normal.png
11,lord_1_akita_sanesue,Portraits/11_lord_1_akita_sanesue_bustup_normal.png,Portraits/11_lord_1_akita_sanesue_minihead_normal.png
12,lord_1_akiyama_torashige,Portraits/12_lord_1_akiyama_torashige_bustup_normal.png,Portraits/12_lord_1_akiyama_torashige_minihead_normal.png
13,lord_1_akechi_6,Portraits/13_lord_1_akechi_6_bustup_normal.png,Portraits/13_lord_1_akechi_6_minihead_normal.png
14,lord_1_akechi,Portraits/14_lord_1_akechi_bustup_normal.png,Portraits/14_lord_1_akechi_minihead_normal.png
15,lord_1_azai_ujitsuna,Portraits/15_lord_1_azai_ujitsuna_bustup_normal.png,Portraits/15_lord_1_azai_ujitsuna_minihead_normal.png
16,lord_1_azai,Portraits/16_lord_1_azai_bustup_normal.png,Portraits/16_lord_1_azai_minihead_normal.png
17,lord_1_azai_2,Portraits/17_lord_1_azai_2_bustup_normal.png,Portraits/17_lord_1_azai_2_minihead_normal.png
18,lord_1_asakura_2,Portraits/18_lord_1_asakura_2_bustup_normal.png,Portraits/18_lord_1_asakura_2_minihead_normal.png
19,lord_1_asakura_morinari,Portraits/19_lord_1_asakura_morinari_bustup_normal.png,Portraits/19_lord_1_asakura_morinari_minihead_normal.png
20,lord_1_asakura_ryosei,Portraits/20_lord_1_asakura_ryosei_bustup_normal.png,Portraits/20_lord_1_asakura_ryosei_minihead_normal.png
21,lord_1_asakura_tadamasa,Portraits/21_lord_1_asakura_tadamasa_bustup_normal.png,Portraits/21_lord_1_asakura_tadamasa_minihead_normal.png
22,lord_1_asakura_kakubei,Portraits/22_lord_1_asakura_kakubei_bustup_normal.png,Portraits/22_lord_1_asakura_kakubei_minihead_normal.png
23,lord_1_asakura,Portraits/23_lord_1_asakura_bustup_normal.png,Portraits/23_lord_1_asakura_minihead_normal.png
24,lord_1_asano_nagashige,Portraits/24_lord_1_asano_nagashige_bustup_normal.png,Portraits/24_lord_1_asano_nagashige_minihead_normal.png
25,lord_1_asano_nagamasa,Portraits/25_lord_1_asano_nagamasa_bustup_normal.png,Portraits/25_lord_1_asano_nagamasa_minihead_normal.png
26,lord_1_asano_yukinaga,Portraits/26_lord_1_asano_yukinaga_bustup_normal.png,Portraits/26_lord_1_asano_yukinaga_minihead_normal.png
27,lord_1_asahina,Portraits/27_lord_1_asahina_bustup_normal.png,Portraits/27_lord_1_asahina_minihead_normal.png
28,lord_1_asari,Portraits/28_lord_1_asari_bustup_normal.png,Portraits/28_lord_1_asari_minihead_normal.png
29,lord_1_ashikaga,Portraits/29_lord_1_ashikaga_bustup_normal.png,Portraits/29_lord_1_ashikaga_minihead_normal.png
30,lord_1_kogakubo,Portraits/30_lord_1_kogakubo_bustup_normal.png,Portraits/30_lord_1_kogakubo_minihead_normal.png
31,dead_lord_1_ashikaga_4,Portraits/31_dead_lord_1_ashikaga_4_bustup_normal.png,Portraits/31_dead_lord_1_ashikaga_4_minihead_normal.png
32,lord_1_ashina_2,Portraits/32_lord_1_ashina_2_bustup_normal.png,Portraits/32_lord_1_ashina_2_minihead_normal.png
33,lord_1_ashina,Portraits/33_lord_1_ashina_bustup_normal.png,Portraits/33_lord_1_ashina_minihead_normal.png
34,lord_1_ashina_katsushige,Portraits/34_lord_1_ashina_katsushige_bustup_normal.png,Portraits/34_lord_1_ashina_katsushige_minihead_normal.png
35,lord_1_ashina_ekketsusai,Portraits/35_lord_1_ashina_ekketsusai_bustup_normal.png,Portraits/35_lord_1_ashina_ekketsusai_minihead_normal.png
36,lord_1_aso,Portraits/36_lord_1_aso_bustup_normal.png,Portraits/36_lord_1_aso_minihead_normal.png
37,lord_1_atagi,Portraits/37_lord_1_atagi_bustup_normal.png,Portraits/37_lord_1_atagi_minihead_normal.png
38,dead_lord_1_atagi_2,Portraits/38_dead_lord_1_atagi_2_bustup_normal.png,Portraits/38_dead_lord_1_atagi_2_minihead_normal.png
39,lord_1_atobe_katsusuke,Portraits/39_lord_1_atobe_katsusuke_bustup_normal.png,Portraits/39_lord_1_atobe_katsusuke_minihead_normal.png
40,lord_1_anayama_shigehide,Portraits/40_lord_1_anayama_shigehide_bustup_normal.png,Portraits/40_lord_1_anayama_shigehide_minihead_normal.png
41,lord_1_anayama_akisane,Portraits/41_lord_1_anayama_akisane_bustup_normal.png,Portraits/41_lord_1_anayama_akisane_minihead_normal.png
42,lord_1_anekouji_2,Portraits/42_lord_1_anekouji_2_bustup_normal.png,Portraits/42_lord_1_anekouji_2_minihead_normal.png
43,lord_1_abe_masatsugu,Portraits/43_lord_1_abe_masatsugu_bustup_normal.png,Portraits/43_lord_1_abe_masatsugu_minihead_normal.png
44,lord_1_amago,Portraits/44_lord_1_amago_bustup_normal.png,Portraits/44_lord_1_amago_minihead_normal.png
45,lord_1_amago_haruhisa,Portraits/45_lord_1_amago_haruhisa_bustup_normal.png,Portraits/45_lord_1_amago_haruhisa_minihead_normal.png
46,lord_1_amago_yoshihisa,Portraits/46_lord_1_amago_yoshihisa_bustup_normal.png,Portraits/46_lord_1_amago_yoshihisa_minihead_normal.png
47,lord_1_amano,Portraits/47_lord_1_amano_bustup_normal.png,Portraits/47_lord_1_amano_minihead_normal.png
48,lord_1_amano_yasukage,Portraits/48_lord_1_amano_yasukage_bustup_normal.png,Portraits/48_lord_1_amano_yasukage_minihead_normal.png
49,lord_1_amamori_yahei,Portraits/49_lord_1_amamori_yahei_bustup_normal.png,Portraits/49_lord_1_amamori_yahei_minihead_normal.png
50,lord_1_ayukabe_muneshige,Portraits/50_lord_1_ayukabe_muneshige_bustup_normal.png,Portraits/50_lord_1_ayukabe_muneshige_minihead_normal.png
51,lord_1_araki_ujitsuna,Portraits/51_lord_1_araki_ujitsuna_bustup_normal.png,Portraits/51_lord_1_araki_ujitsuna_minihead_normal.png
52,lord_1_araki_murashige,Portraits/52_lord_1_araki_murashige_bustup_normal.png,Portraits/52_lord_1_araki_murashige_minihead_normal.png
53,lord_1_arima_6,Portraits/53_lord_1_arima_6_bustup_normal.png,Portraits/53_lord_1_arima_6_minihead_normal.png
