StringId,NameRaw,ChineseName,Culture,Faction
lord_1_asakura,Asakura Yoshikage,朝仓 义景,Culture.hokuriku,Faction.clan_asakura_1
lord_1_asakura_1,Asakura Shoko,昭子,Culture.hokuriku,Faction.clan_asakura_1
lord_1_asakura_2,Asakura Kageakira,朝仓 景镜,Culture.hokuriku,Faction.clan_asakura_1
lord_1_asakura_3,Asakura Fusako,房子,Culture.hokuriku,Faction.clan_asakura_1
lord_1_yamazaki,Yamazaki Yoshiie,山崎 吉家,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_yamazaki_1,Yamazaki Icho,一尾,Culture.hokuriku,Faction.clan_yamazaki_1
dead_lord_1_yamazaki_2,Yamazaki Nagayoshi,山崎 长吉,Culture.hokuriku,Faction.clan_yamazaki_1
dead_lord_1_yamazaki_3,Yamazaki Shomyo-in,昭明院,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_yamazaki_4,Yamazaki Yoshitake,山崎 吉武,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_yamazaki_5,Yamazaki Yoshinobu,山崎 吉延,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_yamazaki_6,Yamazaki Kogiku,小菊,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_yamazaki_7,Yamazaki Naganori,山崎 长德,Culture.hokuriku,Faction.clan_yamazaki_1
lord_1_mizoe,Mizoe Kageyasu,沟江 景逸,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_mizoe_1,Mizoe Tome,阿留,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_mizoe_2,Mizoe Nagayasu,沟江 长逸,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_mizoe_3,Mizoe Oku,阿奥,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_mizoe_4,Mizoe Nagauji,沟江 长氏,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_mizoe_5,Mizoe Ben-ei,辨荣,Culture.hokuriku,Faction.clan_mizoe_1
lord_1_maeba,Maeba Kagemasa,前波 景当,Culture.hokuriku,Faction.clan_maeba_1
lord_1_maeba_1,Maeba Sei,阿世,Culture.hokuriku,Faction.clan_maeba_1
dead_lord_1_maeba_2,Maeba Kagesada,前波 景定,Culture.hokuriku,Faction.clan_maeba_1
dead_lord_1_maeba_3,Maebe Keiko-in,华光院,Culture.hokuriku,Faction.clan_maeba_1
lord_1_maeba_4,Maeba Katsuhide,前波 胜秀,Culture.hokuriku,Faction.clan_maeba_1
lord_1_maeba_5,Maeba Yoshitsugu,前波 吉继,Culture.hokuriku,Faction.clan_maeba_1
