ID,Category,Phase,PersonalityTrait,TrustMin,TrustMax,Grade,Text,Emotion
string,string,string,string,int,int,string,string,string
编号,委托类型,阶段,性格标签,信任下限,信任上限,评级(仅Closure),叙事文本,情绪
BountyHunt_Opening_Any_0_100,BountyHunt,Opening,Any,0,100,,有个叫{TARGET}的家伙在附近作恶多端。赏金{REWARD}第纳尔——你把他揪出来，活着带回来我加钱。,urgent
BountyHunt_Opening_Greedy_0_100,BountyHunt,Opening,Greedy,0,100,,{TARGET}——听过这名字吧？他脑袋值{REWARD}第纳尔。我不是开善堂的，但他挡了我的生意。你替我收拾他。,angry
BountyHunt_Opening_Desperate_0_100,BountyHunt,Opening,Desperate,0,100,,我大半辈子攒下的东西被{TARGET}抢了个干净……{REWARD}第纳尔是我最后的家当——帮我把东西追回来，求你。,sad
BountyHunt_Closure_Any_0_50_Perfect,BountyHunt,Closure,Any,0,50,Perfect,没看错你。人已经送到了——{REWARD}第纳尔是你的。下次有这种活我先找你。,impressed
BountyHunt_Closure_Any_0_50_Good,BountyHunt,Closure,Any,0,50,Good,办妥了就好。{REWARD}第纳尔，说好的数。干得不错。,neutral
BountyHunt_Closure_Any_0_50_Passable,BountyHunt,Closure,Any,0,50,Passable,总算是有了个结果……{REWARD}拿去吧。下回麻利点。,disappointed
BountyHunt_Closure_Any_0_50_Failed,BountyHunt,Closure,Any,0,50,Failed,让他跑了？……算了，这事到此为止。定金不用退了——你走吧。,angry
BountyHunt_Closure_Any_51_100_Perfect,BountyHunt,Closure,Any,51,100,Perfect,哈！我就知道你能行。{REWARD}——和以往一样，一分不少。对了，听说北边又出了个硬茬子……你有兴趣？,happy
BountyHunt_Closure_Any_51_100_Good,BountyHunt,Closure,Any,51,100,Good,一如既往地靠得住。{REWARD}第纳尔，收好了。有你在，这地方太平多了。,grateful
VillageDefense_Opening_Any_0_100,VillageDefense,Opening,Any,0,100,,匪徒盯上了{TARGET}！村里能打的都走了，只剩下老人孩子……{REWARD}第纳尔，帮我们守住——求你了。,urgent
VillageDefense_Opening_Brave_0_100,VillageDefense,Opening,Brave,0,100,,我早想教训那帮匪徒了，但一个人撑不住。{REWARD}第纳尔——你和我一起守{TARGET}，让他们有来无回！,determined
VillageDefense_Opening_Desperate_0_100,VillageDefense,Opening,Desperate,0,100,,{TARGET}是我们祖祖辈辈的村子……我不能眼睁睁看着它被烧成白地。{REWARD}第纳尔，我们凑的。,sad
