ID,EventName,GoalType,Outcome,Category,Phase,PersonalityTrait,TrustMin,TrustMax,Grade,Honor,Gender,Identity,Text,Emotion
string,string,string,string,string,string,string,int,int,string,string,string,string,list,string
编号,事件名,目标类型,成败,委托类型,阶段,性格标签,信任下限,信任上限,评级,荣誉,性别,身份,台词(竖线分隔随机),情绪
ProposeMarriage_Success,ProposeMarriage,ProposeMarriage,Success,,,,0,100,,Any,Any,Any,我等这句话已经很久了……我愿意。|既蒙{PLAYER}垂青 此生愿与你相守。,happy
ProposeMarriage_Fail,ProposeMarriage,ProposeMarriage,Fail,,,,0,100,,Any,Any,Any,你我之间 怕是缘分未到。|此事……请容我再想想吧。,negative
RecruitHero_Success,RecruitHero,RecruitHero,Success,,,,0,100,,Any,Any,Any,承蒙看重 愿为{PLAYER}效犬马之劳。|也罢 我这身本事就交给你了。,positive
RecruitHero_Fail,RecruitHero,RecruitHero,Fail,,,,0,100,,Any,Any,Any,多谢美意 但我另有打算。|恕难从命 我尚不愿屈身于人。,negative
DefectFaction_Success,DefectFaction,DefectFaction,Success,,,,0,100,,Any,Any,Any,良禽择木而栖 我愿率众归附。|这腐朽的旧主 早该弃了。,positive
DefectFaction_Fail,DefectFaction,DefectFaction,Fail,,,,0,100,,Any,Any,Any,背主之事 我做不出来。|你当我是甚么人 休要再提！,threat
Exaction_Success,Exaction,Exaction,Success,,,,0,100,,Any,Any,Any,军资之事 我已为你备下 拿去吧。|为了大局 这笔钱该花。,positive
Exaction_Fail,Exaction,Exaction,Fail,,,,0,100,,Any,Any,Any,国库吃紧 此事容后再议。|这个数目 恕我无法应允。,negative
JoinInFaction_Success,JoinInFaction,JoinInFaction,Success,,,,0,100,,Any,Any,Any,好 从今往后你便是我的人了。|我正缺{PLAYER}这样的人才 准了。,positive
JoinInFaction_Fail,JoinInFaction,JoinInFaction,Fail,,,,0,100,,Any,Any,Any,你的诚意 还不足以让我接纳。|时机未到 改日再说吧。,negative
Order,Order,Order,Neutral,,,,0,100,,Any,Any,Any,报告 一切正常！|属下随时待命！|这一带暂无异常。,normal
Chat_Greeting,Chat,Greeting,Neutral,,,,0,100,,Any,Any,Any,{PLAYER} 别来无恙。|又见面了 有何贵干？,polite
Chat_Weather,Chat,Weather,Neutral,,,,0,100,,Any,Any,Any,近来世道不太平啊。|这日子 也就这么过着。,normal
Chat_Gossip,Chat,Gossip,Neutral,,,,0,100,,Any,Any,Any,你想打听甚么？我知道的可不少。|外头的风声 我多少听过一些。,normal
Chat_Praise,Chat,Praise,Neutral,,,,0,100,,Any,Any,Any,哈哈 你这张嘴可真会说。|过奖了 不过听着倒也舒坦。,happy
BubbleGreet_High_Any_Any,BubbleGreet,BubbleGreet,High,,,,0,100,,High,Any,Any,{PLAYER} 大人 恭迎大驾！|{PLAYER}来了 大伙儿都盼着您呢！,polite
BubbleGreet_Neutral_Any_Any,BubbleGreet,BubbleGreet,Neutral,,,,0,100,,Neutral,Any,Any,来了啊……|今儿天不错。,normal
BubbleGreet_Low_Any_Any,BubbleGreet,BubbleGreet,Low,,,,0,100,,Low,Any,Any,（赶紧低头走开）|（假装没看见 快步绕行）,fear
Chat_Greeting_High_Any_Any,Chat,Greeting,High,,,,0,100,,High,Any,Any,{PLAYER}大人光临 蓬荜生辉啊！|大人有何吩咐 尽管开口！,polite
Chat_Greeting_Low_Any_Any,Chat,Greeting,Low,,,,0,100,,Low,Any,Any,……有何贵干。|（打量了你一眼）……说吧。,negative
RecruitSoldier_AlreadyRecruited_Any_Any_Any,RecruitSoldier,RecruitSoldier,Already,,,,0,100,,Any,Any,Any,某已应募入伍 莫要再问了。|我已是你帐下的人了 不必再问。,normal
RecruitSoldier_TooYoung_Any_Any_Any,RecruitSoldier,RecruitSoldier,TooYoung,,,,0,100,,Any,Any,Any,某年纪尚小 再过几年再来吧。|我还小呢 等长大了再说！,normal
RecruitSoldier_Female_Any_Female_Any,RecruitSoldier,RecruitSoldier,Female,,,,0,100,,Any,Female,Any,女儿身多有不便 且学那木兰从军 请将军勿向外人道也。|换上男装 旁人看不出来 将军替我保密便好。,normal
BountyHunt_Opening_Any_0_100,BountyHunt,,,BountyHunt,Opening,Any,0,100,,Any,Any,Any,有个叫{TARGET}的家伙在附近作恶多端。赏金{REWARD}第纳尔——你把他揪出来，活着带回来我加钱。,urgent
BountyHunt_Opening_Greedy_0_100,BountyHunt,,,BountyHunt,Opening,Greedy,0,100,,Any,Any,Any,{TARGET}——听过这名字吧？他脑袋值{REWARD}第纳尔。我不是开善堂的，但他挡了我的生意。你替我收拾他。,angry
BountyHunt_Opening_Desperate_0_100,BountyHunt,,,BountyHunt,Opening,Desperate,0,100,,Any,Any,Any,我大半辈子攒下的东西被{TARGET}抢了个干净……{REWARD}第纳尔是我最后的家当——帮我把东西追回来，求你。,sad
BountyHunt_Closure_Any_0_50_Perfect,BountyHunt,,,BountyHunt,Closure,Any,0,50,Perfect,Any,Any,Any,没看错你。人已经送到了——{REWARD}第纳尔是你的。下次有这种活我先找你。,impressed
BountyHunt_Closure_Any_0_50_Good,BountyHunt,,,BountyHunt,Closure,Any,0,50,Good,Any,Any,Any,办妥了就好。{REWARD}第纳尔，说好的数。干得不错。,neutral
BountyHunt_Closure_Any_0_50_Passable,BountyHunt,,,BountyHunt,Closure,Any,0,50,Passable,Any,Any,Any,总算是有了个结果……{REWARD}拿去吧。下回麻利点。,disappointed
BountyHunt_Closure_Any_0_50_Failed,BountyHunt,,,BountyHunt,Closure,Any,0,50,Failed,Any,Any,Any,让他跑了？……算了，这事到此为止。定金不用退了——你走吧。,angry
BountyHunt_Closure_Any_51_100_Perfect,BountyHunt,,,BountyHunt,Closure,Any,51,100,Perfect,Any,Any,Any,哈！我就知道你能行。{REWARD}——和以往一样，一分不少。对了，听说北边又出了个硬茬子……你有兴趣？,happy
BountyHunt_Closure_Any_51_100_Good,BountyHunt,,,BountyHunt,Closure,Any,51,100,Good,Any,Any,Any,一如既往地靠得住。{REWARD}第纳尔，收好了。有你在，这地方太平多了。,grateful
VillageDefense_Opening_Any_0_100,VillageDefense,,,VillageDefense,Opening,Any,0,100,,Any,Any,Any,匪徒盯上了{TARGET}！村里能打的都走了，只剩下老人孩子……{REWARD}第纳尔，帮我们守住——求你了。,urgent
VillageDefense_Opening_Brave_0_100,VillageDefense,,,VillageDefense,Opening,Brave,0,100,,Any,Any,Any,我早想教训那帮匪徒了，但一个人撑不住。{REWARD}第纳尔——你和我一起守{TARGET}，让他们有来无回！,determined
VillageDefense_Opening_Desperate_0_100,VillageDefense,,,VillageDefense,Opening,Desperate,0,100,,Any,Any,Any,{TARGET}是我们祖祖辈辈的村子……我不能眼睁睁看着它被烧成白地。{REWARD}第纳尔，我们凑的。,sad
VillageDefense_Closure_Any_0_50_Perfect,VillageDefense,,,VillageDefense,Closure,Any,0,50,Perfect,Any,Any,Any,村子保住了……乡亲们都说是你救了{TARGET}。{REWARD}第纳尔，我们能给的就这么多了。恩人。,grateful
VillageDefense_Closure_Any_0_50_Good,VillageDefense,,,VillageDefense,Closure,Any,0,50,Good,Any,Any,Any,匪徒退了！{REWARD}第纳尔，说好的报酬。村里暂时安全了。,normal
VillageDefense_Closure_Any_0_50_Failed,VillageDefense,,,VillageDefense,Closure,Any,0,50,Failed,Any,Any,Any,村子还是遭了殃……我知道你也尽力了。但还是请你走吧。,sad
VillageDefense_Closure_Any_51_100_Perfect,VillageDefense,,,VillageDefense,Closure,Any,51,100,Perfect,Any,Any,Any,你又救了{TARGET}一次——乡亲们凑了点谢礼，{REWARD}第纳尔。别推辞，你应得的。,grateful
