1554 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}
1560 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}
1568 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}
1575 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}
1582 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}
1598 274 行 {'城': 180, '町': 66, '里': 12, '砦': 16}

1554 | 72 城 | 骏府城 | 今川义元 | 今川家 | 6400
1554 | 202 町 | 骏府 |  |  | 
1560 | 72 城 | 骏府城 | 今川义元 | 今川家 | 7600
1560 | 202 町 | 骏府 |  |  | 
1568 | 72 城 | 骏府城 | 武田信玄 | 武田家 | 9200
1568 | 202 町 | 骏府 |  |  | 
1575 | 72 城 | 骏府城 | 武田胜赖 | 武田家 | 10200
1575 | 202 町 | 骏府 |  |  | 
1582 | 72 城 | 骏府城 | 穴山梅雪 | 武田家 | 11600
1582 | 202 町 | 骏府 |  |  | 
1598 | 72 城 | 骏府城 | 中村一氏 | 中村家 | 18000
1598 | 202 町 | 骏府 |  |  | 
