mesh,bone,weight_sum,pct
0000_long_sword_henry_mesh,LeftWeaponSlot,2627.0000,100.00
0000_shield_kite_blank_mesh,BackSlot_shield,3374.0000,100.00
0001_long_sword_henry_mesh,LeftWeaponSlot,20.0000,100.00
0001_shield_kite_blank_mesh,BackSlot_shield,455.0000,100.00
0002_long_sword_henry_mesh,LeftWeaponSlot,20.0000,100.00
_EyeLBall_Shader_Mesh,mhenry_eye_left_ext,498.0000,100.00
_EyeLIris_Shader_Mesh,mhenry_eye_left_ext,202.0000,100.00
_EyeRBall_Shader_Mesh,mhenry_eye_right_ext,498.0000,100.00
_EyeRIris_Shader_Mesh,mhenry_eye_right_ext,202.0000,100.00
cuirass07_torso,Spine4,1237.6138,23.63
cuirass07_torso,Spine1,1035.1092,19.77
cuirass07_torso,satchel_cuirass07_torso_01,737.0449,14.07
cuirass07_torso,Spine2,448.6025,8.57
cuirass07_torso,Hips,334.3834,6.39
cuirass07_torso,Spine3,270.4818,5.16
cuirass07_torso,cuirass07_torso_pouch_01,267.8150,5.11
cuirass07_torso,RightShoulder,193.9592,3.70
cuirass07_torso,LeftShoulder,183.6247,3.51
cuirass07_torso,Spine,164.0659,3.13
cuirass07_torso,Neck,159.6470,3.05
cuirass07_torso,LeftArmRoll,62.6298,1.20
cuirass07_torso,RightArmRoll,62.2835,1.19
cuirass07_torso,mainBelt_cuirass07_torso_01,29.4128,0.56
cuirass07_torso,LeftUpLeg,26.6446,0.51
cuirass07_torso,RightUpLeg,23.6820,0.45
gambesonlong03_arms,LeftArmRoll,363.0582,12.17
gambesonlong03_arms,RightArmRoll,345.6389,11.59
gambesonlong03_arms,LeftArmRoll1,331.3255,11.11
gambesonlong03_arms,RightArmRoll1,319.3847,10.71
gambesonlong03_arms,RightForeArm,204.0447,6.84
gambesonlong03_arms,LeftForeArm,203.5406,6.82
gambesonlong03_arms,Spine4,201.0575,6.74
gambesonlong03_arms,LeftForeArmRoll1,138.4995,4.64
gambesonlong03_arms,RightForeArmRoll1,134.3176,4.50
gambesonlong03_arms,RightForeArmRoll2,118.8769,3.99
gambesonlong03_arms,LeftForeArmRoll2,110.7403,3.71
gambesonlong03_arms,RightShoulder,87.8417,2.94
gambesonlong03_arms,LeftShoulder,81.0730,2.72
gambesonlong03_arms,LeftArm,80.4068,2.70
gambesonlong03_arms,RightArm,79.2998,2.66
gambesonlong03_arms,LeftForeArmRoll,56.1859,1.88
gambesonlong03_arms,RightForeArmRoll,56.1706,1.88
gambesonlong03_arms,LeftHand,37.6877,1.26
gambesonlong03_arms,RightHand,33.8262,1.13
gambesonlong03_arms,Spine3,0.0238,0.00
gambesonlong03_waist002_FINAL,Spine1,68.3385,10.37
gambesonlong03_waist002_FINAL,Spine2,24.2985,3.69
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_139,7.4050,1.12
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_134,7.3782,1.12
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_140,7.3286,1.11
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_135,7.3189,1.11
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_138,7.1838,1.09
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_133,6.9947,1.06
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_136,6.4559,0.98
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_141,6.4334,0.98
