bone,parent,head_x,head_y,head_z,tail_x,tail_y,tail_z,length,local_x,local_y,local_z
bip01_pelvis_0,-,0.000000,0.000000,0.915000,-0.000000,0.000000,1.013000,0.098000,0.000000,0.000000,0.915000
bip01_l_thigh_1,bip01_pelvis_0,-0.100000,0.000000,0.915000,-0.425774,-0.258703,0.958417,0.418260,-0.100000,0.000000,0.915000
bip01_l_calf_2,bip01_l_thigh_1,-0.134000,-0.027000,0.499000,-0.355996,-0.366932,0.557523,0.410196,-0.134000,-0.027000,0.499000
bip01_l_foot_3,bip01_l_calf_2,-0.166000,-0.076000,0.093000,-0.176580,0.018409,0.209726,0.150499,-0.166000,-0.076000,0.093000
bip01_l_toe0_4,bip01_l_foot_3,-0.179000,0.040000,-0.002000,-0.179000,0.040000,0.094628,0.096628,-0.179000,0.040000,-0.002000
bip01_l_toe0_nub_notused,bip01_l_toe0_4,-0.190000,0.136000,-0.002000,-0.190000,0.136000,0.094628,0.096628,-0.190000,0.136000,-0.002000
bip01_r_thigh_5,bip01_pelvis_0,0.100000,0.000000,0.915000,0.425774,-0.258703,0.958417,0.418260,0.100000,0.000000,0.915000
bip01_r_calf_6,bip01_r_thigh_5,0.134000,-0.027000,0.499000,0.355996,-0.366932,0.557524,0.410196,0.134000,-0.027000,0.499000
bip01_r_foot_7,bip01_r_calf_6,0.166000,-0.076000,0.093000,0.176580,0.018409,0.209726,0.150499,0.166000,-0.076000,0.093000
bip01_r_toe0_8,bip01_r_foot_7,0.179000,0.040000,-0.002000,0.179000,0.040000,0.094628,0.096628,0.179000,0.040000,-0.002000
bip01_toe0_nub_notused,bip01_r_toe0_8,0.190000,0.136000,-0.002000,0.190000,0.136000,0.094628,0.096628,0.190000,0.136000,-0.002000
bip01_spine_9,bip01_pelvis_0,-0.000000,0.000000,1.009000,-0.000000,0.157000,1.014000,0.157080,-0.000000,0.000000,1.009000
bip01_spine1_10,bip01_spine_9,0.000000,-0.005000,1.166000,-0.000000,0.134000,1.170000,0.139058,0.000000,-0.005000,1.166000
bip01_spine2_11,bip01_spine1_10,0.000000,-0.009000,1.305000,-0.000000,0.125256,1.308336,0.134298,0.000000,-0.009000,1.305000
bip01_neck_12,bip01_spine2_11,0.000000,-0.013000,1.466000,0.000000,-0.120000,1.482000,0.108190,0.000000,-0.013000,1.466000
bip01_head_13,bip01_neck_12,0.000000,0.003000,1.573000,0.000000,-0.224000,1.607000,0.229532,0.000000,0.003000,1.573000
bip01_head_nub_notused,bip01_head_13,0.000000,0.037000,1.800000,0.000000,-0.192532,1.800000,0.229532,0.000000,0.037000,1.800000
bip01_l_clavicle_14,bip01_spine2_11,-0.046000,-0.034000,1.414000,-0.046000,-0.034000,1.554000,0.140000,-0.046000,-0.034000,1.414000
bip01_l_upperarm_twist_15,bip01_l_clavicle_14,-0.186000,-0.034000,1.414000,-0.265931,-0.037330,1.534104,0.144309,-0.186000,-0.034000,1.414000
bip01_l_upperarm_twist1_16,bip01_l_upperarm_twist_15,-0.306000,-0.039000,1.334000,-0.384933,-0.042262,1.455103,0.144593,-0.306000,-0.039000,1.334000
bip01_l_foretwist_17,bip01_l_upperarm_twist1_16,-0.427000,-0.044000,1.255000,-0.499855,-0.039405,1.366221,0.133038,-0.427000,-0.044000,1.255000
bip01_l_foretwist1_18,bip01_l_foretwist_17,-0.538000,-0.037000,1.182000,-0.611812,-0.031728,1.294286,0.134477,-0.538000,-0.037000,1.182000
bip01_l_hand_19,bip01_l_foretwist1_18,-0.650000,-0.029000,1.108000,-0.718658,-0.035866,1.148200,0.079856,-0.650000,-0.029000,1.108000
bip01_l_finger0_20,bip01_l_hand_19,-0.690000,-0.033000,1.039000,-0.759317,-0.033000,1.078650,0.079856,-0.690000,-0.033000,1.039000
bip01_r_clavicle_21,bip01_spine2_11,0.046000,-0.034000,1.414000,0.046000,-0.034000,1.554000,0.140000,0.046000,-0.034000,1.414000
bip01_r_upperarm_twist_22,bip01_r_clavicle_21,0.186000,-0.034000,1.414000,0.265931,-0.037330,1.534104,0.144309,0.186000,-0.034000,1.414000
bip01_r_upperarm_twist1_23,bip01_r_upperarm_twist_22,0.306000,-0.039000,1.334000,0.384933,-0.042262,1.455103,0.144593,0.306000,-0.039000,1.334000
bip01_r_foretwist_24,bip01_r_upperarm_twist1_23,0.427000,-0.044000,1.255000,0.499855,-0.039405,1.366221,0.133038,0.427000,-0.044000,1.255000
bip01_r_foretwist1_25,bip01_r_foretwist_24,0.538000,-0.037000,1.182000,0.611812,-0.031728,1.294285,0.134477,0.538000,-0.037000,1.182000
bip01_r_hand_26,bip01_r_foretwist1_25,0.650000,-0.029000,1.108000,0.718658,-0.035866,1.148200,0.079856,0.650000,-0.029000,1.108000
bip01_r_finger0_27,bip01_r_hand_26,0.690000,-0.033000,1.039000,0.759132,-0.033000,1.078972,0.079856,0.690000,-0.033000,1.039000
