bone,parent,head_x,head_y,head_z,tail_x,tail_y,tail_z,length,local_x,local_y,local_z
Human_Male,-,0.000000,0.000000,0.000000,0.000000,0.000000,0.931800,0.931800,0.000000,0.000000,0.000000
Hips,Human_Male,-0.000000,-0.042701,0.930821,0.000000,-0.113433,0.930821,0.070733,-0.000000,93.082146,4.270092
RightUpLeg,Hips,-0.106191,-0.042701,0.930821,-0.093981,0.268515,0.935861,0.311496,-10.619086,93.082138,4.270096
RightLeg,RightUpLeg,-0.131670,-0.034911,0.511558,-0.122064,0.170367,0.540130,0.207480,-13.166993,51.155849,3.491152
RightLegRoll,RightLeg,-0.142564,-0.007354,0.317230,-0.132959,0.197924,0.345801,0.207480,-14.256419,31.722954,0.735419
RightFoot,RightLeg,-0.155270,0.024789,0.090562,-0.162012,0.092059,-0.060929,0.165892,-15.527021,9.056168,-2.478914
RightToeBase,RightFoot,-0.165173,-0.126720,0.023725,-0.175348,-0.126589,-0.141855,0.165892,-16.517269,2.372461,12.671979
legsplate03_KneePlate_r,RightLeg,-0.131670,-0.034911,0.511559,-0.141276,-0.240190,0.482987,0.207479,-13.166988,51.155861,3.491152
RightUpLegRoll,RightUpLeg,-0.118495,-0.038939,0.728346,-0.106286,0.272277,0.733386,0.311496,-11.849523,72.834587,3.893923
Spine,Hips,-0.000000,-0.003909,0.989747,0.000000,-0.130063,0.974609,0.127059,-0.000001,98.974747,0.390895
Spine1,Spine,-0.000000,-0.010264,1.042706,-0.000000,-0.178071,1.049038,0.167927,-0.000002,104.270638,1.026411
Spine2,Spine1,-0.000000,-0.008146,1.098843,-0.000000,-0.088643,1.111552,0.081495,-0.000003,109.884247,0.814593
Spine3,Spine2,-0.000000,0.004564,1.179340,-0.000000,-0.121478,1.204759,0.128579,-0.000005,117.933990,-0.456355
Spine4,Spine3,-0.000000,0.029982,1.305382,-0.000000,-0.127537,1.298162,0.157684,-0.000010,130.538177,-2.998232
Neck,Spine4,-0.000000,0.021167,1.497696,-0.000000,-0.028349,1.480814,0.052315,-0.000021,149.769562,-2.116683
Neck1,Neck,-0.000000,0.004285,1.547211,-0.000000,-0.049310,1.538877,0.054239,-0.000026,154.721146,-0.428473
Head,Neck1,-0.000000,-0.004050,1.600806,-0.000000,-0.087621,1.600261,0.083573,-0.000033,160.080612,0.404973
FacialRoot,Head,-0.000000,-0.004050,1.600806,-0.000000,-0.129822,1.600803,0.125772,-0.000033,160.080627,0.404970
mhenry_jawRoot,FacialRoot,-0.000000,-0.038010,1.631066,-0.000000,-0.038110,1.631066,0.000100,-0.000044,163.106583,3.800992
mhenry_jaw,mhenry_jawRoot,-0.000000,-0.038010,1.631066,-0.000000,-0.079130,1.631066,0.041120,-0.000044,163.106567,3.800992
mhenry_tongue_01,mhenry_jaw,-0.000000,-0.062127,1.597760,-0.000000,-0.062227,1.597760,0.000100,-0.000040,159.776031,6.212676
mhenry_tongue_02,mhenry_tongue_01,-0.000000,-0.062127,1.597760,-0.000000,-0.089937,1.597763,0.027810,-0.000040,159.776047,6.212676
mhenry_tongue_03,mhenry_tongue_02,-0.000000,-0.089937,1.597764,-0.000000,-0.105387,1.597765,0.015450,-0.000037,159.776367,8.993676
mhenry_tongue_04,mhenry_tongue_03,-0.000000,-0.105387,1.597766,-0.000000,-0.117747,1.597768,0.012360,-0.000034,159.776596,10.538677
mhenry_SSDR_L_joint_40,FacialRoot,0.015642,-0.128193,1.607283,0.015642,-0.253966,1.607282,0.125772,1.564207,160.728287,12.819329
mhenry_SSDR_L_joint_41,FacialRoot,0.010546,-0.131587,1.609210,0.010546,-0.257359,1.609210,0.125772,1.054602,160.921051,13.158708
mhenry_SSDR_L_joint_42,FacialRoot,0.005238,-0.134508,1.610318,0.005238,-0.260281,1.610318,0.125772,0.523804,161.031815,13.450824
mhenry_SSDR_L_joint_43,FacialRoot,0.034296,-0.116366,1.602585,0.034296,-0.242138,1.602585,0.125772,3.429560,160.258545,11.636591
mhenry_SSDR_L_joint_44,FacialRoot,0.028583,-0.119108,1.617356,0.028583,-0.244881,1.617355,0.125772,2.858318,161.735580,11.910827
mhenry_SSDR_L_joint_45,FacialRoot,0.057641,-0.097252,1.633442,0.057641,-0.223025,1.633441,0.125772,5.764104,163.344193,9.725240
mhenry_SSDR_L_joint_46,FacialRoot,0.064817,-0.082760,1.638179,0.064816,-0.208532,1.638179,0.125772,6.481654,163.817932,8.276010
mhenry_SSDR_L_joint_47,FacialRoot,0.061711,-0.093590,1.654392,0.061711,-0.219363,1.654392,0.125772,6.171092,165.439255,9.359055
mhenry_SSDR_L_joint_48,FacialRoot,0.039831,-0.115234,1.629188,0.039831,-0.241007,1.629188,0.125772,3.983115,162.918808,11.523461
mhenry_SSDR_L_joint_49,FacialRoot,0.028838,-0.120848,1.634279,0.028838,-0.246620,1.634279,0.125772,2.883809,163.427948,12.084765
mhenry_SSDR_R_joint_57,FacialRoot,-0.015548,-0.125704,1.636419,-0.015548,-0.251477,1.636418,0.125772,-1.554824,163.641861,12.570427
mhenry_SSDR_R_joint_56,FacialRoot,-0.019476,-0.125339,1.643241,-0.019476,-0.251111,1.643241,0.125772,-1.947637,164.324112,12.533914
mhenry_SSDR_R_joint_51,FacialRoot,-0.010618,-0.128317,1.624501,-0.010618,-0.254089,1.624501,0.125772,-1.061827,162.450104,12.831697
mhenry_SSDR_R_joint_50,FacialRoot,-0.022107,-0.120823,1.627709,-0.022107,-0.246596,1.627709,0.125772,-2.210738,162.770905,12.082355
